,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.369615, 1.004114, 0.85966, 0.793532, 1.042952,1.239862, 0.897207, 0.768134, 0.692184, 0.96802,1.302281, 0.926773, 0.793448, 0.710503, 0.979617,1.689947, 1.237621, 1.059574, 0.952858, 1.27901,1.498752, 1.089427, 0.932696, 0.842048, 1.074949,1.594549, 1.162049, 0.994877, 0.87949, 1.059517,1.481585, 1.046375, 0.895838, 0.794702, 0.978715,1.635733, 1.127123, 0.964976, 0.844746, 1.052491,1.62678, 1.174705, 1.00758, 0.871642, 1.014751,1.640797, 1.191777, 1.022216, 0.87202, 1.004421
14,1.239427, 0.959369, 0.862494, 0.819602, 1.021914,1.122012, 0.857235, 0.770667, 0.714927, 0.948496,1.211439, 0.91023, 0.818319, 0.754367, 0.986694,1.572054, 1.215522, 1.092782, 1.011666, 1.288223,1.394195, 1.069973, 0.961934, 0.894021, 1.082699,1.442983, 1.110276, 0.998165, 0.908391, 1.03814,1.340758, 0.999745, 0.898786, 0.820802, 0.958953,1.49578, 1.088192, 0.978311, 0.881647, 1.042062,1.472151, 1.122361, 1.010901, 0.900274, 0.994273,1.537608, 1.17914, 1.06204, 0.932684, 1.019139
16,1.132365, 0.782831, 0.688976, 0.659788, 0.829441,1.025097, 0.708675, 0.623708, 0.583082, 0.779952,1.107277, 0.752812, 0.662554, 0.615511, 0.811711,1.329295, 0.930027, 0.818521, 0.763639, 0.980414,1.203973, 0.836076, 0.735839, 0.681328, 0.83192,1.246106, 0.867566, 0.763548, 0.700264, 0.80689,1.226689, 0.82766, 0.728428, 0.670385, 0.789681,1.291693, 0.850308, 0.748361, 0.679643, 0.809931,1.271289, 0.877006, 0.77329, 0.706298, 0.78648,1.327821, 0.921377, 0.812412, 0.731724, 0.806149
18,1.042602, 0.751761, 0.693245, 0.583146, 0.724481,0.989408, 0.713399, 0.657861, 0.540222, 0.714133,1.06873, 0.757838, 0.698845, 0.570276, 0.743227,1.223921, 0.893119, 0.823595, 0.674935, 0.856358,1.164255, 0.843256, 0.777615, 0.632448, 0.763174,1.205003, 0.875022, 0.806904, 0.650033, 0.740213,1.186224, 0.834771, 0.769788, 0.622296, 0.724431,1.249085, 0.857614, 0.79086, 0.630897, 0.743019,1.229354, 0.884537, 0.817193, 0.655634, 0.721489,1.28402, 0.929294, 0.858545, 0.679246, 0.739549
20,1.083013, 0.809765, 0.783676, 0.631974, 0.790328,1.027751, 0.768451, 0.743698, 0.585471, 0.779072,1.110147, 0.816313, 0.790017, 0.618036, 0.810796,1.271356, 0.962025, 0.931024, 0.731445, 0.934185,1.209377, 0.908318, 0.879049, 0.685409, 0.832546,1.251701, 0.942533, 0.912169, 0.704466, 0.807496,1.232195, 0.899177, 0.870208, 0.674408, 0.790274,1.297492, 0.923783, 0.89402, 0.683726, 0.810548,1.276997, 0.952783, 0.9238, 0.710542, 0.787072,1.333783, 1.000993, 0.970545, 0.736126, 0.806769
22,1.215219, 0.905761, 0.831414, 0.703215, 0.94178,1.108139, 0.825946, 0.758155, 0.626005, 0.892078,1.180291, 0.865159, 0.794139, 0.651597, 0.915435,1.351693, 1.019596, 0.935903, 0.77119, 1.054788,1.285791, 0.962667, 0.88365, 0.722642, 0.940019,1.33079, 0.998927, 0.916935, 0.742732, 0.911734,1.310051, 0.952984, 0.874768, 0.711055, 0.892313,1.379474, 0.979063, 0.898705, 0.720873, 0.91519,1.396122, 1.038392, 0.954927, 0.770351, 0.913843,1.458203, 1.090927, 1.003242, 0.798086, 0.936709
24,1.208032, 0.860099, 0.809738, 0.721676, 0.934078,1.101196, 0.784038, 0.738128, 0.642215, 0.884476,1.172893, 0.821256, 0.773166, 0.668475, 0.907647,1.343215, 0.967856, 0.911185, 0.791159, 1.045807,1.277737, 0.913819, 0.860306, 0.741349, 0.931998,1.322452, 0.94824, 0.892712, 0.761963, 0.903971,1.301841, 0.940978, 0.885883, 0.758773, 0.920246,1.370836, 0.966736, 0.910131, 0.769259, 0.943853,1.367469, 0.97155, 0.916359, 0.778954, 0.893054,1.428271, 1.020705, 0.962726, 0.807001, 0.915391
26,1.14641, 0.807633, 0.755374, 0.662842, 0.89865,1.050274, 0.739908, 0.692027, 0.592808, 0.862978,1.179467, 0.817162, 0.764282, 0.650599, 0.933744,1.312315, 0.935634, 0.875093, 0.748097, 1.04527,1.265524, 0.895554, 0.837609, 0.710657, 0.944351,1.309808, 0.929289, 0.86916, 0.730414, 0.915938,1.327147, 0.949173, 0.887758, 0.748647, 0.959739,1.39748, 0.975145, 0.912046, 0.758981, 0.984345,1.394051, 0.98001, 0.9183, 0.768555, 0.931363,1.456041, 1.029593, 0.964762, 0.796228, 0.954671
28,1.176971, 0.827572, 0.731792, 0.658131, 0.914335,1.098265, 0.772233, 0.682851, 0.599511, 0.894333,1.233354, 0.852856, 0.754148, 0.657947, 0.967646,1.372277, 0.976509, 0.863488, 0.756548, 1.083236,1.269559, 0.896691, 0.792908, 0.689474, 0.938875,1.313983, 0.930461, 0.822766, 0.708634, 0.91062,1.331381, 0.950381, 0.840385, 0.726334, 0.954166,1.298224, 0.904155, 0.79951, 0.681891, 0.906244,1.295037, 0.908658, 0.804984, 0.690491, 0.857469,1.352624, 0.954631, 0.845711, 0.715347, 0.878919
30,1.195094, 0.823632, 0.718544, 0.668555, 0.915531,1.115173, 0.768553, 0.670495, 0.609016, 0.895511,1.189978, 0.806528, 0.703622, 0.635087, 0.920665,1.324014, 0.923464, 0.805636, 0.73027, 1.030635,1.224905, 0.847971, 0.739772, 0.665514, 0.893278,1.253618, 0.87009, 0.759076, 0.676386, 0.856737,1.270216, 0.888714, 0.775323, 0.693275, 0.897703,1.238578, 0.853238, 0.74437, 0.656812, 0.860418,1.226183, 0.851001, 0.743805, 0.660071, 0.807964,1.284995, 0.897054, 0.784052, 0.686123, 0.83094
