,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.020135, 0.846624, 0.727663, 0.558504, 0.741255,0.926867, 0.759253, 0.652567, 0.488952, 0.690513,0.973531, 0.784278, 0.674081, 0.501911, 0.698803,1.263337, 1.047329, 0.900171, 0.6731, 0.912362,1.128624, 0.928687, 0.798198, 0.599186, 0.772412,1.200772, 0.990593, 0.851411, 0.625842, 0.761334,1.09726, 0.877232, 0.753973, 0.55615, 0.69164,1.211427, 0.944939, 0.812176, 0.591173, 0.743779,1.204792, 0.984824, 0.848022, 0.609989, 0.717107,1.215173, 0.999142, 0.860343, 0.610257, 0.709808
14,1.090255, 0.878779, 0.753103, 0.543294, 0.713842,0.990581, 0.788091, 0.675391, 0.475638, 0.664971,1.040452, 0.814069, 0.697655, 0.488239, 0.672958,1.350176, 1.087109, 0.931647, 0.654774, 0.878627,1.206203, 0.963957, 0.826111, 0.582872, 0.743853,1.283303, 1.028216, 0.881182, 0.608792, 0.733174,1.192389, 0.925863, 0.793462, 0.55011, 0.677273,1.316452, 0.997314, 0.8547, 0.584744, 0.728315,1.30924, 1.039406, 0.892419, 0.603356, 0.702191,1.367499, 1.092028, 0.937598, 0.625085, 0.719771
16,1.230707, 0.98599, 0.830715, 0.620558, 0.855621,1.118206, 0.88426, 0.745007, 0.543299, 0.797078,1.187333, 0.923384, 0.77797, 0.563773, 0.81544,1.540777, 1.233077, 1.038884, 0.756055, 1.064617,1.405759, 1.116649, 0.940803, 0.687364, 0.920526,1.480085, 1.178727, 0.9931, 0.710477, 0.897882,1.375236, 1.061385, 0.894237, 0.641968, 0.82939,1.534241, 1.155287, 0.97335, 0.689549, 0.901263,1.509999, 1.191545, 1.005767, 0.704119, 0.859926,1.577154, 1.251845, 1.056654, 0.72947, 0.881437
18,1.135252, 0.936778, 0.751833, 0.581663, 0.868642,1.027711, 0.837053, 0.671801, 0.507391, 0.806251,1.091245, 0.874079, 0.701512, 0.526501, 0.824818,1.310051, 1.079839, 0.866655, 0.653212, 0.996246,1.255328, 1.027042, 0.824283, 0.623708, 0.904694,1.321707, 1.08413, 0.870102, 0.644676, 0.882429,1.301112, 1.034267, 0.830082, 0.61717, 0.863616,1.370065, 1.06258, 0.852803, 0.625707, 0.885784,1.348418, 1.09593, 0.881207, 0.638923, 0.845156,1.408378, 1.151376, 0.925789, 0.661926, 0.866294
20,1.206004, 0.932825, 0.750587, 0.56347, 0.8445,1.091759, 0.829164, 0.667181, 0.488949, 0.779752,1.159253, 0.865852, 0.696698, 0.507362, 0.797702,1.391695, 1.069676, 0.860712, 0.629479, 0.96351,1.33356, 1.017365, 0.818615, 0.601041, 0.874957,1.404074, 1.073924, 0.864131, 0.621257, 0.853447,1.382195, 1.024531, 0.824376, 0.594744, 0.835234,1.455453, 1.052574, 0.846947, 0.602973, 0.856675,1.432455, 1.085612, 0.875154, 0.615711, 0.817391,1.496153, 1.140538, 0.919427, 0.637865, 0.83782
22,1.162148, 0.91366, 0.737465, 0.592601, 0.888154,1.059742, 0.818065, 0.660303, 0.517978, 0.826045,1.125261, 0.854257, 0.689521, 0.537499, 0.845073,1.288667, 1.006748, 0.812608, 0.636153, 0.973721,1.225845, 0.950544, 0.767238, 0.602987, 0.87779,1.290658, 1.00338, 0.809889, 0.623256, 0.856189,1.270552, 0.957235, 0.772641, 0.596675, 0.83795,1.337881, 0.983431, 0.79378, 0.604907, 0.859423,1.335149, 1.028485, 0.831691, 0.626329, 0.831475,1.394522, 1.080519, 0.873767, 0.648879, 0.852282
24,1.075356, 0.781678, 0.624636, 0.533263, 0.830551,0.980597, 0.699893, 0.55928, 0.466113, 0.772468,1.059213, 0.743486, 0.594118, 0.492043, 0.803945,1.213028, 0.876204, 0.700166, 0.58234, 0.926289,1.153893, 0.827286, 0.661079, 0.551983, 0.835033,1.194274, 0.858451, 0.685974, 0.560855, 0.80066,1.175667, 0.818962, 0.654425, 0.536927, 0.783593,1.237972, 0.841378, 0.672339, 0.544346, 0.803697,1.217716, 0.86729, 0.694334, 0.555529, 0.766386,1.271859, 0.911171, 0.729465, 0.575528, 0.785575
26,1.0779, 0.860556, 0.684618, 0.594001, 0.92458,0.982911, 0.77051, 0.61298, 0.519199, 0.859907,1.077579, 0.830737, 0.660901, 0.55627, 0.908299,1.198947, 0.951169, 0.756714, 0.639632, 1.016795,1.140503, 0.898067, 0.714466, 0.599366, 0.906145,1.180408, 0.93188, 0.741372, 0.616031, 0.87888,1.196037, 0.915062, 0.727988, 0.607019, 0.885339,1.259422, 0.940095, 0.747904, 0.615402, 0.908045,1.25633, 0.982749, 0.78329, 0.636923, 0.878138,1.312197, 1.03248, 0.822925, 0.659856, 0.900108
28,1.055053, 0.815769, 0.636004, 0.556698, 0.886916,0.984494, 0.751357, 0.585792, 0.500552, 0.84854,1.079302, 0.810069, 0.631565, 0.536273, 0.896263,1.200873, 0.927515, 0.723134, 0.616641, 1.003308,1.142329, 0.875723, 0.682752, 0.577827, 0.894136,1.182304, 0.908708, 0.708472, 0.59389, 0.867234,1.197953, 0.928156, 0.72363, 0.608711, 0.908699,1.261438, 0.953566, 0.743437, 0.617126, 0.932015,1.258347, 0.958325, 0.748551, 0.614043, 0.86652,1.314301, 1.006802, 0.786405, 0.636142, 0.888191
30,1.040479, 0.850112, 0.674038, 0.583555, 0.929699,0.9709, 0.782984, 0.620816, 0.524693, 0.889465,1.061098, 0.841559, 0.66726, 0.560408, 0.9366,1.180615, 0.963567, 0.763993, 0.644383, 1.048447,1.138516, 0.922283, 0.731263, 0.612123, 0.947221,1.178361, 0.957023, 0.758804, 0.62914, 0.918708,1.193962, 0.977513, 0.77505, 0.644852, 0.962647,1.257233, 1.004259, 0.796253, 0.653758, 0.987332,1.254147, 1.009265, 0.80171, 0.650472, 0.917933,1.314301, 1.06388, 0.8451, 0.67616, 0.944052
