,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.251298, 1.309051, 1.28941, 1.22487, 1.159839,1.096774, 1.102818, 1.080197, 1.011546, 1.105739,0.996959, 1.002454, 0.982499, 0.882148, 0.840206,0.978512, 0.972275, 0.950768, 0.844596, 0.889525,0.931813, 0.934791, 0.911282, 0.807219, 0.83042,0.902678, 0.864501, 0.821429, 0.709294, 0.76518,0.828998, 0.812235, 0.784313, 0.724656, 0.809355,0.828998, 0.793286, 0.757213, 0.675867, 0.727123,0.829017, 0.843786, 0.811721, 0.720447, 0.793479,0.721905, 0.750171, 0.739856, 0.642382, 0.707502
14,1.326934, 1.389682, 1.363619, 1.294116, 1.213127,1.16307, 1.16948, 1.141132, 1.050465, 1.136774,1.057221, 1.063049, 1.037919, 0.917883, 0.865482,1.03766, 1.04338, 1.016413, 0.887584, 0.925432,0.988136, 1.003152, 0.974198, 0.845876, 0.86147,0.957243, 0.927725, 0.878147, 0.741808, 0.787183,0.879108, 0.862823, 0.829992, 0.750216, 0.824211,0.879108, 0.838718, 0.799282, 0.697933, 0.738598,0.879127, 0.892108, 0.855715, 0.713849, 0.778332,0.765542, 0.807867, 0.794444, 0.648323, 0.706888
16,1.434563, 1.486011, 1.453829, 1.375319, 1.295947,1.257408, 1.250547, 1.216621, 1.116378, 1.17514,1.159323, 1.152997, 1.122412, 0.97498, 0.971341,1.137874, 1.131665, 1.099157, 0.942796, 1.034894,1.083568, 1.088033, 1.053508, 0.922704, 0.989321,1.049687, 1.00622, 0.949629, 0.803144, 0.897261,0.964006, 0.944966, 0.889078, 0.804574, 0.930592,0.964006, 0.918567, 0.856189, 0.763801, 0.85097,0.964029, 0.977042, 0.916641, 0.791815, 0.90892,0.839475, 0.880537, 0.850341, 0.71857, 0.824842
18,1.397445, 1.447562, 1.395795, 1.364768, 1.304807,1.224871, 1.218186, 1.186951, 1.125735, 1.202317,1.129325, 1.123163, 1.095041, 0.983154, 0.993805,1.104388, 1.098361, 1.068442, 0.937853, 1.044517,1.051678, 1.056011, 1.024062, 0.912227, 0.992387,1.018797, 0.97661, 0.923094, 0.794028, 0.900048,0.939065, 0.920519, 0.867402, 0.782234, 0.917983,0.939065, 0.8948, 0.835308, 0.742583, 0.839428,0.939085, 0.951762, 0.881398, 0.776512, 0.904385,0.817752, 0.857752, 0.817645, 0.712495, 0.829826
20,1.385796, 1.435495, 1.393572, 1.362593, 1.302727,1.301208, 1.294107, 1.269504, 1.204031, 1.285939,1.199706, 1.193159, 1.170474, 1.026526, 1.037649,1.173211, 1.166809, 1.142038, 0.969376, 1.083519,1.117219, 1.121824, 1.091644, 0.94034, 1.026662,1.082289, 1.032058, 0.978874, 0.83278, 0.947381,0.997587, 0.924296, 0.873199, 0.778831, 0.917287,0.997587, 0.888294, 0.831369, 0.730986, 0.829301,0.997608, 0.944842, 0.877237, 0.764377, 0.893463,0.868715, 0.851515, 0.813785, 0.709092, 0.828843
22,1.320935, 1.434326, 1.381791, 1.431116, 1.36824,1.240305, 1.293052, 1.26932, 1.275176, 1.361921,1.201623, 1.252725, 1.229733, 1.118363, 1.130483,1.175089, 1.225063, 1.19986, 1.063244, 1.188444,1.119009, 1.177834, 1.145488, 1.03648, 1.131629,1.065239, 1.064812, 1.009359, 0.902021, 1.026147,0.981871, 0.919769, 0.882381, 0.826711, 0.973677,0.981871, 0.883944, 0.84011, 0.775918, 0.880276,0.98189, 0.940212, 0.886457, 0.811365, 0.948386,0.855028, 0.835898, 0.801354, 0.733468, 0.857334
24,1.249475, 1.324862, 1.276335, 1.321894, 1.324986,1.173211, 1.194374, 1.160743, 1.166099, 1.305704,1.11487, 1.13498, 1.10302, 1.091244, 1.156458,1.111522, 1.131573, 1.097225, 1.057705, 1.239473,1.058475, 1.087946, 1.047499, 1.031075, 1.180212,1.007612, 0.983548, 0.923017, 0.897319, 1.070206,0.928757, 0.84958, 0.806905, 0.822408, 1.015492,0.928757, 0.816485, 0.768244, 0.785834, 0.934676,0.928776, 0.868463, 0.810631, 0.821734, 1.006995,0.808775, 0.772105, 0.732804, 0.742842, 0.910318
26,1.298588, 1.376938, 1.326502, 1.373853, 1.377066,1.219321, 1.288163, 1.241483, 1.247209, 1.396528,1.158689, 1.218328, 1.174179, 1.161644, 1.231063,1.155211, 1.214672, 1.16801, 1.125942, 1.324065,1.100077, 1.167839, 1.115074, 1.097594, 1.292033,1.065686, 1.074396, 0.99989, 0.972052, 1.143351,0.982283, 0.976729, 0.919954, 0.937626, 1.114159,0.982283, 0.938686, 0.879319, 0.899451, 1.029522,0.982304, 0.998441, 0.927832, 0.947519, 1.117411,0.855388, 0.887668, 0.838757, 0.856552, 1.010136
28,1.236612, 1.254426, 1.208479, 1.244258, 1.247168,1.161131, 1.173552, 1.131025, 1.129563, 1.264795,1.160547, 1.167421, 1.125115, 1.106562, 1.17269,1.157065, 1.179715, 1.134394, 1.087106, 1.278396,1.157065, 1.191077, 1.137261, 1.112851, 1.309992,1.120889, 1.101519, 1.025131, 0.990731, 1.165324,1.033166, 1.038251, 0.977899, 0.990826, 1.177377,1.033166, 0.997811, 0.934706, 0.956106, 1.094371,1.033187, 1.061327, 0.98627, 1.007198, 1.187793,0.899697, 0.943574, 0.891584, 0.910499, 1.073755
30,1.236612, 1.317097, 1.255966, 1.293152, 1.296175,1.161131, 1.232183, 1.175468, 1.173945, 1.314491,1.160547, 1.225749, 1.169331, 1.150046, 1.218775,1.157065, 1.238654, 1.17897, 1.129822, 1.328629,1.157065, 1.250583, 1.181947, 1.162567, 1.368514,1.120889, 1.156551, 1.065414, 1.033284, 1.215373,1.033166, 1.041248, 0.97076, 0.987049, 1.172887,1.033166, 1.000692, 0.937401, 0.962234, 1.101386,1.033187, 1.064392, 0.998663, 1.023438, 1.206944,0.899697, 0.946299, 0.902784, 0.92518, 1.091067
