,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.116824, 1.116824, 1.116824, 1.116824, 1.125242,1.066933, 1.066933, 1.066933, 1.066933, 1.074974,1.104122, 1.104122, 1.104122, 1.104122, 1.104122,1.035131, 1.035131, 1.035131, 1.035131, 1.035131,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
14,1.029235, 1.029235, 1.029235, 1.029235, 1.036992,0.997318, 0.997318, 0.997318, 0.997318, 1.004835,1.062366, 1.062366, 1.062366, 1.062366, 1.062366,0.995983, 0.995983, 0.995983, 0.995983, 0.995983,0.914794, 0.914794, 0.914794, 0.914794, 0.914794,0.914794, 0.914794, 0.914794, 0.914794, 0.914794,0.888716, 0.888716, 0.888716, 0.888716, 0.888716,0.934753, 0.934753, 0.934753, 0.934753, 0.934753,1, 1, 1, 1, 1,1, 1, 1, 1, 1
16,1.029235, 1.029235, 1.029235, 1.029235, 1.036992,0.997318, 0.997318, 0.997318, 0.997318, 1.004835,1.062366, 1.062366, 1.062366, 1.062366, 1.062366,0.995983, 0.995983, 0.995983, 0.995983, 0.995983,0.914794, 0.914794, 0.914794, 0.914794, 0.914794,0.914794, 0.914794, 0.914794, 0.914794, 0.914794,0.888716, 0.888716, 0.888716, 0.888716, 0.888716,0.934753, 0.934753, 0.934753, 0.934753, 0.934753,1, 1, 1, 1, 1,1, 1, 1, 1, 1
18,1.029235, 1.029235, 1.029235, 1.029235, 1.036992,0.997318, 0.997318, 0.997318, 0.997318, 1.004835,1.062366, 1.062366, 1.062366, 1.062366, 1.062366,0.995983, 0.995983, 0.995983, 0.995983, 0.995983,0.914794, 0.914794, 0.914794, 0.914794, 0.914794,0.914794, 0.914794, 0.914794, 0.914794, 0.914794,0.888716, 0.888716, 0.888716, 0.888716, 0.888716,0.934753, 0.934753, 0.934753, 0.934753, 0.934753,1, 1, 1, 1, 1,1, 1, 1, 1, 1
20,1.038181, 1.038181, 1.038181, 1.038181, 1.046006,0.999499, 0.999499, 0.999499, 0.999499, 1.007032,1.064689, 1.064689, 1.064689, 1.064689, 1.064689,0.998161, 0.998161, 0.998161, 0.998161, 0.998161,0.916794, 0.916794, 0.916794, 0.916794, 0.916794,0.916794, 0.916794, 0.916794, 0.916794, 0.916794,0.896441, 0.896441, 0.896441, 0.896441, 0.896441,0.942878, 0.942878, 0.942878, 0.942878, 0.942878,1.008692, 1.008692, 1.008692, 1.008692, 1.008692,1.008692, 1.008692, 1.008692, 1.008692, 1.008692
22,1.08175, 1.08175, 1.08175, 1.08175, 1.089903,1.041445, 1.077108, 1.077108, 1.077108, 1.085226,1.109371, 1.14736, 1.14736, 1.143694, 1.143694,1.023567, 1.058618, 1.058618, 1.055236, 1.055236,0.94013, 0.972324, 0.972324, 0.969217, 0.969217,0.94013, 0.972324, 0.972324, 0.969217, 0.969217,0.919259, 0.950738, 0.950738, 0.9477, 0.965116,0.982448, 1.016091, 1.016091, 1.012845, 1.031458,1.051024, 1.087015, 1.087015, 1.083542, 1.083542,1.051024, 1.051024, 1.051024, 1.047666, 1.047666
24,1.124269, 1.124269, 1.124269, 1.124269, 1.132743,1.08238, 1.119445, 1.119445, 1.119445, 1.127882,1.152975, 1.192457, 1.192457, 1.188647, 1.188647,1.0638, 1.100229, 1.100229, 1.096714, 1.096714,0.977083, 1.010542, 1.010542, 1.007313, 1.007313,0.977083, 1.010542, 1.010542, 1.007313, 1.007313,0.955391, 0.988107, 0.988107, 0.98495, 0.98495,1.021064, 1.056029, 1.056029, 1.052655, 1.052655,1.051024, 1.087015, 1.087015, 1.083542, 1.083542,1.051024, 1.051024, 1.051024, 1.047666, 1.047666
26,1.124269, 1.124269, 1.124269, 1.124269, 1.132743,1.08238, 1.08238, 1.08238, 1.08238, 1.090538,1.152975, 1.152975, 1.152975, 1.149291, 1.149291,1.0638, 1.0638, 1.0638, 1.060401, 1.060401,1.027697, 1.027697, 1.027697, 1.032955, 1.032955,1.027697, 1.027697, 1.027697, 1.032955, 1.032955,1.004882, 1.004882, 1.004882, 1.010022, 1.010022,1.021064, 1.021064, 1.021064, 1.026287, 1.026287,1.051024, 1.051024, 1.051024, 1.0564, 1.0564,1.051024, 1.051024, 1.051024, 1.0564, 1.0564
28,1.063451, 1.063451, 1.063451, 1.097084, 1.105353,1.023829, 1.023829, 1.023829, 1.056209, 1.06417,1.090605, 1.090605, 1.090605, 1.121501, 1.121501,1.04278, 1.04278, 1.04278, 1.072322, 1.072322,1.00739, 1.00739, 1.00739, 1.044567, 1.044567,1.00739, 1.00739, 1.00739, 1.044567, 1.044567,0.985027, 0.985027, 0.985027, 1.021377, 1.021377,1.000889, 1.000889, 1.000889, 1.037825, 1.037825,1.030256, 1.030256, 1.030256, 1.068276, 1.068276,1.030256, 1.030256, 1.030256, 1.068276, 1.068276
30,1.063451, 1.046063, 1.046063, 1.079146, 1.08728,1.023829, 1.007088, 1.007088, 1.038938, 1.046768,1.090605, 1.072773, 1.072773, 1.103165, 1.103165,1.04278, 1.02573, 1.02573, 1.054789, 1.070211,1.00739, 0.990918, 0.990918, 1.027486, 1.027486,1.00739, 0.990918, 0.990918, 1.027486, 1.027486,0.985027, 0.968921, 0.968921, 1.004677, 1.038099,1.000889, 0.984523, 0.984523, 1.020856, 1.054816,1.030256, 1.01341, 1.01341, 1.050808, 1.066172,1.030256, 1.01341, 1.01341, 1.050808, 1.066172
