,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.123727, 1.11218, 1.110119, 1.126623, 1.225009,1.162391, 1.128908, 1.121769, 1.115407, 1.250008,1.119877, 1.090425, 1.090425, 1.091634, 1.237719,1.105395, 1.068444, 1.068444, 1.061109, 1.167727,1.197946, 1.15066, 1.15066, 1.142761, 1.194954,1.095635, 1.060235, 1.060235, 1.060235, 1.060235,1.140999, 1.104133, 1.104133, 1.104133, 1.104133,1.022675, 1.022675, 1.022675, 1.022675, 1.022675,1, 1, 1, 1, 1,1, 1, 1, 1, 1
14,1.136287, 1.094027, 1.091999, 1.138567, 1.204282,1.218923, 1.151616, 1.144333, 1.168988, 1.27438,1.216114, 1.151924, 1.151924, 1.184769, 1.349038,1.207444, 1.144588, 1.144588, 1.167846, 1.256872,1.303964, 1.228354, 1.228354, 1.268563, 1.297275,1.140834, 1.087738, 1.087738, 1.13111, 1.106188,1.188069, 1.132775, 1.132775, 1.177942, 1.150983,1.057298, 1.041749, 1.041749, 1.078483, 1.050675,1.091851, 1.075794, 1.075794, 1.075794, 1.075794,1, 1, 1, 1, 1
16,1.20974, 1.082626, 1.08062, 1.083261, 1.189538,1.32531, 1.163848, 1.156488, 1.135855, 1.288857,1.285059, 1.131411, 1.131411, 1.118804, 1.295226,1.275896, 1.11582, 1.11582, 1.094597, 1.163677,1.377886, 1.197479, 1.197479, 1.188995, 1.203787,1.205509, 1.060399, 1.060399, 1.060164, 1.02781,1.255424, 1.106504, 1.106504, 1.106259, 1.082889,1.117238, 1.017589, 1.017589, 1.042046, 1.005111,1.153751, 1.050846, 1.050846, 1.03945, 1.027785,1.078883, 0.997322, 0.997322, 0.982547, 0.97152
18,1.071082, 0.969917, 0.972316, 0.954967, 1.113892,1.215753, 1.080309, 1.062407, 1.04345, 1.257658,1.194818, 1.07822, 1.067101, 1.055208, 1.296179,1.1863, 1.063364, 1.059344, 1.039195, 1.172223,1.285624, 1.145188, 1.140858, 1.132775, 1.216883,1.20275, 1.084383, 1.080283, 1.080044, 1.111004,1.171363, 1.067128, 1.067128, 1.066892, 1.10811,1.114682, 1.049397, 1.049397, 1.074619, 1.09981,1.15111, 1.083692, 1.083692, 1.071939, 1.124615,1.076414, 1.028495, 1.028495, 1.013258, 1.036415
20,1.189117, 1.045865, 1.049312, 1.023316, 1.226264,1.349726, 1.164899, 1.146535, 1.118132, 1.38453,1.326488, 1.170057, 1.157991, 1.137004, 1.417958,1.317029, 1.153935, 1.149573, 1.119749, 1.282352,1.427298, 1.254126, 1.249384, 1.231778, 1.343416,1.309006, 1.164158, 1.159756, 1.151317, 1.170678,1.274842, 1.145629, 1.145629, 1.137293, 1.167628,1.213154, 1.126595, 1.126595, 1.14553, 1.158878,1.252801, 1.221882, 1.221882, 1.200102, 1.236713,1.113935, 1.102659, 1.102659, 1.078656, 1.107206
22,1.147332, 1.123305, 1.148789, 1.102303, 1.311806,1.302303, 1.251158, 1.255232, 1.222312, 1.491166,1.297496, 1.273993, 1.285222, 1.26005, 1.548194,1.288246, 1.256439, 1.275878, 1.257513, 1.418847,1.396104, 1.353118, 1.360654, 1.357387, 1.45854,1.280391, 1.256045, 1.251296, 1.25692, 1.259178,1.264403, 1.250839, 1.250839, 1.256461, 1.270915,1.203224, 1.230061, 1.230061, 1.265567, 1.261401,1.242544, 1.334093, 1.334093, 1.32585, 1.346113,1.104815, 1.203923, 1.203923, 1.191683, 1.205155
24,1.334903, 1.282856, 1.308412, 1.273897, 1.493994,1.552122, 1.463677, 1.464476, 1.447002, 1.739641,1.483542, 1.429819, 1.429752, 1.418804, 1.717928,1.472964, 1.42071, 1.430018, 1.426585, 1.586235,1.478197, 1.429836, 1.425171, 1.421749, 1.505509,1.336228, 1.308215, 1.291821, 1.297628, 1.281076,1.319541, 1.305385, 1.293919, 1.299734, 1.295592,1.255693, 1.283698, 1.272423, 1.309153, 1.285891,1.296732, 1.392275, 1.383785, 1.375235, 1.375972,1.175496, 1.280943, 1.273132, 1.260187, 1.255922
26,1.256185, 1.229689, 1.240797, 1.19437, 1.370061,1.368148, 1.314215, 1.320147, 1.289609, 1.51648,1.307699, 1.283815, 1.288847, 1.264481, 1.497558,1.298372, 1.275634, 1.289085, 1.271411, 1.382748,1.302983, 1.283829, 1.284717, 1.267104, 1.312383,1.177848, 1.174631, 1.164513, 1.156487, 1.115293,1.154326, 1.163211, 1.157567, 1.149588, 1.119382,1.131277, 1.178047, 1.172332, 1.197812, 1.14928,1.168249, 1.200648, 1.198061, 1.182405, 1.155641,1.113758, 1.16173, 1.159225, 1.139484, 1.109327
28,1.256185, 1.151847, 1.17354, 1.083865, 1.124297,1.368148, 1.231021, 1.248589, 1.170292, 1.244456,1.307699, 1.202545, 1.218984, 1.147488, 1.228923,1.298372, 1.203752, 1.228261, 1.162345, 1.185938,1.302983, 1.211486, 1.224097, 1.152414, 1.11725,1.177848, 1.108442, 1.109566, 1.051812, 0.987223,1.154326, 1.097665, 1.102949, 1.045539, 0.999982,1.131277, 1.111665, 1.117016, 1.089395, 1.026684,1.168249, 1.136865, 1.145432, 1.117106, 1.072422,1.113758, 1.100015, 1.108303, 1.076557, 1.040016
30,1.324915, 1.213692, 1.228283, 1.117088, 1.119567,1.443009, 1.306853, 1.325502, 1.218726, 1.252121,1.379248, 1.276616, 1.294069, 1.194973, 1.236486,1.369421, 1.277909, 1.303928, 1.215093, 1.19782,1.378877, 1.290416, 1.303848, 1.208735, 1.132217,1.246451, 1.180655, 1.181853, 1.124628, 1.019863,1.221565, 1.169183, 1.17481, 1.117926, 1.033049,1.197172, 1.176417, 1.18208, 1.157265, 1.052844,1.236297, 1.203085, 1.21215, 1.186706, 1.109006,1.17863, 1.164085, 1.172859, 1.143629, 1.075491
