,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.071531, 1.071531, 1.071531, 1.071531, 1.119014,1.046527, 1.046527, 1.046527, 1.046527, 1.092902,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
14,1.071531, 1.071531, 1.071531, 1.071531, 1.090161,1.046527, 1.046527, 1.046527, 1.046527, 1.092902,1.019513, 1.019513, 1.019513, 1.019513, 1.019513,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
16,1.159322, 1.159322, 1.159322, 1.159322, 1.179478,1.132269, 1.132269, 1.132269, 1.132269, 1.182443,1.080336, 1.080336, 1.080336, 1.080336, 1.080336,1.081913, 1.081913, 1.081913, 1.081913, 1.081913,1.081913, 1.081913, 1.081913, 1.081913, 1.081913,1.048363, 1.048363, 1.048363, 1.048363, 1.048363,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
18,1.15963, 1.15963, 1.15963, 1.15963, 1.188684,1.132569, 1.132569, 1.132569, 1.132569, 1.223518,1.080622, 1.080622, 1.080622, 1.080622, 1.117864,1.082199, 1.082199, 1.082199, 1.082199, 1.119496,1.082199, 1.082199, 1.082199, 1.082199, 1.119496,1.048363, 1.048363, 1.048363, 1.048363, 1.084494,1, 1, 1, 1, 1.007537,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
20,1.200052, 1.253703, 1.253703, 1.253703, 1.285113,1.172046, 1.224445, 1.224445, 1.224445, 1.322773,1.118289, 1.168284, 1.168284, 1.168284, 1.208547,1.119921, 1.169989, 1.169989, 1.169989, 1.210311,1.119921, 1.169989, 1.169989, 1.169989, 1.210311,1.084906, 1.133409, 1.133409, 1.133409, 1.172471,1, 1.044707, 1.044707, 1.044707, 1.052581,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
22,1.18351, 1.236421, 1.236421, 1.236421, 1.267399,1.155891, 1.207567, 1.207567, 1.207567, 1.304539,1.118289, 1.168284, 1.168284, 1.182138, 1.222879,1.119921, 1.169989, 1.169989, 1.183863, 1.224663,1.119921, 1.169989, 1.169989, 1.169989, 1.210311,1.084906, 1.133409, 1.133409, 1.133409, 1.172471,1, 1.044707, 1.044707, 1.044707, 1.052581,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
24,1.202783, 1.256556, 1.256556, 1.256556, 1.288038,1.174715, 1.227233, 1.227233, 1.227233, 1.325784,1.09704, 1.146085, 1.146085, 1.159675, 1.199641,1.191568, 1.244839, 1.244839, 1.2596, 1.303011,1.191568, 1.244839, 1.244839, 1.244839, 1.28774,1.154313, 1.205919, 1.205919, 1.205919, 1.247479,1.063975, 1.111542, 1.111542, 1.111542, 1.11992,1.063975, 1.063975, 1.063975, 1.063975, 1.063975,1.081149, 1.081149, 1.081149, 1.081149, 1.081149,1, 1, 1, 1, 1
26,1.216615, 1.216615, 1.216615, 1.216615, 1.247097,1.188225, 1.188225, 1.188225, 1.188225, 1.283644,1.109656, 1.109656, 1.109656, 1.122814, 1.16151,1.205271, 1.205271, 1.205271, 1.219563, 1.261593,1.205271, 1.205271, 1.205271, 1.205271, 1.246809,1.167588, 1.167588, 1.167588, 1.167588, 1.207827,1.076211, 1.076211, 1.076211, 1.076211, 1.084322,1.076211, 1.076211, 1.076211, 1.076211, 1.076211,1.05033, 1.05033, 1.05033, 1.05033, 1.05033,0.910005, 0.910005, 0.910005, 0.910005, 0.910005
28,1.216615, 1.220334, 1.220334, 1.220334, 1.165276,1.188225, 1.188225, 1.188225, 1.188225, 1.19577,1.109656, 1.109656, 1.109656, 1.122814, 1.081997,1.205271, 1.205271, 1.205271, 1.219563, 1.261593,1.205271, 1.205271, 1.205271, 1.205271, 1.246809,1.167588, 1.167588, 1.167588, 1.167588, 1.207827,1.076211, 1.076211, 1.076211, 1.076211, 1.084322,1.076211, 1.076211, 1.076211, 1.076211, 1.076211,1.05033, 1.05033, 1.05033, 1.05033, 1.05033,0.910005, 0.910005, 0.910005, 0.910005, 0.910005
30,1.216615, 1.220334, 1.220334, 1.220334, 1.165276,1.188225, 1.188225, 1.188225, 1.188225, 1.19577,1.174292, 1.174292, 1.174292, 1.188217, 1.145022,1.275477, 1.275477, 1.275477, 1.290602, 1.33508,1.275477, 1.275477, 1.275477, 1.275477, 1.319434,1.235597, 1.235597, 1.235597, 1.235597, 1.27818,1.138899, 1.138899, 1.138899, 1.138899, 1.147483,1.138899, 1.138899, 1.138899, 1.138899, 1.138899,1.11151, 1.11151, 1.11151, 1.11151, 1.11151,0.963012, 0.963012, 0.963012, 0.963012, 0.963012
