,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.010599, 1.012373, 1.012373, 1.012373, 1.020003,0.959226, 0.993814, 0.993814, 0.988147, 0.995595,1.021789, 1.058634, 1.058634, 1.059656, 1.059656,0.880056, 0.91179, 0.91179, 0.91267, 0.91267,0.808317, 0.837465, 0.830502, 0.831303, 0.831303,0.857178, 0.888087, 0.880703, 0.880703, 0.880703,0.838146, 0.868369, 0.861149, 0.861149, 0.876974,0.844701, 0.87516, 0.867884, 0.867884, 0.883833,0.958285, 0.99284, 0.99284, 0.99284, 0.99284,1, 1.001755, 1.001755, 1.001755, 1.001755
14,1.071686, 1.073567, 1.073567, 1.073567, 1.081658,1.017207, 1.053886, 1.057013, 1.050986, 1.058907,1.083553, 1.122625, 1.125956, 1.125956, 1.125956,0.933253, 0.966905, 0.969774, 0.969774, 0.969774,0.857178, 0.888087, 0.883317, 0.883317, 0.883317,0.857178, 0.888087, 0.883317, 0.883317, 0.883317,0.838146, 0.868369, 0.863704, 0.863704, 0.879576,0.89576, 0.92806, 0.916839, 0.916839, 0.933688,0.958285, 0.99284, 0.989059, 0.989059, 0.989059,1, 1.001755, 0.99794, 0.99794, 0.99794
16,1.158612, 1.147984, 1.147984, 1.147984, 1.156636,1.115444, 1.143059, 1.143059, 1.136541, 1.145107,1.188196, 1.217612, 1.217612, 1.213722, 1.213722,1.02338, 1.048715, 1.048715, 1.045364, 1.045364,0.93996, 0.963231, 0.955223, 0.952171, 0.952171,0.93996, 0.963231, 0.955223, 0.952171, 0.952171,0.919091, 0.941845, 0.934015, 0.931031, 0.948141,0.982268, 1.006585, 0.991474, 0.988306, 1.006468,1.050832, 1.076847, 1.069573, 1.066156, 1.066156,1.096575, 1.086515, 1.079176, 1.075728, 1.075728
18,1.128633, 1.11828, 1.11828, 1.11828, 1.126708,1.086582, 1.113482, 1.113482, 1.107133, 1.115477,1.157451, 1.186105, 1.186105, 1.182315, 1.182315,0.9969, 1.02158, 1.02158, 1.018316, 1.033205,0.915636, 0.938303, 0.930502, 0.935262, 0.935262,0.915636, 0.938303, 0.930502, 0.935262, 0.935262,0.895309, 0.917474, 0.909846, 0.9145, 0.944923,0.956851, 0.98054, 0.965819, 0.970759, 1.003053,1.023641, 1.048983, 1.041897, 1.047227, 1.062539,1.096575, 1.086515, 1.079176, 1.084696, 1.100555
20,1.128633, 1.11828, 1.11828, 1.11828, 1.126708,1.086582, 1.113482, 1.113482, 1.107133, 1.115477,1.147804, 1.17622, 1.17622, 1.172462, 1.172462,1.059027, 1.085245, 1.085245, 1.081778, 1.097595,0.9727, 0.996781, 0.988494, 0.993551, 0.993551,0.9727, 0.996781, 0.988494, 0.993551, 0.993551,0.951105, 0.974651, 0.966548, 0.971492, 1.00381,1.016483, 1.036212, 1.027597, 1.032854, 1.067214,1.087436, 1.053292, 1.053292, 1.05868, 1.074159,1.087436, 1.018417, 1.018417, 1.023626, 1.038592
22,1.08175, 1.083648, 1.083648, 1.117919, 1.126345,1.041445, 1.078999, 1.078999, 1.113123, 1.121513,1.109371, 1.149374, 1.149374, 1.181936, 1.181936,1.060721, 1.09897, 1.09897, 1.130104, 1.146627,0.974256, 1.009387, 1.009387, 1.046637, 1.046637,0.974256, 1.009387, 1.009387, 1.046637, 1.046637,0.93612, 0.969876, 0.969876, 1.005667, 1.039122,1.000468, 1.031136, 1.031136, 1.069188, 1.104756,1.070302, 1.048129, 1.048129, 1.086808, 1.102698,1.070302, 1.013425, 1.013425, 1.050824, 1.066188
24,1.023232, 1.00095, 1.00095, 1.032606, 1.090745,0.98511, 0.996658, 0.996658, 1.028178, 1.086067,1.049359, 1.061661, 1.061661, 1.091738, 1.144579,1.003343, 1.015105, 1.015105, 1.043863, 1.110388,0.921555, 0.932358, 0.932358, 0.966765, 1.013557,0.921555, 0.932358, 0.932358, 0.966765, 1.013557,0.885481, 0.895862, 0.895862, 0.928922, 1.00628,0.946348, 0.952446, 0.952446, 0.987594, 1.069839,1.012403, 0.968142, 0.968142, 1.003869, 1.067846,1.012403, 0.936086, 0.936086, 0.970631, 1.032489
26,1.063451, 1.040294, 1.040294, 1.073194, 1.133618,1.023829, 1.03583, 1.03583, 1.068589, 1.128754,1.090605, 1.103391, 1.103391, 1.13465, 1.189568,1.04278, 1.055005, 1.055005, 1.084894, 1.154034,0.957776, 0.964428, 0.95641, 0.991704, 1.039703,0.957776, 0.964428, 0.95641, 0.991704, 1.039703,0.936514, 0.943018, 0.935178, 0.969689, 1.050442,1.000889, 1.002581, 0.994246, 1.030937, 1.116791,1.030256, 1.031998, 1.031998, 1.070082, 1.138278,1.030256, 0.997829, 0.997829, 1.034652, 1.10059
28,1.063451, 1.040294, 1.040294, 1.073194, 1.133618,1.023829, 1.03583, 1.03583, 1.068589, 1.128754,1.090605, 1.094454, 1.094454, 1.12546, 1.179933,1.04278, 1.046459, 1.046459, 1.076105, 1.144685,1.00739, 1.00617, 0.997805, 1.034627, 1.084704,1.00739, 1.019824, 1.011345, 1.048667, 1.099424,0.985027, 0.997186, 0.988895, 1.025389, 1.110782,1.000889, 1.013244, 1.00482, 1.041901, 1.128669,1.030256, 1.042974, 1.042974, 1.081463, 1.150384,1.030256, 1.00844, 1.00844, 1.045655, 1.112295
30,1.063451, 1.053487, 1.053487, 1.086805, 1.147995,1.023829, 1.048967, 1.048967, 1.082142, 1.14307,1.090605, 1.108333, 1.108333, 1.139732, 1.194896,1.04278, 1.05973, 1.05973, 1.089752, 1.159201,1.00739, 1.018931, 1.01046, 1.047749, 1.098461,1.00739, 1.032759, 1.024173, 1.061967, 1.113367,0.985027, 1.009833, 1.001437, 1.038393, 1.124868,1.000889, 1.026094, 1.017563, 1.055114, 1.142981,1.030256, 1.0562, 1.0562, 1.095177, 1.164973,1.030256, 1.021229, 1.021229, 1.058915, 1.126399
