,2_y16,2_y17,2_y18,2_y19,2_y20,3_y16,3_y17,3_y18,3_y19,3_y20,4_y16,4_y17,4_y18,4_y19,4_y20,5_y16,5_y17,5_y18,5_y19,5_y20,6_y16,6_y17,6_y18,6_y19,6_y20,7_y16,7_y17,7_y18,7_y19,7_y20,8_y16,8_y17,8_y18,8_y19,8_y20,9_y16,9_y17,9_y18,9_y19,9_y20,10_y16,10_y17,10_y18,10_y19,10_y20,11_y16,11_y17,11_y18,11_y19,11_y20
12,1.123372, 1.123372, 1.123372, 1.123372, 1.142903,1.097157, 1.097157, 1.097157, 1.097157, 1.145775,1.046835, 1.046835, 1.046835, 1.046835, 1.046835,1.048363, 1.048363, 1.048363, 1.048363, 1.048363,1.048363, 1.048363, 1.048363, 1.048363, 1.048363,1.048363, 1.048363, 1.048363, 1.048363, 1.048363,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
14,1.159322, 1.211152, 1.211152, 1.211152, 1.23221,1.132269, 1.182889, 1.182889, 1.182889, 1.235306,1.080336, 1.128635, 1.128635, 1.128635, 1.128635,1.081913, 1.130282, 1.130282, 1.130282, 1.130282,1.081913, 1.130282, 1.130282, 1.130282, 1.130282,1.048363, 1.095232, 1.095232, 1.095232, 1.095232,1, 1.044707, 1.044707, 1.044707, 1.044707,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
16,1.260194, 1.316533, 1.316533, 1.316533, 1.349518,1.230786, 1.285811, 1.285811, 1.285811, 1.389067,1.174335, 1.226836, 1.226836, 1.226836, 1.269117,1.176048, 1.228626, 1.228626, 1.228626, 1.270969,1.119921, 1.169989, 1.169989, 1.169989, 1.210311,1.084906, 1.133409, 1.133409, 1.133409, 1.172471,1, 1.044707, 1.044707, 1.044707, 1.052581,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
18,1.200052, 1.253703, 1.253703, 1.253703, 1.285113,1.172046, 1.224445, 1.224445, 1.224445, 1.322773,1.118289, 1.168284, 1.168284, 1.182138, 1.222879,1.119921, 1.169989, 1.169989, 1.183863, 1.224663,1.119921, 1.169989, 1.169989, 1.169989, 1.210311,1.084906, 1.133409, 1.133409, 1.133409, 1.172471,1, 1.044707, 1.044707, 1.044707, 1.052581,1, 1, 1, 1, 1,1, 1, 1, 1, 1,1, 1, 1, 1, 1
20,1.269817, 1.326587, 1.326587, 1.326587, 1.266735,1.240183, 1.295628, 1.295628, 1.295628, 1.303855,1.164505, 1.216567, 1.216567, 1.230993, 1.186243,1.166204, 1.218341, 1.218341, 1.232788, 1.275275,1.166204, 1.218341, 1.218341, 1.218341, 1.26033,1.129742, 1.180249, 1.180249, 1.180249, 1.220925,1.041327, 1.087882, 1.087882, 1.087882, 1.096081,1.041327, 1.041327, 1.041327, 1.041327, 1.041327,1.016285, 1.016285, 1.016285, 1.016285, 1.016285,1, 1, 1, 1, 1
22,1.216615, 1.271006, 1.271006, 1.278222, 1.220551,1.188225, 1.241347, 1.241347, 1.248394, 1.25632,1.131308, 1.181885, 1.181885, 1.202689, 1.158968,1.205271, 1.259155, 1.259155, 1.281319, 1.325477,1.205271, 1.259155, 1.259155, 1.266303, 1.309944,1.167588, 1.219787, 1.219787, 1.219787, 1.261826,1.076211, 1.124325, 1.124325, 1.124325, 1.132799,1.076211, 1.076211, 1.076211, 1.076211, 1.076211,1.05033, 1.05033, 1.05033, 1.05033, 1.05033,0.910005, 0.910005, 0.910005, 0.910005, 0.910005
24,1.216615, 1.274891, 1.274891, 1.282129, 1.225245,1.188225, 1.241347, 1.241347, 1.248394, 1.25632,1.109656, 1.159265, 1.159265, 1.179671, 1.137679,1.205271, 1.259155, 1.259155, 1.281319, 1.326519,1.205271, 1.259155, 1.259155, 1.266303, 1.310974,1.167588, 1.219787, 1.219787, 1.219787, 1.261826,1.076211, 1.124325, 1.124325, 1.124325, 1.132799,1.076211, 1.076211, 1.076211, 1.076211, 1.076211,1.05033, 1.05033, 1.05033, 1.05033, 1.05033,0.910005, 0.910005, 0.910005, 0.910005, 0.910005
26,1.216615, 1.274891, 1.274891, 1.282129, 1.225245,1.188225, 1.241347, 1.241347, 1.248394, 1.25632,1.174292, 1.226791, 1.226791, 1.248385, 1.203949,1.275477, 1.3325, 1.3325, 1.310703, 1.356941,1.275477, 1.3325, 1.3325, 1.295343, 1.341038,1.235597, 1.290837, 1.290837, 1.247758, 1.29076,1.138899, 1.189816, 1.189816, 1.150108, 1.158776,1.138899, 1.138899, 1.138899, 1.138899, 1.138899,1.11151, 1.11151, 1.11151, 1.11151, 1.11151,0.963012, 0.963012, 0.963012, 0.963012, 0.963012
28,1.267673, 1.328396, 1.328396, 1.335937, 1.282603,1.23809, 1.293441, 1.293441, 1.300784, 1.315133,1.223574, 1.278276, 1.278276, 1.300777, 1.251882,1.329005, 1.388421, 1.388421, 1.36571, 1.410964,1.329005, 1.388421, 1.388421, 1.349704, 1.394429,1.287452, 1.34501, 1.34501, 1.300123, 1.34215,1.186694, 1.239748, 1.239748, 1.198374, 1.20491,1.186694, 1.186694, 1.186694, 1.186694, 1.184241,1.158156, 1.158156, 1.158156, 1.158156, 1.155762,1.003427, 1.003427, 1.003427, 1.003427, 1.001353
30,1.267673, 1.328396, 1.328396, 1.335937, 1.282603,1.23809, 1.293441, 1.293441, 1.300784, 1.315133,1.223574, 1.278276, 1.278276, 1.300777, 1.251882,1.329005, 1.388421, 1.388421, 1.36571, 1.468838,1.329005, 1.388421, 1.388421, 1.349704, 1.451624,1.287452, 1.34501, 1.34501, 1.300123, 1.397201,1.186694, 1.239748, 1.239748, 1.198374, 1.254332,1.186694, 1.186694, 1.186694, 1.186694, 1.232815,1.158156, 1.158156, 1.158156, 1.158156, 1.203168,1.003427, 1.003427, 1.003427, 1.003427, 1.042425
