,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
291,20杭州银行CD240,99.29,2.8998,,2.8998,
292,18建元4A3_bc,88.62,,,,
293,20东莞农村商业银行CD195,99.27,2.9688,,2.9688,
294,20中信建投CP015,100.01,2.9900,-1.99,2.9738,
295,20民生银行CD469,97.79,2.9799,-15.01,2.9839,
296,20宁波银行二级,97.73,4.3916,,4.3914,
297,20银河证券CP013,99.99,3.0500,-5.04,3.0301,
298,20上海银行CD286,98.19,3.7501,1.0,3.7501,
299,20宁波银行CD225,99.30,2.7999,1.0,2.7999,
300,17建元8A2,94.07,,,,
301,20中信银行CD319,98.51,3.0300,2.0,3.0300,
302,18广元1A2,88.49,,,,
303,18工元11A2,92.57,,,,
304,20北京银行CD008,97.23,2.7799,,2.7799,
305,19华润MTN005,100.14,3.5200,0.67,3.5200,
306,20华夏银行CD460,98.44,3.1682,-0.16,3.1682,
307,17滨海农商二级01,99.10,5.1624,3.58,5.1624,
308,20建设银行CD088,98.59,2.7002,-19.8,2.7002,
309,20盛京银行CD458,99.10,3.6898,,3.6898,
310,18远洋控股ABN001优先,95.93,,,,
311,20华润银行永续债,100.00,4.7999,,4.7999,
312,20兴业银行小微债03,97.94,3.4700,1.0,3.4691,
313,19工元宜居3A2,100.79,,,,
314,18进出02,100.20,2.7097,-3.04,2.7279,
315,14国开29,103.09,3.3662,-6.99,3.3662,
316,20粤电发SCP003,99.71,3.1899,,3.1899,
317,18进出13,100.66,2.8500,-11.23,2.8506,
318,20平安银行CD146,98.83,2.5996,-29.99,2.6474,
319,20华润控股MTN002A,97.12,3.7000,-15.0,3.7025,
320,20华夏银行CD480,97.05,3.0401,-10.96,3.0457,
321,20汇金MTN008A,98.55,3.5300,-6.78,3.5342,
322,20兴业银行CD127,97.92,2.8801,-11.99,2.8334,
323,19中石油MTN006,99.43,3.7400,-3.0,3.7433,
324,16三峡MTN002(5年期),100.20,2.9801,-29.07,2.9779,
325,20建设银行CD079,97.11,2.9847,-24.53,2.9460,
326,20象屿SCP023,100.08,3.3367,-35.26,3.3470,
327,20中电投SCP024,99.94,3.0008,-9.99,3.0167,
328,20广州银行CD008,97.20,2.7998,-20.04,2.7998,
329,16农发08,99.89,3.3920,-0.39,3.3920,
330,20进出666,98.95,1.6564,-14.62,1.6691,
331,20华融湘江银行CD177,97.51,3.3999,,3.3999,
332,20北京债03,96.12,3.5800,,3.5800,
333,19进出03,100.02,2.9400,-5.0,2.9730,
334,20江苏银行CD221,97.02,3.0600,-17.0,3.0695,
335,19华为MTN002,99.63,3.6900,1.0,3.7186,
336,20山西债38,99.97,3.2300,-2.0,3.2371,
337,20北控集SCP003,99.88,3.0097,-34.05,3.0100,
338,20新疆债21,95.09,3.9850,,3.9873,
339,13国开31,102.31,3.2200,2.0,3.2018,
340,19进出10,101.09,3.7050,1.0,3.7025,
341,20浦发银行CD039,97.26,2.6800,-24.98,2.6839,
342,19工商银行二级01,100.25,4.2206,-0.38,4.2206,
343,18江苏债09,100.52,2.7601,-8.99,2.7601,
344,20民生银行CD158,98.04,2.8199,1.0,2.8000,
345,20电网CP005,99.35,2.9568,-6.32,2.9693,
346,19农发08,100.81,3.4650,-1.75,3.4675,
347,20铁塔股份SCP006,99.85,3.1499,6.96,3.1499,
348,20郑州银行CD261,99.27,2.8998,,2.8998,
349,19济南轨交MTN001,100.00,6.6864,-13.99,6.6864,
350,20华夏银行CD286,98.59,2.7901,-50.98,2.7952,
351,18工元1A2,66.89,,,,
352,19江苏债03,100.19,3.2350,,3.2350,
353,20民生银行CD480,97.79,2.9799,-38.01,2.9799,
354,20光大银行CD253,97.80,2.9600,1.0,2.9325,
355,20宝钢SCP016,99.89,3.0591,,3.0546,
356,20成都农商银行CD105,99.24,3.1201,,3.1001,
357,20民生银行CD518,97.84,2.9099,-15.01,2.9099,
358,20光大银行CD285,99.29,2.6798,-82.04,2.6798,
359,20兴业银行CD243,97.32,2.9699,,2.9699,
360,20国航SCP009,99.99,2.1007,10.12,2.0880,
361,19平安财险,101.61,4.9473,-0.2,4.9473,
362,20建设银行CD127,99.31,2.6998,,2.6998,
363,16中油股MTN001,100.17,2.9500,-24.3,2.9500,
364,20平安银行CD257,97.74,3.0800,,3.0200,
365,20交通银行CD054,97.95,2.7975,-0.26,2.7989,
366,20深圳地铁MTN003,100.17,3.5773,25.55,3.5794,
367,20中信银行CD160,97.02,3.1599,-0.21,3.1608,
368,20兴业银行永续债,99.60,4.8200,-0.1,4.8200,
369,17江苏债03,100.73,2.9140,-1.6,2.9140,
