,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,99.87,3.7150,2.5,3.6994,
1,20附息国债13,99.55,3.1200,2.5,3.1067,
2,20建设银行CD171,98.53,2.9901,,3.1258,
3,20国开10,94.79,3.7500,2.75,3.7306,
4,20中信银行CD318,96.82,3.2797,,3.2726,
5,20国开12,99.67,3.4150,4.0,3.3941,
6,20附息国债16,99.79,3.2950,3.5,3.2726,
7,20交通银行CD273,96.90,3.2000,,3.2395,
8,20中国银行CD109,98.45,3.1497,,3.1487,
9,20民生银行CD561,96.82,3.2797,,3.2716,
10,20广发银行CD235,98.45,3.1497,,3.1461,
11,20附息国债12,99.76,3.8235,0.35,3.8248,
12,20浦发银行CD513,96.94,3.1500,1.0,3.1615,
13,20附息国债11,99.47,2.9650,4.75,2.9387,
14,20附息国债08,97.56,3.2725,2.25,3.2683,
15,20广发银行CD234,99.27,2.9998,,2.9998,
16,20中国银行CD108,96.85,3.2497,,3.2498,
17,20附息国债06,94.99,3.3025,4.25,3.2853,
18,20国开01,99.96,2.7696,7.01,2.7185,
19,20国开07,99.49,3.2000,2.5,3.1914,
20,20附息国债14,99.67,2.9980,3.05,2.9720,
21,18国开12,100.70,2.6891,-21.24,2.8143,
22,20附息国债15,100.07,2.8100,4.0,2.8112,
23,20附息国债17,99.88,3.3000,4.75,3.2737,
24,19进出03,99.93,3.0150,1.23,3.4535,
25,20附息国债09,98.37,3.0300,4.5,2.9965,
26,20金融街MTN003,100.00,3.9700,,3.9689,
27,20国开16,99.86,2.8700,-1.0,2.8511,
28,20渤海银行CD501,98.41,3.2497,,3.2497,
29,20民生银行CD443,98.56,2.9499,-15.01,2.9499,
30,20兴业银行CD522,99.27,2.9998,,2.9998,
31,20广州城投MTN004,100.00,3.9300,,3.9300,
32,20国开03,99.36,3.4000,2.5,3.4066,
33,19广东债38,100.61,3.1500,-5.0,3.1500,
34,20附息国债05,95.32,3.1650,4.5,3.1305,
35,20平安银行CD319,96.82,3.2797,,3.2797,
36,20浦发银行CD515,96.82,3.2797,,3.2797,
37,20鸿鑫ABN001优先,100.00,,,,
38,20徽商银行CD145,98.43,3.1998,,3.1998,
39,20附息国债01,99.96,2.8201,8.05,2.7795,
40,20兴业银行CD523,96.82,3.2797,,3.2797,
41,18农发12,100.39,2.8700,1.0,2.8546,
42,20贴现国债48,99.39,2.6687,3.9,2.6400,
43,20进出12,99.72,3.1200,0.25,3.1205,
44,20华夏银行CD468,98.45,3.1497,,3.1497,
45,18国开04,103.27,3.1732,-2.5,3.1489,
46,08国债13,111.31,3.2600,1.0,3.2600,
47,20国开11,99.34,2.8447,0.47,2.8021,
48,20北京银行CD168,96.89,3.2100,,3.2607,
49,19国开03,100.02,3.2900,2.5,3.2985,
50,20广州城投MTN003,100.00,3.9200,,3.9200,
51,20邮储银行永续债,96.16,4.6987,-0.13,4.7337,
52,20农发04,93.88,3.7475,2.75,3.7100,
53,20建设银行CD170,99.28,2.9496,,2.9496,
54,20中信银行CD316,98.52,3.0201,-14.97,3.2127,
55,20中电投MTN023,100.00,6.5435,,6.5435,
56,20华夏银行CD465,99.27,2.9998,,2.9998,
57,20华夏银行CD469,96.82,3.2797,,3.2583,
58,20华夏银行CD466,99.29,2.8999,,2.8999,
59,20平安银行CD318,99.76,2.8383,,2.8383,
60,20华夏银行CD464,99.76,2.8383,,2.8383,
61,20农发05,95.46,3.3850,-0.5,3.3917,
62,20江苏银行CD221,96.88,3.2200,-3.0,3.2571,
63,18国开08,100.44,2.8000,1.99,2.7966,
64,16国开06,100.03,2.7501,-2.01,2.7335,
65,20浙商证券CP012,100.00,3.0098,,3.0098,
66,20华夏银行CD473,96.82,3.2800,,3.2695,
67,20太原国投PPN003,100.00,4.6999,,4.6997,
68,20兴业银行CD453,99.26,2.8501,-14.96,2.8855,
69,20进出15,100.04,3.4200,3.59,3.3921,
70,16内蒙古债24,100.08,2.9700,,2.9310,
71,20民生银行CD550,98.52,3.0100,3.0,2.9855,
72,20电网SCP046,99.82,3.0300,,3.0301,
73,20民生银行CD343,98.51,3.3025,-0.18,3.2455,
74,16国开13,97.79,3.4825,-0.75,3.4816,
75,20进出14,99.86,2.8799,-3.24,2.8799,
76,20工商银行二级01,99.14,4.3078,1.46,4.2437,
77,16农发03,100.01,2.7507,3.11,2.7399,
78,20浦发银行CD464,99.27,2.8003,-39.95,2.8334,
79,19进出05,99.87,3.3217,4.17,3.2894,
80,20浦发银行CD130,98.47,1.5996,-5.03,1.7833,
81,19附息国债15,98.73,3.2950,2.0,3.2964,
82,20贴现国债50,99.36,2.6296,-0.58,2.6106,
83,20附息国债10,99.61,2.7900,0.5,2.7850,
84,20平安银行CD061,97.29,2.9399,-56.01,2.9370,
85,19国开04,101.33,3.3950,1.42,3.3864,
86,20国开02,97.05,3.2000,3.0,3.1782,
87,20贴现国债59,99.32,2.7200,1.02,2.7614,
88,20贴现国债57,98.61,2.8045,0.46,2.7829,
89,20浙商银行CD117,99.25,3.0496,,3.0496,
90,19国开02,100.08,2.9528,-2.44,2.9539,
91,20中财再保险,100.00,4.8413,,4.8413,
92,17邮储银行二级01,101.03,4.3059,-7.53,4.3072,
93,20江苏银行CD224,96.85,3.2500,1.0,3.2618,
94,16农发08,99.92,3.3841,0.41,3.3839,
95,16农发21,100.02,2.8901,1.0,2.8861,
96,20北京农商银行CD284,98.43,3.1998,,3.2020,
97,16农发13,100.03,2.8139,-0.62,3.0739,
98,20中信建投CP013,100.01,1.9996,-19.99,2.0008,
99,16进出06,100.11,2.8636,-4.33,2.8669,
100,20农业银行CD109,99.36,1.5966,12.53,1.5950,
101,20国药控股SCP009,99.94,3.3498,2.97,3.3499,
102,20华能新能MTN004,100.88,6.9870,-6.95,6.9870,
103,16邮储银行二级01,99.85,3.3276,-0.46,3.3276,
104,20中石集SCP007,100.00,2.0001,5.05,2.0002,
105,19国开15,98.07,3.7102,-0.99,3.7070,
106,16农发17,100.73,3.2082,-0.18,3.2119,
107,20进出05,98.18,3.4000,2.0,3.3877,
108,20进出13,100.23,3.2450,2.0,3.2309,
109,20国开08,97.92,3.3900,1.0,3.3938,
110,20附息国债02,99.16,2.9375,0.75,2.9381,
111,20江苏银行CD222,96.86,3.2300,-0.99,3.2309,
112,20华融湘江银行CD175,97.50,3.4197,,3.4197,
113,20附息国债04,92.29,3.8300,-0.99,3.8310,
114,20长城证券CP008,100.00,3.0198,,3.0198,
115,19国开14,99.74,3.1116,0.16,3.1210,
116,20贴现国债55,99.31,2.8090,-5.11,2.8197,
117,20中原银行CD426,99.25,3.0796,,3.0796,
118,20贵阳银行CD172,98.42,3.2197,,3.2197,
119,19附息国债09,99.92,2.8500,5.0,2.3994,
120,18国开05,108.60,3.5000,1.0,3.5020,
121,20中国银行永续债01,95.09,4.6600,0.16,4.6667,
122,19国开10,99.70,3.6900,0.25,3.6780,
123,20招商银行CD070,98.04,3.1499,22.99,3.1499,
124,20浦发银行CD375,98.24,4.2377,134.75,4.3806,
125,20浙商银行CD118,98.45,3.1497,,3.1497,
126,20广州银行CD092,99.81,1.8000,10.03,1.7554,
127,20农业银行CD167,98.46,3.1297,,3.1297,
128,20光大银行CD052,97.30,2.8802,-16.99,2.8802,
129,20华夏银行CD451,99.28,2.9000,-22.01,2.9000,
130,20广州农村商业银行CD146,98.42,3.2197,,3.2197,
131,20民生银行CD270,98.11,2.8999,,2.8999,
132,20宁波银行CD216,99.81,1.6990,9.8,1.7445,
133,20宁波银行CD231,99.27,2.9998,,2.9998,
134,20华夏银行CD467,98.45,3.1497,,3.1497,
135,14附息国债12,104.24,2.7300,-3.0,2.7400,
136,20广发银行CD161,99.37,1.5981,5.02,1.5981,
137,20进出06,99.67,2.7498,-0.18,2.7406,
138,18国开11,101.42,3.1934,-0.5,3.2090,
139,19国开08,100.23,3.3450,3.25,3.3432,
140,19农发07,99.96,3.1400,4.25,3.1108,
141,20浦发银行CD121,98.34,1.6487,4.87,1.6154,
142,16国开18,100.54,2.8601,-4.2,2.9830,
143,20国开20,98.91,3.9800,-0.17,3.9695,
144,15国开18,101.41,3.4100,1.5,3.3984,
145,20闽高速SCP002,99.64,3.1941,,3.1974,
146,20华电股MTN003,97.42,3.6600,1.0,3.6595,
147,20浦发银行CD221,98.10,2.9300,4.01,2.9261,
148,20广州农村商业银行CD148,96.85,3.2500,,3.3509,
149,20恒丰银行CD443,98.37,3.3197,,3.3197,
150,20华融湘江银行CD176,96.67,3.4497,,3.4497,
151,20广州地铁SCP006,99.87,3.2801,-5.75,3.2801,
152,14铁道08,101.36,3.1193,,3.1193,
153,19附息国债03,99.75,2.8900,2.0,2.8759,
154,20江苏银行CD227,96.76,3.3497,,3.3497,
155,16农发16,100.15,2.7845,-6.54,2.8120,
156,20弘基保理ABN003优先,100.00,,,,
157,20中国银行二级01,99.14,4.3078,1.48,4.3072,
158,20粤珠江SCP003,99.99,2.3714,-83.88,2.3714,
159,20川高速SCP010,100.00,3.3997,,3.3997,
160,18农发13,100.86,3.2386,-0.14,3.2405,
161,16国开07,100.12,3.1800,1.09,3.1793,
162,18附息国债04,104.50,3.1400,9.0,3.0944,
163,20民生银行CD527,99.20,3.2036,2.38,3.2036,
164,20青岛农商行CD205,98.42,3.2197,,3.2197,
165,20民生银行CD558,98.52,3.0100,1.0,3.0213,
166,20建设银行CD101,98.58,2.8949,-0.51,2.8949,
167,20民生银行CD182,97.86,2.9999,-3.02,3.0075,
168,20招商银行永续债01,96.50,4.8143,1.45,4.8060,
169,20齐鲁银行CD060,98.19,3.7000,1.0,3.7000,
170,20滨江房产CP004,100.00,4.1195,,4.1195,
171,20宝钢SCP022,99.89,3.1104,-37.95,3.1104,
172,16徽商银行02,99.95,3.1343,,3.1343,
173,20民生银行CD423,99.37,1.6983,-0.03,1.6673,
174,20招商银行CD197,98.47,3.1098,,3.1098,
175,20东莞农村商业银行CD188,96.81,3.2800,-2.0,3.2840,
176,19农发清发01,100.09,2.8899,1.0,3.2026,
177,18附息国债21,100.29,2.8000,2.0,2.6602,
178,20市北高新SCP005,99.70,3.7199,,3.7192,
179,20泉州城建MTN004,100.00,3.9699,,3.9699,
180,20交通银行二级,95.40,3.8279,-0.11,3.8284,
181,16国开10,98.98,3.3900,-1.92,3.3986,
182,20平安银行CD233,99.37,1.7504,-25.03,1.6791,
183,20农发02,97.79,3.2100,2.0,3.1997,
184,20江苏债08,95.84,3.3500,-3.0,3.3724,
185,20东航SCP013,99.86,3.1302,-2.01,3.1274,
186,20渤海银行CD336,98.39,3.6300,1.0,3.6300,
187,20贴现国债52,98.64,2.7900,3.0,2.7846,
188,17国开15,104.27,3.5100,-1.0,3.5155,
189,20中信银行CD119,98.81,2.8502,-5.05,2.8715,
190,20浦发银行CD040,97.23,2.8998,1.0,2.9070,
191,16农发04,100.31,3.1600,-1.0,3.1702,
192,20光穗华能ABN001优先,99.73,,,,
193,19国开05,98.64,3.6775,0.75,3.6727,
194,16农发11,100.06,2.7819,-3.01,2.7430,
195,19杭盈2C_bc,102.96,,,,
196,20中债增金融永续债01,97.94,4.7800,-5.74,4.7912,
197,20兴业银行CD216,97.33,3.0200,-5.99,2.9936,
198,20兴业银行CD023,97.17,2.8900,-11.01,2.8939,
199,18中信银行二级01,102.00,4.6440,-0.26,4.6449,
200,20建设银行CD088,98.55,2.8982,-5.16,2.8982,
201,15国开09,101.80,2.8485,-30.15,2.8485,
202,20成都银行永续债,97.34,5.4253,1.49,5.4914,
203,19进出06,100.38,3.0929,-7.21,3.1025,
204,20重庆农村商行CD282,98.43,3.1998,,3.1998,
205,20交通银行CD029,97.09,3.9379,98.8,2.9599,
206,19创盈2C,104.42,,,,
207,17国开12,102.35,3.1516,-0.81,3.1407,
208,18农发09,100.61,2.8357,-2.43,2.8381,
209,20东航股SCP030,99.85,3.1300,0.02,3.1300,
210,18农发06,106.71,3.6000,0.06,3.6009,
211,20深圳地铁MTN003,100.00,3.6698,-0.01,3.6698,
212,20中航资本SCP004,99.95,3.5701,7.04,3.5701,
213,20青岛城投SCP004,99.93,3.3501,,3.3480,
214,20贴现国债58,99.29,2.8599,-14.15,2.6919,
215,18农盈5A2,81.47,,,,
216,20深圳高速SCP002,99.80,3.0600,,3.0600,
217,20中航租赁SCP010,99.78,3.4000,,3.4000,
218,20民生银行CD559,96.93,3.1651,-11.46,3.1634,
219,20西安银行CD099,97.17,3.8800,49.03,3.8728,
220,20成都银行CD224,99.34,1.6970,-5.49,1.7141,
221,20光大集团SCP022,99.87,3.0501,-0.01,3.0501,
222,20广州农村商业银行CD145,96.53,3.5908,-0.21,3.5908,
223,20杭州银行CD167,98.56,2.9198,1.0,2.9198,
224,16国新控股MTN001,99.91,3.3948,-1.03,3.3974,
225,20招商银行CD198,96.85,3.2497,,3.1999,
226,12中信集MTN2,102.10,3.4800,-6.0,3.4998,
227,20民生银行CD473,96.93,3.1600,,3.1634,
228,20北京农商银行CD283,99.24,3.0998,,3.0998,
229,20国宏投资CP001,99.68,4.5511,0.12,4.5645,
230,20江苏银行CD117,97.99,2.5911,-86.1,2.5911,
231,20西安银行CD081,96.79,3.3100,-3.97,3.3100,
232,20民生银行CD438,99.38,1.6005,-19.9,1.6005,
