,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,100.92,3.5855,-4.45,3.6214,
1,20农业银行CD175,99.79,2.5190,,2.5190,
2,20附息国债16,100.44,3.2175,-1.19,3.2197,
3,20民生银行CD573,97.07,3.0198,,3.0182,
4,20国开12,100.20,3.2875,-0.75,3.2957,
5,20国开10,95.49,3.6600,-2.25,3.6798,
6,20民生银行CD571,98.62,2.8000,,2.8331,
7,20农业银行CD176,98.61,2.8197,,2.8197,
8,20兴业银行CD453,99.27,2.6301,-2.02,2.6198,
9,20国开07,99.87,3.0500,0.79,3.0688,
10,20附息国债13,100.14,2.9875,-4.75,3.0189,
11,20中信银行CD335,97.07,3.0198,,3.0154,
12,20附息国债03,98.55,2.9311,5.11,2.8703,
13,20华夏银行CD398,99.27,2.6198,-8.07,2.6198,
14,20浦发银行CD072,97.35,2.6000,-8.03,2.6000,
15,20附息国债12,100.22,3.7975,-0.25,3.7939,
16,20附息国债11,99.74,2.8025,-3.5,2.8251,
17,20广发银行CD246,97.07,3.0200,,3.0193,
18,20附息国债18,100.32,2.7600,-2.75,2.7851,
19,20附息国债09,98.61,2.9400,1.5,2.9374,
20,20民生银行CD504,99.28,2.5984,-7.19,2.5984,
21,20农发10,100.78,3.6927,-0.48,3.6834,
22,20贴现国债47,98.75,2.4800,1.0,2.3831,
23,19国开08,100.62,3.2250,0.5,3.2210,
24,20贴现国债62,99.39,2.4403,-3.64,2.4795,
25,20国开16,100.02,2.6599,0.99,2.6580,
26,19国开14,99.99,2.9700,-1.0,2.9767,
27,19国开10,99.74,3.6850,1.0,3.6796,
28,20附息国债06,95.45,3.2450,0.5,3.2450,
29,20附息国债14,99.97,2.8875,-0.5,2.8961,
30,19国开03,100.39,3.1650,-0.5,3.1734,
31,18国开03,100.41,2.4998,1.0,2.4594,
32,19农发清发01,100.17,2.6956,-0.02,2.7003,
33,17湖南12,102.83,2.8526,,2.8513,
34,19附息国债09,100.15,2.4280,2.05,2.4011,
35,15附息国债16,102.24,2.9802,1.94,2.9802,
36,20国开01,100.00,2.3009,-2.96,2.3300,
37,18国开08,100.47,2.6001,0.68,2.5978,
38,20浙商银行CD129,97.04,3.0497,,3.0497,
39,20光大银行CD322,97.07,3.0198,,3.0192,
40,20附息国债15,100.25,2.6000,-4.0,2.6299,
41,20国开05,95.42,3.6650,1.0,3.6504,
42,17四川债11,103.74,3.2540,5.4,3.2540,
43,19国开07,100.37,2.9000,0.5,2.8922,
44,19附息国债03,99.93,2.7450,-2.5,2.7706,
45,20浦发银行CD513,96.54,3.5887,-5.72,3.1188,
46,19进出08,100.37,3.0200,2.0,3.0205,
47,20抗疫国债03,95.91,3.2750,-0.33,3.2787,
48,20国开03,99.91,3.2550,-0.25,3.2922,
49,20附息国债05,95.76,3.0590,-0.1,3.0571,
50,20工商银行二级01,99.30,4.2868,8.88,4.2932,
51,20附息国债02,99.37,2.7700,-2.0,2.9320,
52,17进出04,101.35,2.9100,1.0,2.9099,
53,19国开02,100.27,2.7650,-0.5,2.7702,
54,20国开08,98.34,3.2910,-1.65,3.3031,
55,18附息国债07,100.25,2.4900,-3.0,2.4962,
56,19工商银行永续债,99.78,4.5097,-0.96,4.4997,
57,20附息国债17,100.52,3.1950,-3.5,3.2228,
58,20中电投MTN026,100.00,6.3982,,6.3982,
59,20国开02,97.40,3.0550,3.19,3.0461,
60,20农发03,99.52,2.6651,-5.53,2.6652,
61,18国开05,108.88,3.4500,-2.0,3.4667,
62,20中信银行CD318,97.09,2.9800,-1.0,2.9824,
63,20易睿平安ABN001优先,100.00,,,,
64,20浦发银行01,97.06,3.4100,0.26,3.4096,
65,20建设银行CD186,97.11,2.9798,,2.9798,
66,20农业银行永续债01,95.71,4.5800,-0.84,4.5619,
67,19附息国债15,99.00,3.2600,0.75,3.2690,
68,20国开11,99.50,2.5800,-2.01,2.5920,
69,19农发06,100.56,3.6600,-2.0,3.6706,
