,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿)
0,20国开15,101.57,3.5060,1.6,3.5041,
1,20附息国债16,101.35,3.1099,-1.51,3.1138,
2,20附息国债13,100.65,2.8700,-0.25,2.8671,
3,20国开12,100.54,3.2049,0.49,3.1995,
4,20附息国债14,100.56,2.6650,-0.75,2.6657,
5,20国开10,95.91,3.6075,-1.0,3.6075,
6,20附息国债11,100.04,2.6100,7.5,2.5505,
7,20附息国债06,96.22,3.1501,0.01,3.1643,
8,20国开16,100.32,2.1999,-7.01,2.2866,
9,20附息国债17,101.10,3.1000,-3.75,3.0919,
10,16农发04,100.87,2.8600,-0.16,2.8932,
11,20附息国债09,99.21,2.6950,-0.5,2.7024,
12,21兴业银行CD017,98.01,2.7199,,2.7199,
13,21贴现国债02,99.54,1.8499,-3.45,1.8537,
14,20附息国债15,100.54,2.2300,8.0,2.1788,
15,20附息国债18,100.70,2.5428,1.53,2.5470,
16,20附息国债05,96.46,2.8900,-6.0,2.9079,
17,20国开07,100.18,2.9200,-0.25,2.8939,
18,20国开03,100.33,3.1400,-8.39,3.1758,
19,20附息国债12,101.79,3.7100,-1.0,3.7174,
20,20农发清发01,99.62,2.5827,-5.55,2.6128,
21,20农发清发03,100.74,2.7819,-3.81,2.7832,
22,18附息国债21,100.69,2.2000,8.0,2.1621,
23,20国开02,97.78,2.9000,2.0,2.8799,
24,20贴现国债63,99.53,1.7401,-8.0,1.7634,
25,20农发10,101.45,3.6100,-1.3,3.6443,
26,20进出12,100.32,2.7300,-4.0,2.7276,
27,19国开05,99.40,3.5675,-2.25,3.5869,
28,20兴业银行CD329,97.33,2.5999,-5.0,2.5999,
29,20农发06,99.97,2.1543,-4.58,2.1607,
30,21进出02,99.91,2.7980,4.65,2.7977,
31,20陕延油SCP017,99.85,2.7533,0.33,2.7771,
32,20进出15,100.98,3.2025,-5.25,3.2301,
33,19国开15,98.81,3.6100,-1.35,3.6122,
34,21贴现国债01,98.99,2.0401,-10.05,2.0724,
35,20民生银行CD357,97.33,2.6000,-61.32,2.6246,
36,20农发04,94.92,3.6150,-0.75,3.6481,
37,20建设银行CD079,97.34,2.6000,-41.01,2.6000,
38,20招商银行CD116,97.34,2.6000,,2.6000,
39,20光大银行CD192,97.33,2.6000,-4.0,2.6000,
40,20进出13,100.83,3.0050,2.5,2.9746,
41,20农发07,100.17,2.9850,-0.5,2.9670,
42,19附息国债15,99.61,3.1805,-1.95,3.1613,
43,11铁道08,101.86,2.7501,0.01,2.7885,
44,20附息国债10,100.06,2.0000,1.0,2.0132,
45,21国开02,100.08,2.9500,1.0,2.9537,
46,20贴现国债43,98.83,1.8203,0.01,1.8271,
47,20附息国债02,99.79,2.4000,8.0,2.3647,
48,19国开03,100.77,3.0300,-0.14,3.0193,
49,21兴业银行CD014,97.28,2.8000,-3.5,2.7950,
50,18国开12,100.89,2.2500,-11.0,2.2943,
51,20贴现国债51,99.40,1.3516,-4.74,1.3478,
52,18国开11,101.95,2.9595,0.45,2.9528,
53,16进出03,100.25,3.2750,-0.5,3.2745,
54,20国开08,98.71,3.2050,-4.55,3.2176,
55,20附息国债04,93.64,3.7500,-2.0,3.7610,
56,20进出05,98.93,3.2100,-4.03,3.2369,
57,19国开10,100.20,3.6194,-0.06,3.6125,
58,20光大银行CD172,97.32,2.6000,-30.01,2.6000,
59,16国开10,99.42,3.3000,-1.0,3.3041,
60,20中信银行CD165,97.32,2.6000,-5.0,2.6000,
61,20民生银行CD366,97.34,2.6000,-33.0,2.6000,
62,20光大银行CD178,97.33,2.6000,-5.0,2.6000,
63,20汇丰银行CD048,98.42,3.2499,1.0,3.2499,
64,20平安银行CD201,97.29,2.6599,,2.6599,
65,20附息国债08,98.68,3.0800,-1.0,3.0848,
66,19进出10,101.83,3.6000,-3.0,3.6225,
67,20农发02,98.51,2.9019,-3.81,2.9142,
68,19建设银行永续债,100.20,4.1586,0.87,4.1565,
69,19国开07,100.68,2.6500,-2.0,2.6421,
70,19国开08,101.02,3.1000,-3.96,3.1110,
71,20中国银行永续债03,101.29,4.4000,1.0,4.3991,
72,20进出09,100.14,2.2362,-0.38,2.2929,
73,20贴现国债50,99.38,1.2543,-14.61,1.3720,
74,20贴现国债62,99.51,1.7389,-9.13,1.7999,
75,19农发06,100.92,3.6100,-2.0,3.6187,
76,19国开02,100.62,2.4000,-9.5,2.4120,
77,16国开06,100.11,1.7003,-14.01,2.1334,
78,20农发08,100.97,3.2205,-1.1,3.2113,
79,18附息国债02,100.07,1.3498,-5.04,1.3742,
80,21渤海证券CP001,100.00,2.9498,,2.9498,
81,20国开11,99.75,2.0301,-5.0,2.0599,
82,19附息国债03,100.40,2.3300,-1.0,2.3311,
83,17国开10,103.25,3.4500,1.0,3.4396,
84,20进出03,98.40,2.9200,1.0,2.9157,
85,20建设银行CD020,98.29,2.1198,-0.03,2.1198,
86,20邮政SCP005,99.86,2.5583,0.84,2.5723,
87,20贴现国债60,98.92,2.0000,-5.0,2.0000,
88,09附息国债11,103.11,2.7266,-5.21,2.7268,
89,19华润MTN005,100.77,3.0800,-8.34,3.0791,
90,20招商银行CD012,97.18,1.6004,20.01,1.5866,
91,20贴现国债49,98.86,1.9001,-5.01,1.8996,
92,20交通银行CD007,97.18,1.5504,1.0,1.5922,
93,14进出50,101.56,2.2874,-1.26,2.2883,
94,17附息国债20,103.20,2.7600,-18.0,2.7600,
95,20贴现国债64,98.99,2.0000,1.0,2.0000,
96,21融腾1A_bc,99.90,,,,
97,21宣城国资SCP001,100.00,3.4297,,3.4318,
98,18国开10,103.61,3.4800,-5.5,3.5068,
99,18国开04,103.73,2.9000,1.62,2.9015,
