,predy,testy
47,-0.00904745,-0.009738215128451341
48,-0.02392079,-0.014616567665404031
49,-0.041920464,-0.04665155468403523
50,0.008772902,0.000267239812514156
51,0.02316394,0.03485591768668974
52,0.0041489406,0.007155709457626734
53,0.0030529625,0.009727770536108618
54,-0.046137206,-0.05222952250752662
55,-0.026602669,-0.028506261621704124
56,0.042177025,0.041967099945965876
57,-0.06406256,-0.06329516343253688
58,-0.050483633,-0.054092538954067314
59,0.029402537,0.02381914904376764
60,-0.0014056094,-0.003105535034371281
61,-0.046653125,-0.05232015245254544
62,-0.09102454,-0.08909736271792564
63,-0.0798138,-0.07907008475664569
64,0.06178473,0.06277512234300298
65,-0.034635734,-0.03470218439765437
66,-0.04236911,-0.039896206899510935
67,-0.019155094,-0.016623136198173752
68,-0.045988705,-0.042778512118447215
69,-0.05519575,-0.056868353388993896
70,0.005047482,0.005119028317497524
71,0.037775394,0.030333538502608073
72,0.04123523,0.04110831596814101
73,0.062084038,0.058038794232968295
74,0.010442409,0.01601895891291802
75,-0.04618138,-0.04989637010524548
76,0.008704996,0.014304858121347219
77,0.05536363,0.05947287842506006
78,0.021353364,0.023346216370040883
79,0.008551128,0.012147602040362847
80,0.002638665,0.005019246783314581
81,0.027621316,0.02436002664007971
82,-0.024498004,-0.023629106309916808
83,-0.07157832,-0.07397629873453491
84,-0.030139942,-0.037820716508420955
85,0.045189686,0.043343037306225754
86,-0.048871774,-0.0492525598781152
87,-0.010056461,-0.008335972336857862
88,-0.053848095,-0.055346004968810085
89,0.06403488,0.06122278103797621
90,-0.025059273,-0.017328052797744728
91,-0.011447944,-0.00843711391882867
92,0.041332196,0.038719353717550795
93,0.046085134,0.0503416708221554
94,-0.0008779204,-0.0028854084265649282
95,-0.02715956,-0.028426291769557795
96,0.025990197,0.02367105707971152
97,-0.0006939213,-0.0038148286891468647
98,-0.00073428213,-0.0028907815731071275
99,-0.0503319,-0.06080358940747277
100,0.028572746,0.026563687168473984
101,-0.019205254,-0.024067467909768225
102,-0.067048945,-0.06651334298826789
103,-0.07915339,-0.08084715959191517
104,-0.076834075,-0.07521102578098925
105,-0.046887178,-0.05056989546098034
106,0.03498202,0.03674525393126602
107,0.05742161,0.06258261811421213
108,-0.03968956,-0.04094384596382258
109,-0.053364277,-0.053774153682488376
110,-0.015828859,-0.01823772842289931
111,0.01990838,0.020748994407483495
112,0.059210975,0.05684651121307681
113,0.031375375,0.03525954539004331
114,-0.013222078,-0.01573571459439314
115,0.012824571,0.010489818720571248
116,-0.0755875,-0.0748843700779679
117,-0.0593016,-0.05699791709639069
118,0.07039573,0.07159147888301688
119,0.0045774034,0.0036599652195553876
120,0.02777639,0.0258625154892203
121,0.050966315,0.04828316187281109
122,0.0029449535,-0.00016353137978878572
