,债券简称,成交净价(元),最新收益率(%),涨跌(BP),加权收益率(%),交易量(亿),剩余期限,是否永续
1344,16苏新国资PPN002,99.91,4.0683,-9.71,4.0683,,0.9096,否
1345,17幸福基业MTN001,80.00,23.4292,1666.48,15.6918,,1.4575,否
1346,20潼南城投CP001,99.59,6.0049,0.49,6.0049,,0.7178,否
1347,18附息国债27,99.92,3.262,-2.7,3.2587,,7.9589,否
1348,11中铁股MTN1,100.04,3.1984,2.39,3.1984,,0.2904,否
1349,18附息国债19,102.64,3.15,3.0,3.15,,7.6904,否
1350,18相城城建MTN001,100.00,6.1865,,6.1865,,2.1749,否
1351,18新水国资MTN001,101.34,4.7058,0.61,4.7058,,0.9014,否
1352,19安吉专项债,102.60,5.9,21.91,5.9,,5.3836,否
1353,18海安动迁债03,104.91,6.1417,24.47,6.1417,,5.0383,否
1354,18中建MTN001,102.39,3.742,0.2,3.741,,2.6932,否
1355,18建发地产PPN002,100.77,3.6578,,3.6578,,0.3479,否
1356,20日照城投PPN001,98.64,5.3247,-0.04,5.3231,,4.2986,否
1357,20高速地产SCP005,99.83,4.1026,-2.73,4.1026,,0.2795,否
1358,20贴现国债48,99.38,2.6697,-1.05,2.6697,,0.0956,否
1359,16高创投资PPN001,100.97,4.51,-4.0,4.505,,0.4658,否
1360,19招商银行小微债02,99.88,3.3935,-1.4,3.3918,,1.8027,否
1361,20桂林银行CD125,96.53,3.7001,5.02,3.7001,,0.7123,否
1362,18高速路桥MTN001,101.21,4.0366,,4.0413,,0.874,否
1363,19国开12,99.92,2.9501,-0.99,2.9501,,0.6822,否
1364,18首钢MTN003,100.50,3.68,4.0,3.6778,,0.674,否
1365,18常德文旅PPN001,99.70,7.6168,,7.6156,,2.3452,否
1366,15宁波债31,100.33,3.06,,3.06,,1.9288,否
1367,20中国银行CD048,98.54,3.13,2.06,3.13,,0.1694,否
1368,17常州投资MTN001,101.77,4.045,,4.0501,,1.2158,否
1369,18浙能源MTN003,102.33,3.7819,9.12,3.7819,,2.7699,否
1370,19晋中公用MTN001,100.68,4.3616,-0.84,4.3616,,1.1284,否
1371,18南昌城投MTN001,103.08,3.97,-3.0,3.97,,2.7288,否
1372,19吴江城投PPN001,100.87,4.0559,,4.0604,,1.2603,否
1373,19中电信MTN001,100.02,3.4,-1.0,3.4,,1.1284,否
1374,18华电租赁MTN002,100.48,3.92,0.51,3.92,,1.0082,否
1375,18清控MTN001,38.20,62.548,7.96,62.839,,2.2986,否
1376,18南岸城建MTN001,103.18,4.3826,1.0,4.3813,,2.3808,否
1377,20杭州湾新PPN001,100.00,4.4796,-0.03,4.4796,,2.989,否
1378,18托克集团PPN003,100.73,5.1984,,5.1984,,0.8082,否
1379,16苏南通一带债,59.93,4.7567,4.22,4.75,,2.6027,否
1380,20南电MTN004,98.45,3.6272,-5.28,3.6301,,2.2438,否
1381,18招金MTN001,100.50,3.66,,3.66,,0.874,否
1382,20复星高科SCP003,99.59,4.5301,-2.98,4.5251,,0.5014,否
1383,17国开01,101.49,3.3314,-1.34,3.3314,,3.0902,否
1384,17丹徒建投债,82.16,4.75,,4.7484,,3.9151,否
1385,16九龙江MTN001,99.96,3.6384,,3.6199,,0.2658,否
1386,12苏交通MTN2,103.49,3.65,,3.65,,1.9945,否
1387,20潞安MTN002,91.45,7.5026,264.26,7.4513,,2.337,否
