,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,1, 1, 1.151943, 1.266193, 1.292441, 1.292441, 1.292441, 1.292441, 1.292441, 1.292441, 1.305332, 1.305332, 1.305332, 1.305332, 1.305332,1, 1, 1.095018, 1.086281, 1.1088, 1.1088, 1.1088, 1.1088, 1.1088, 1.1088, 1.119859, 1.119859, 1.119859, 1.119859, 1.119859,1, 1, 1.044879, 1.044879, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539, 1.066539,1, 1, 1, 1, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
14,1, 1, 1.16439, 1.279876, 1.306408, 1.306408, 1.306408, 1.306408, 1.306408, 1.306408, 1.319438, 1.319438, 1.319438, 1.319438, 1.319438,1, 1, 1.095018, 1.090519, 1.113125, 1.113125, 1.113125, 1.113125, 1.113125, 1.113125, 1.124228, 1.124228, 1.124228, 1.124228, 1.124228,1, 1, 1.044879, 1.048955, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707, 1.0707,1, 1, 1, 1, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073, 1.02073,1, 1, 1, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
16,1, 1, 1.115137, 1.250493, 1.324688, 1.324688, 1.324688, 1.324688, 1.324688, 1.324688, 1.388039, 1.388039, 1.388039, 1.388039, 1.388039,1, 1, 1.048699, 1.065483, 1.08757, 1.08757, 1.08757, 1.08757, 1.08757, 1.08757, 1.139581, 1.139581, 1.139581, 1.139581, 1.139581,1, 1, 1.000681, 1.024875, 1.046121, 1.046121, 1.046121, 1.046121, 1.046121, 1.046121, 1.085324, 1.085324, 1.085324, 1.085324, 1.085324,1, 1, 0.9577, 0.977043, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297,1, 1, 0.9577, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854, 0.980854,1, 1, 1, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197, 1.020197,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
18,1, 1, 1.126856, 1.263635, 1.338609, 1.338609, 1.338609, 1.338609, 1.338609, 1.338609, 1.402626, 1.402626, 1.402626, 1.402626, 1.402626,1, 1, 1.05972, 1.076681, 1.099001, 1.099001, 1.099001, 1.099001, 1.099001, 1.099001, 1.151559, 1.151559, 1.151559, 1.151559, 1.151559,1, 1, 1.000681, 1.024875, 1.046121, 1.046121, 1.046121, 1.046121, 1.046121, 1.046121, 1.085324, 1.085324, 1.085324, 1.085324, 1.085324,1, 1, 0.9577, 0.977043, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297,1, 1, 0.967765, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162,1, 1, 1.010509, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
20,1, 1, 1.126856, 1.263635, 1.338609, 1.338609, 1.338609, 1.338609, 1.338609, 1.338609, 1.43108, 1.43108, 1.43108, 1.43108, 1.43108,1, 1, 1.05972, 1.076681, 1.099001, 1.099001, 1.099001, 1.099001, 1.099001, 1.099001, 1.17492, 1.17492, 1.17492, 1.17492, 1.17492,1, 1, 1.000681, 1.024875, 1.046121, 1.046121, 1.046121, 1.046121, 1.046121, 1.046121, 1.107342, 1.107342, 1.107342, 1.107342, 1.107342,1, 1, 0.9577, 0.977043, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297,1, 1, 0.967765, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162,1, 1, 1.010509, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918,1, 1, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824,1, 1, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
22,1, 1, 1.126856, 1.263635, 1.346118, 1.346118, 1.346118, 1.346118, 1.346118, 1.346118, 1.439108, 1.439108, 1.439108, 1.439108, 1.439108,1, 1, 1.05972, 1.076681, 1.105167, 1.105167, 1.105167, 1.105167, 1.105167, 1.105167, 1.181511, 1.181511, 1.181511, 1.181511, 1.181511,1, 1, 1.000681, 1.024875, 1.05199, 1.05199, 1.05199, 1.05199, 1.05199, 1.05199, 1.113554, 1.113554, 1.113554, 1.113554, 1.113554,1, 1, 0.9577, 0.977043, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297, 0.997297,1, 1, 0.967765, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162, 0.991162,1, 1, 1.010509, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918, 1.030918,1, 1, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824,1, 1, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
24,1, 1.003844, 1.131187, 1.268491, 1.351292, 1.351292, 1.351292, 1.351292, 1.351292, 1.351292, 1.444638, 1.444638, 1.444638, 1.444638, 1.444638,1, 0.982251, 1.040911, 1.057571, 1.08555, 1.08555, 1.08555, 1.08555, 1.08555, 1.08555, 1.160539, 1.160539, 1.160539, 1.160539, 1.160539,1, 0.982251, 0.98292, 1.006684, 1.033317, 1.033317, 1.033317, 1.033317, 1.033317, 1.033317, 1.017959, 1.017959, 1.017959, 1.017959, 1.017959,1, 0.982251, 0.940702, 0.959701, 0.979596, 0.979596, 0.979596, 0.979596, 0.979596, 0.979596, 0.911684, 0.911684, 0.911684, 0.911684, 0.911684,1, 0.982251, 0.950588, 0.97357, 0.97357, 0.97357, 0.97357, 0.97357, 0.97357, 0.97357, 0.906076, 0.906076, 0.906076, 0.906076, 0.906076,1, 0.982251, 0.992574, 1.012621, 1.012621, 1.012621, 1.012621, 1.012621, 1.012621, 1.012621, 0.942419, 0.942419, 0.942419, 0.942419, 0.942419,1, 1.003844, 1.015713, 1.015713, 1.015713, 1.015713, 1.015713, 1.015713, 1.015713, 1.015713, 0.945297, 0.945297, 0.945297, 0.945297, 0.945297,1, 1, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 1.011824, 0.941678, 0.941678, 0.941678, 0.941678, 0.941678,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
26,1, 1.003844, 1.049726, 1.177142, 1.178714, 1.211941, 1.211941, 1.211941, 1.211941, 1.211941, 1.295661, 1.295661, 1.295661, 1.295661, 1.295661,1, 0.982251, 0.965951, 0.897579, 0.866028, 0.890441, 0.890441, 0.890441, 0.890441, 0.890441, 0.951952, 0.951952, 0.951952, 0.951952, 0.951952,1, 0.982251, 0.912136, 0.85439, 0.824356, 0.847594, 0.847594, 0.847594, 0.847594, 0.847594, 0.834996, 0.834996, 0.834996, 0.834996, 0.834996,1, 0.982251, 0.872958, 0.814516, 0.7815, 0.80353, 0.80353, 0.80353, 0.80353, 0.80353, 0.747824, 0.747824, 0.747824, 0.747824, 0.747824,1, 0.982251, 0.882132, 0.826286, 0.776692, 0.798586, 0.798586, 0.798586, 0.798586, 0.798586, 0.743223, 0.743223, 0.743223, 0.743223, 0.743223,1, 0.982251, 0.921095, 0.85943, 0.807846, 0.830618, 0.830618, 0.830618, 0.830618, 0.830618, 0.773034, 0.773034, 0.773034, 0.773034, 0.773034,1, 1.003844, 0.942567, 0.862054, 0.810313, 0.833155, 0.833155, 0.833155, 0.833155, 0.833155, 0.775395, 0.775395, 0.775395, 0.775395, 0.775395,1, 1, 0.938958, 0.858753, 0.80721, 0.80721, 0.80721, 0.80721, 0.80721, 0.80721, 0.751249, 0.751249, 0.751249, 0.751249, 0.751249,1, 1, 0.927986, 0.848718, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777,1, 1, 0.927986, 0.848718, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777, 0.797777
28,1, 1.003844, 1.049726, 1.112682, 1.125557, 1.157285, 1.157285, 1.143243, 1.143243, 1.143243, 1.24913, 1.24913, 1.24913, 1.24913, 1.24913,1, 0.986701, 0.970327, 0.882148, 0.859838, 0.884076, 0.884076, 0.884076, 0.884076, 0.884076, 0.965959, 0.965959, 0.965959, 0.965959, 0.965959,1, 0.986701, 0.916268, 0.839701, 0.818465, 0.841537, 0.841537, 0.841537, 0.841537, 0.841537, 0.847286, 0.847286, 0.847286, 0.847286, 0.847286,1, 0.99323, 0.882716, 0.805809, 0.781048, 0.803065, 0.803065, 0.803065, 0.803065, 0.803065, 0.763848, 0.763848, 0.763848, 0.763848, 0.763848,1, 0.99323, 0.891992, 0.817454, 0.776244, 0.798126, 0.798126, 0.798126, 0.798126, 0.798126, 0.759151, 0.759151, 0.759151, 0.759151, 0.759151,1, 0.99323, 0.93139, 0.869036, 0.825226, 0.848488, 0.848488, 0.848488, 0.848488, 0.848488, 0.789665, 0.789665, 0.789665, 0.789665, 0.789665,1, 1.015065, 0.953104, 0.871691, 0.819372, 0.842469, 0.842469, 0.842469, 0.842469, 0.842469, 0.784063, 0.784063, 0.784063, 0.784063, 0.784063,1, 1.011177, 0.949453, 0.868352, 0.816233, 0.816233, 0.816233, 0.816233, 0.816233, 0.816233, 0.759646, 0.759646, 0.759646, 0.759646, 0.759646,1, 1.011177, 0.938358, 0.858204, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694, 0.806694,1, 1.011177, 0.938358, 0.839645, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249, 0.789249
30,1, 1.003844, 1.049726, 1.112682, 1.176287, 1.209446, 1.209446, 1.194771, 1.194771, 1.194771, 1.305431, 1.305431, 1.305431, 1.305431, 1.305431,1, 0.986701, 0.970327, 0.882148, 0.898592, 0.923923, 0.923923, 0.923923, 0.923923, 0.923923, 1.009496, 1.009496, 1.009496, 1.009496, 1.009496,1, 0.986701, 0.916268, 0.839701, 0.855354, 0.879466, 0.879466, 0.879466, 0.879466, 0.879466, 0.885474, 0.885474, 0.885474, 0.885474, 0.885474,1, 0.99323, 0.882716, 0.805809, 0.816251, 0.83926, 0.83926, 0.83926, 0.83926, 0.83926, 0.798276, 0.798276, 0.798276, 0.798276, 0.798276,1, 0.99323, 0.891992, 0.817454, 0.81123, 0.834098, 0.834098, 0.834098, 0.834098, 0.834098, 0.793366, 0.793366, 0.793366, 0.793366, 0.793366,1, 0.99323, 0.93139, 0.869036, 0.86242, 0.886731, 0.886731, 0.886731, 0.886731, 0.886731, 0.825257, 0.825257, 0.825257, 0.825257, 0.825257,1, 1.015065, 0.953104, 0.871691, 0.856302, 0.88044, 0.88044, 0.88044, 0.88044, 0.88044, 0.819402, 0.819402, 0.819402, 0.819402, 0.819402,1, 1.011177, 0.949453, 0.868352, 0.853022, 0.853022, 0.853022, 0.853022, 0.853022, 0.853022, 0.793885, 0.793885, 0.793885, 0.793885, 0.793885,1, 1.011177, 0.938358, 0.858204, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053, 0.843053,1, 1.011177, 0.938358, 0.839645, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821, 0.824821
