,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,1.031189, 1.457587, 3.196338, 4.041319, 5.024541, 4.731615, 4.927526, 5.188118, 4.679623, 4.642173, 6.555132, 6.260414, 6.260414, 5.9922, 6.766858,1.053658, 1.465664, 3.616273, 4.557516, 5.706196, 5.373526, 5.596017, 5.891964, 5.362179, 5.319269, 7.207338, 6.910476, 6.910476, 6.614412, 7.46951,1.053658, 1.356026, 2.486943, 2.780933, 3.324366, 3.130556, 3.260176, 3.432591, 3.096158, 3.071382, 4.396524, 4.215433, 4.215433, 4.034832, 4.575209,1.053658, 1.362072, 2.866639, 2.77942, 3.040446, 2.863191, 2.981741, 3.160698, 2.850915, 2.828099, 3.82771, 3.670051, 3.670051, 3.512814, 4.092872,1.030064, 1.283039, 2.314746, 2.452111, 2.645946, 2.491687, 2.594856, 2.750593, 2.481005, 2.46115, 3.52425, 3.316376, 3.316376, 3.174292, 3.671306,1.036516, 1.251358, 2.027019, 2.047647, 2.301977, 2.154809, 2.245325, 2.389691, 2.155474, 2.138224, 2.609379, 2.502479, 2.502479, 2.395267, 2.741025,1.036516, 1.225306, 1.967923, 1.935414, 2.376731, 2.230796, 2.229056, 2.372374, 2.139853, 2.119738, 2.757857, 2.659345, 2.659345, 2.545411, 2.916587,1.068274, 1.284044, 1.921268, 2.061467, 2.2092, 2.091374, 2.044049, 2.16113, 1.949315, 1.933307, 2.546753, 2.446586, 2.446586, 2.341767, 2.615679,1.068619, 1.295162, 1.685621, 1.771159, 1.966449, 2.0216, 2.032615, 2.14904, 1.954505, 1.989146, 2.554748, 2.454267, 2.454267, 2.349118, 2.439192,1.04682, 1.284132, 1.693409, 1.804596, 2.10326, 2.072471, 2.107022, 2.21947, 2.048239, 2.08454, 2.456126, 2.296179, 2.296179, 2.196378, 2.280594
14,1.03869, 1.326569, 2.853748, 3.486457, 4.516837, 4.615804, 4.801752, 5.25266, 4.737479, 4.614011, 6.602922, 6.158878, 6.158878, 5.960376, 7.06805,1.061323, 1.333925, 3.228694, 3.931804, 5.12964, 5.242032, 5.453207, 5.965287, 5.428497, 5.287018, 7.259907, 6.798422, 6.798422, 6.579307, 7.802004,1.061323, 1.234135, 2.220381, 2.418403, 2.992557, 3.058125, 3.18132, 3.480058, 3.138733, 3.056933, 4.434645, 4.15275, 4.15275, 4.018906, 4.7854,1.061323, 1.23964, 2.559395, 2.477613, 2.808083, 2.869608, 2.985213, 3.26554, 2.945254, 2.868492, 3.934555, 3.684447, 3.684447, 3.565698, 4.362575,1.037558, 1.167708, 2.068825, 2.188145, 2.44631, 2.499908, 2.600617, 2.844827, 2.565807, 2.498936, 3.626453, 3.371803, 3.371803, 3.263131, 3.963087,1.044054, 1.138869, 1.86314, 1.877313, 2.186633, 2.221183, 2.311997, 2.539312, 2.290254, 2.230562, 2.75865, 2.614037, 2.614037, 2.529788, 3.039963,1.044054, 1.115165, 1.808833, 1.774429, 2.2706, 2.312708, 2.308422, 2.535384, 2.286712, 2.223976, 2.932358, 2.793849, 2.793849, 2.703802, 3.253247,1.076044, 1.168623, 1.765944, 1.889991, 2.110549, 2.168163, 2.116826, 2.309619, 2.083091, 2.028375, 2.707893, 2.570325, 2.570325, 2.487483, 2.917602,1.076389, 1.178737, 1.549345, 1.625402, 1.880453, 2.097852, 2.107014, 2.298917, 2.090657, 2.088973, 2.719017, 2.580883, 2.580883, 2.497702, 2.723371,1.054433, 1.1687, 1.5565, 1.642877, 1.995233, 2.133483, 2.166721, 2.371272, 2.188164, 2.186405, 2.61077, 2.411605, 2.411605, 2.332365, 2.543095
16,1.015298, 1.479099, 3.559475, 3.957781, 5.452241, 5.851655, 5.943515, 6.183277, 5.91292, 6.037028, 8.165226, 7.558327, 7.558327, 7.518382, 8.770999,1.037416, 1.487287, 4.027106, 4.463299, 6.133526, 6.582846, 6.686187, 6.955907, 6.651764, 6.791381, 8.68159, 8.068046, 8.068046, 8.025406, 9.362496,1.037416, 1.376022, 2.769451, 2.754504, 3.590182, 3.853188, 3.91368, 4.071557, 3.893533, 3.975257, 5.368575, 4.989167, 4.989167, 4.9628, 5.813475,1.037416, 1.382164, 3.192305, 2.929761, 3.497583, 3.753805, 3.812735, 3.966544, 3.793113, 3.872729, 5.130472, 4.767891, 4.767891, 4.742695, 5.708497,1.014187, 1.301964, 2.580425, 2.633757, 3.101479, 3.328688, 3.380941, 3.517331, 3.363542, 3.434142, 4.813302, 4.441351, 4.441351, 4.417878, 5.278513,1.016743, 1.265092, 2.315246, 2.251237, 2.761964, 2.946574, 2.994557, 3.127933, 2.991165, 3.053946, 3.647883, 3.430429, 3.430429, 3.412299, 4.033942,1.016743, 1.238757, 2.247758, 2.127856, 2.819257, 3.01582, 2.971887, 3.104253, 2.968524, 3.026561, 3.854194, 3.644274, 3.644274, 3.625015, 4.290926,1.051806, 1.302987, 2.202655, 2.274893, 2.630304, 2.837878, 2.735391, 2.838385, 2.714281, 2.770669, 3.572445, 3.365225, 3.365225, 3.347442, 3.862582,1.052146, 1.314266, 1.932493, 1.956426, 2.343556, 2.745865, 2.722732, 2.825249, 2.724154, 2.853463, 3.587141, 3.379071, 3.379071, 3.361215, 3.605462,1.030684, 1.303072, 1.941416, 1.942699, 2.442892, 2.743412, 2.7203, 2.831333, 2.770158, 2.901654, 3.425946, 3.140582, 3.140582, 3.121959, 3.348823
18,1.005769, 1.540222, 4.274262, 4.19997, 5.719903, 5.903067, 5.995735, 6.522478, 6.117371, 6.258554, 8.459009, 7.655911, 7.655911, 7.558859, 9.155537,1.027685, 1.548767, 4.835846, 4.736459, 6.434677, 6.640728, 6.744977, 7.337544, 6.881814, 7.040635, 9.109215, 8.276941, 8.276941, 8.172017, 9.898214,1.027685, 1.432906, 3.497729, 3.219167, 4.147971, 4.280798, 4.347999, 4.729985, 4.436207, 4.538586, 6.203578, 5.636778, 5.636778, 5.565322, 6.768653,1.027685, 1.439299, 3.833412, 3.255519, 3.864191, 3.987929, 4.050532, 4.406384, 4.132706, 4.228089, 5.669076, 5.151116, 5.151116, 5.085816, 6.355656,1.004673, 1.355785, 3.098661, 2.926614, 3.426584, 3.536312, 3.591826, 3.907377, 3.66469, 3.749265, 5.318615, 4.798334, 4.798334, 4.737506, 5.876929,1.007203, 1.317384, 2.780204, 2.501545, 3.05147, 3.130354, 3.181331, 3.46082, 3.24587, 3.32078, 4.014648, 3.682439, 3.682439, 3.635758, 4.462526,1.007203, 1.289962, 2.699165, 2.364446, 3.097001, 3.185647, 3.139243, 3.415035, 3.202931, 3.272231, 4.217513, 3.889683, 3.889683, 3.840377, 4.719735,1.053902, 1.372426, 2.675376, 2.589098, 2.959462, 3.070331, 2.959447, 3.19822, 2.999581, 3.068158, 4.003938, 3.692711, 3.692711, 3.645901, 4.367898,1.054243, 1.391474, 2.359381, 2.238162, 2.650467, 2.986147, 2.96099, 3.199884, 3.026066, 3.176192, 4.041209, 3.727085, 3.727085, 3.679839, 4.098235,1.032739, 1.379626, 2.480618, 2.325921, 2.891436, 3.122378, 3.096074, 3.356071, 3.220427, 3.380194, 4.039279, 3.70059, 3.70059, 3.651309, 4.066461
20,1.018103, 1.574739, 4.485126, 4.319777, 6.084589, 6.685411, 6.67764, 7.457445, 7.028169, 7.624772, 11.129976, 10.10007, 10.10007, 10.196638, 11.902857,1.040284, 1.583463, 5.074369, 4.87153, 6.844874, 7.520766, 7.512028, 8.389271, 7.906354, 8.577504, 11.985389, 10.919275, 10.919275, 11.023677, 12.868284,1.040284, 1.465009, 3.670261, 3.310978, 4.412401, 4.848104, 4.842473, 5.40797, 5.096666, 5.529309, 8.261416, 7.526556, 7.526556, 7.598518, 8.906511,1.040284, 1.471543, 4.022488, 3.348357, 4.110516, 4.516408, 4.511158, 5.037968, 4.747964, 5.151005, 7.54956, 6.87802, 6.87802, 6.943781, 8.363008,1.016992, 1.386157, 3.251492, 2.984314, 3.582095, 3.935809, 3.931232, 4.390318, 4.137597, 4.488826, 6.960602, 6.296389, 6.296389, 6.356589, 7.599613,1.019555, 1.355604, 2.936199, 2.56736, 3.28409, 3.586805, 3.584706, 4.003325, 3.772882, 4.093154, 5.409125, 4.97471, 4.97471, 5.022275, 5.940909,1.019555, 1.327389, 2.850607, 2.426653, 3.258488, 3.568456, 3.520009, 3.93107, 3.704784, 4.013607, 5.654689, 5.229008, 5.229008, 5.279003, 6.252624,1.066823, 1.412236, 2.825472, 2.657198, 3.141342, 3.469732, 3.347785, 3.714085, 3.500288, 3.796617, 5.41586, 5.008158, 5.008158, 5.056041, 5.837747,1.06717, 1.43185, 2.491779, 2.297064, 2.813397, 3.374642, 3.349572, 3.716069, 3.531242, 3.93035, 5.466345, 5.054843, 5.054843, 5.103174, 5.477405,1.0454, 1.419651, 2.619792, 2.387107, 3.069146, 3.535765, 3.509497, 3.905368, 3.765689, 4.191296, 5.34778, 4.912397, 4.912397, 4.959365, 5.323048
22,0.996333, 1.551505, 4.468729, 4.652668, 6.828829, 7.225237, 7.371873, 8.290612, 7.205126, 7.610347, 11.843643, 10.870203, 10.870203, 10.974135, 12.92149,1.018041, 1.560106, 5.055841, 5.246964, 7.682151, 8.128087, 8.293047, 9.326592, 8.105469, 8.56132, 12.753962, 11.751923, 11.751923, 11.864285, 13.969595,1.018041, 1.443393, 3.656836, 3.566119, 4.9521, 5.239563, 5.345896, 6.012148, 5.224982, 5.518836, 8.791115, 8.100424, 8.100424, 8.177875, 9.668678,1.018041, 1.449831, 4.007783, 3.606386, 4.613294, 4.881085, 4.980146, 5.600809, 4.867501, 5.141252, 8.257393, 7.608635, 7.608635, 7.681381, 9.331551,0.995245, 1.365706, 3.239605, 3.214288, 4.020238, 4.253602, 4.339928, 4.880806, 4.241764, 4.480326, 7.613218, 6.965222, 6.965222, 7.031817, 8.479747,0.997755, 1.335604, 2.925458, 2.765199, 3.68578, 3.876413, 3.957368, 4.450564, 3.867851, 4.085379, 5.916242, 5.503115, 5.503115, 5.555731, 6.6289,0.997755, 1.307798, 2.840179, 2.613647, 3.657044, 3.856585, 3.885947, 4.370246, 3.798055, 4.006006, 6.184864, 5.784461, 5.784461, 5.839767, 6.976764,1.044014, 1.391405, 2.815157, 2.792901, 3.440501, 3.659404, 3.606637, 4.02938, 3.501814, 3.697979, 5.780692, 5.406454, 5.406454, 5.458145, 6.356637,1.044351, 1.403457, 2.469877, 2.401918, 3.065421, 3.540752, 3.589945, 4.010733, 3.514556, 3.808488, 5.804481, 5.428705, 5.428705, 5.48061, 5.933505,1.023046, 1.391498, 2.596769, 2.496076, 3.344087, 3.709814, 3.761354, 4.215055, 3.747907, 4.061354, 5.678592, 5.275731, 5.275731, 5.326174, 5.766311
24,1.05425, 1.69226, 5.301104, 5.375888, 7.596945, 7.694157, 7.799107, 8.473059, 8.045451, 8.048296, 12.895066, 12.16256, 12.16256, 12.316408, 15.011653,1.077219, 1.701634, 5.997548, 6.224265, 8.774203, 8.886476, 9.007686, 9.786077, 9.292204, 9.295491, 14.256591, 13.499837, 13.499837, 13.670601, 16.66219,1.077219, 1.574335, 4.337959, 4.23035, 5.656065, 5.72844, 5.806578, 6.308351, 5.989991, 5.992107, 9.826877, 9.305259, 9.305259, 9.422964, 11.532313,1.077219, 1.58136, 4.754285, 4.278122, 5.269117, 5.336536, 5.409327, 5.876771, 5.580189, 5.582164, 9.093311, 8.610631, 8.610631, 8.719552, 10.965056,1.053099, 1.489605, 3.843023, 3.812991, 4.591752, 4.650505, 4.713942, 5.121293, 4.862837, 4.864551, 8.383916, 7.882479, 7.882479, 7.982186, 9.964133,1.055751, 1.456769, 3.470367, 3.280254, 4.209747, 4.238121, 4.298408, 4.669852, 4.434177, 4.435743, 6.515162, 6.227832, 6.227832, 6.30661, 7.789304,1.055751, 1.426441, 3.369199, 3.100473, 4.285606, 4.330537, 4.361483, 4.738378, 4.499248, 4.494498, 6.510915, 6.257832, 6.257832, 6.336991, 7.83689,1.104701, 1.517634, 3.339515, 3.313113, 4.071035, 4.149072, 4.087353, 4.448183, 4.223696, 4.224305, 6.196018, 5.955175, 5.955175, 6.030504, 7.270063,1.10506, 1.530767, 2.929903, 2.849288, 3.627197, 4.014519, 4.068408, 4.427565, 4.239033, 4.350504, 6.221465, 5.979634, 5.979634, 6.055273, 6.786071,1.091677, 1.530579, 3.106518, 2.986059, 3.889246, 4.134254, 4.189753, 4.573529, 4.378781, 4.493926, 5.895737, 5.628971, 5.628971, 5.700176, 6.38812
26,1.039218, 1.603755, 5.008091, 4.895533, 7.022597, 7.072568, 6.934845, 7.789323, 7.734831, 8.003371, 12.539756, 11.112887, 11.083246, 10.445102, 13.493428,1.061863, 1.61265, 5.666089, 5.668163, 8.110938, 8.168652, 8.009584, 8.996487, 8.933557, 9.243714, 13.863927, 12.334899, 12.301998, 11.593684, 14.977211,1.061863, 1.492009, 4.098217, 3.852385, 5.2285, 5.265709, 5.163171, 5.799352, 5.758787, 5.958722, 9.556197, 8.502263, 8.479585, 7.991355, 10.366075,1.061863, 1.498657, 4.491498, 4.032582, 5.041692, 5.077569, 4.978694, 5.592145, 5.553026, 5.745819, 9.153089, 8.143612, 8.12189, 7.654254, 10.201988,1.038081, 1.411701, 3.630611, 3.594152, 4.39357, 4.424835, 4.338672, 4.873262, 4.839174, 5.007177, 8.43904, 7.454964, 7.435079, 7.006987, 9.27073,1.040698, 1.38058, 3.278556, 3.07262, 4.002815, 4.007198, 3.929167, 4.413298, 4.382427, 4.534573, 6.513161, 5.849787, 5.834184, 5.498266, 7.197695,1.040698, 1.368827, 3.222966, 2.9407, 4.12614, 4.146021, 4.036911, 4.534315, 4.502596, 4.652349, 6.59067, 5.951794, 5.935919, 5.594145, 7.332627,1.088952, 1.456343, 3.194583, 3.142391, 3.919564, 3.972289, 3.879117, 4.364566, 4.334034, 4.483558, 6.43097, 5.807575, 5.792085, 5.458594, 6.97478,1.0893, 1.468948, 2.802753, 2.759079, 3.565396, 3.965316, 3.983544, 4.482061, 4.48767, 4.763894, 6.662102, 6.016301, 6.000254, 5.654777, 6.716843,1.069835, 1.460193, 2.954359, 2.975416, 3.933902, 4.202067, 4.221384, 4.764149, 4.770112, 5.063722, 6.496479, 5.866732, 5.851084, 5.514194, 6.549861
28,1.055931, 1.613623, 4.701064, 4.702784, 6.427294, 6.624945, 6.495939, 7.28146, 7.137799, 7.447773, 10.909987, 9.503068, 9.408119, 8.959297, 11.282655,1.078931, 1.62256, 5.318656, 5.320606, 7.303294, 7.527883, 7.381295, 8.273875, 8.110636, 8.462854, 11.866931, 10.377425, 10.273741, 9.783622, 12.320752,1.078931, 1.501181, 3.956598, 3.719261, 4.842093, 4.990998, 4.893811, 5.485594, 5.377366, 5.61089, 8.412894, 7.356932, 7.283427, 6.935964, 8.77059,1.078931, 1.507877, 4.336297, 3.893242, 4.70463, 4.849307, 4.754879, 5.329861, 5.224705, 5.451603, 8.119361, 7.100242, 7.029302, 6.693964, 8.697468,1.054776, 1.420391, 3.505183, 3.469987, 4.072074, 4.197295, 4.115563, 4.613236, 4.522223, 4.718613, 7.435262, 6.455806, 6.391304, 6.0864, 7.850024,1.057433, 1.389079, 3.165276, 2.966454, 3.709893, 3.801117, 3.727098, 4.177795, 4.09537, 4.27322, 5.738426, 5.065741, 5.015127, 4.775876, 6.094647,1.057433, 1.377258, 3.111631, 2.839113, 3.82421, 3.932817, 3.829321, 4.292382, 4.207694, 4.384233, 5.806739, 5.126044, 5.074827, 4.832729, 6.175131,1.112096, 1.472762, 3.099901, 3.049258, 3.651222, 3.787186, 3.698352, 4.145576, 4.063788, 4.239373, 5.685091, 5.018656, 4.968514, 4.731487, 5.893525,1.112454, 1.485521, 2.719711, 2.677332, 3.321331, 3.780568, 3.797946, 4.257213, 4.207874, 4.504474, 5.889453, 5.199061, 5.147115, 4.901567, 5.675612,1.092574, 1.476664, 2.866812, 2.887247, 3.664599, 4.006274, 4.024688, 4.543474, 4.49082, 4.807363, 5.766295, 5.090344, 5.039485, 4.799071, 5.55693
30,1.055931, 1.678681, 4.895361, 4.856242, 5.925376, 6.454301, 6.412412, 7.125199, 7.267506, 7.968553, 11.831279, 11.1157, 11.000308, 10.307051, 12.974186,1.078931, 1.687988, 5.538504, 5.49425, 6.732993, 7.334016, 7.286416, 8.096353, 8.258058, 9.054654, 12.869081, 12.138473, 12.012463, 11.255419, 14.167962,1.078931, 1.561708, 4.120127, 3.840627, 4.463958, 4.862435, 4.830878, 5.367865, 5.475076, 6.003218, 9.123307, 8.605355, 8.516023, 7.979331, 10.085484,1.078931, 1.568678, 4.515536, 4.0203, 4.337246, 4.724408, 4.693744, 5.21549, 5.319654, 5.832801, 8.804999, 8.305119, 8.218904, 7.700938, 10.001412,1.054776, 1.477666, 3.650068, 3.583231, 3.754081, 4.089187, 4.062649, 4.51424, 4.604405, 5.048555, 8.063126, 7.551323, 7.472933, 7.001977, 9.026915,1.057433, 1.445091, 3.296112, 3.063267, 3.455547, 3.7415, 3.717216, 4.130409, 4.212902, 4.619294, 6.28734, 5.986628, 5.924481, 5.551111, 7.080825,1.057433, 1.43279, 3.240246, 2.931764, 3.658141, 3.975593, 3.922221, 4.358207, 4.445253, 4.867189, 6.533883, 6.221382, 6.156798, 5.768788, 7.367947,1.112096, 1.532145, 3.228037, 3.058177, 3.359509, 3.682425, 3.643664, 4.048683, 4.129543, 4.526937, 6.153106, 5.858817, 5.797996, 5.432599, 6.763842,1.112454, 1.545416, 2.832122, 2.685157, 3.055977, 3.67599, 3.741783, 4.157708, 4.275964, 4.810023, 6.374298, 6.069425, 6.006417, 5.627883, 6.513748,1.092574, 1.536205, 2.985311, 2.895696, 3.371827, 3.895461, 3.965182, 4.437294, 4.563503, 5.133471, 6.241019, 5.942525, 5.880835, 5.510216, 6.377559
