,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,0.884313, 1.344331, 2.225444, 1.974451, 2.936272, 3.329688, 3.376115, 3.410606, 3.148866, 3.501417, 4.067422, 3.455213, 3.246538, 3.317979, 3.770375,0.969068, 1.260852, 1.963534, 1.807546, 2.581372, 2.986272, 3.06827, 3.074478, 2.914308, 3.124111, 3.816386, 3.231839, 3.036655, 3.001631, 3.370871,1.029287, 1.226948, 1.680912, 1.387527, 1.790599, 2.098804, 2.219667, 2.281042, 2.221748, 2.426131, 2.797757, 2.460597, 2.311988, 2.288986, 2.648451,1.088938, 1.275623, 1.586717, 1.35127, 1.664568, 2.04053, 2.153766, 2.230788, 2.261739, 2.501488, 3.145304, 2.680248, 2.518617, 2.581783, 2.937463,1.045843, 1.191544, 1.483507, 1.362277, 1.622748, 1.94914, 1.983677, 2.084247, 2.288615, 2.30148, 2.728719, 2.322933, 2.20741, 2.295924, 2.492315,0.977258, 1.17733, 1.362035, 1.23568, 1.445413, 1.829371, 1.807885, 1.890416, 1.983842, 2.077754, 2.283309, 2.095211, 1.988838, 2.134136, 2.356691,0.961061, 1.195443, 1.633414, 1.51118, 1.839804, 2.357278, 2.209039, 2.334809, 2.60466, 2.728491, 2.893024, 2.685201, 2.539173, 2.608402, 2.835043,0.925171, 1.105234, 1.482343, 1.313474, 1.545835, 1.931279, 1.839421, 1.860804, 1.909697, 1.979207, 2.059588, 1.90409, 1.790882, 1.845732, 2.056354,0.898037, 0.975517, 1.156721, 1.145336, 1.253869, 1.520285, 1.450281, 1.43954, 1.433305, 1.451732, 1.553913, 1.629178, 1.53381, 1.51873, 1.623411,0.914965, 1.05805, 1.239401, 1.247582, 1.285636, 1.467075, 1.379125, 1.388075, 1.360517, 1.329742, 1.515851, 1.559362, 1.471157, 1.452968, 1.573399
14,0.895177, 1.38912, 2.310289, 2.108155, 3.230578, 3.323383, 3.550501, 3.633585, 3.381896, 3.937452, 4.264741, 3.488174, 3.357599, 3.300006, 3.857234,0.980972, 1.302849, 2.011151, 1.908771, 2.885432, 3.036477, 3.301289, 3.351142, 3.202279, 3.594303, 3.980552, 3.251253, 3.12955, 2.974928, 3.436463,1.041927, 1.27834, 1.799006, 1.486302, 2.030309, 2.203432, 2.465839, 2.567095, 2.52061, 2.881983, 3.012939, 2.578839, 2.482308, 2.416343, 2.875794,1.088218, 1.306558, 1.66945, 1.503548, 1.960533, 2.225252, 2.485332, 2.607809, 2.665392, 3.086625, 3.518444, 2.91787, 2.808917, 2.831013, 3.313176,1.045149, 1.234445, 1.578769, 1.533186, 1.933202, 2.158656, 2.324666, 2.4744, 2.739016, 2.883994, 3.099903, 2.558772, 2.490943, 2.521424, 2.81541,0.976618, 1.219732, 1.449512, 1.42548, 1.765, 2.096021, 2.191862, 2.321837, 2.397643, 2.62929, 2.61946, 2.330669, 2.266409, 2.366834, 2.688433,0.960426, 1.224428, 1.640748, 1.645453, 2.120498, 2.549283, 2.602966, 2.787072, 3.059496, 3.35573, 3.202358, 2.882039, 2.791906, 2.819871, 3.15257,0.924559, 1.132034, 1.489, 1.430182, 1.781678, 2.088581, 2.167432, 2.221246, 2.243176, 2.434197, 2.279808, 2.043672, 1.969132, 1.995365, 2.28666,0.909069, 1.008571, 1.212063, 1.266671, 1.467843, 1.669911, 1.735715, 1.74535, 1.702896, 1.805935, 1.739783, 1.765431, 1.7027, 1.657651, 1.822598,0.926207, 1.093898, 1.298696, 1.379744, 1.505027, 1.600604, 1.639433, 1.671609, 1.605526, 1.643033, 1.685732, 1.67839, 1.622147, 1.552172, 1.728914
16,0.940282, 1.483793, 2.577905, 2.293541, 3.387467, 3.672172, 3.808115, 3.864889, 3.854784, 4.420228, 5.021877, 4.363492, 4.26815, 4.012871, 4.790671,1.030401, 1.391659, 2.244144, 2.076658, 3.036762, 3.36757, 3.553924, 3.577658, 3.663554, 4.049941, 4.70458, 4.082168, 3.992973, 3.608631, 4.199346,1.074686, 1.340847, 1.971211, 1.587865, 2.098239, 2.399603, 2.594905, 2.679039, 2.741839, 3.087567, 3.385782, 2.95836, 2.893721, 2.678004, 3.219414,1.143049, 1.395613, 1.896484, 1.66532, 2.100588, 2.512421, 2.711529, 2.821543, 3.005885, 3.428343, 4.099167, 3.470321, 3.394822, 3.252906, 3.845392,1.097814, 1.318591, 1.793478, 1.698155, 2.089576, 2.458731, 2.627578, 2.773617, 3.200156, 3.318642, 3.741611, 3.152825, 3.118937, 3.001513, 3.385338,1.034682, 1.332024, 1.683485, 1.614188, 2.016201, 2.399851, 2.490408, 2.616194, 2.796431, 3.020281, 3.156202, 2.866759, 2.832843, 2.812574, 3.227021,1.01753, 1.337157, 1.905597, 1.863285, 2.422302, 2.918829, 2.957517, 3.133023, 3.559976, 3.845684, 3.849466, 3.536626, 3.481481, 3.343054, 3.775248,0.97953, 1.236255, 1.729353, 1.61951, 2.03525, 2.391336, 2.462653, 2.496958, 2.610116, 2.789602, 2.771902, 2.536581, 2.483631, 2.392688, 2.762285,0.945744, 1.081555, 1.38232, 1.408485, 1.708516, 1.948194, 2.009488, 2.044547, 2.064835, 2.156688, 2.204313, 2.283429, 2.236757, 2.070259, 2.324893,0.963574, 1.173058, 1.481123, 1.534222, 1.745368, 1.860484, 1.891054, 1.955583, 1.957754, 1.973227, 2.147891, 2.183107, 2.142976, 1.961536, 2.231567
18,0.927807, 1.485958, 2.744746, 2.428628, 3.640044, 3.798598, 3.736844, 3.540824, 3.756863, 4.281507, 4.94335, 4.384599, 4.381705, 3.957106, 4.613927,1.016727, 1.393691, 2.420774, 2.22785, 3.306051, 3.557008, 3.560988, 3.346824, 3.645818, 4.005597, 4.953412, 4.387476, 4.384581, 3.929258, 4.465822,1.060422, 1.342793, 2.12634, 1.703455, 2.275314, 2.519152, 2.58423, 2.490927, 2.711951, 3.035171, 3.330883, 2.970927, 2.968964, 2.654188, 3.116377,1.121152, 1.404484, 2.055757, 1.795304, 2.289022, 2.650514, 2.713604, 2.636278, 2.987688, 3.386683, 3.980468, 3.439919, 3.437982, 3.182219, 3.668186,1.076781, 1.311903, 1.922025, 1.809915, 2.251163, 2.564418, 2.59973, 2.562072, 3.144663, 3.241089, 3.59201, 3.089726, 3.122726, 2.902951, 3.192666,1.00264, 1.309311, 1.782423, 1.699702, 2.122729, 2.4461, 2.402544, 2.356365, 2.679384, 2.876111, 2.916189, 2.703853, 2.729748, 2.602097, 2.911202,0.986018, 1.329445, 2.040751, 1.984521, 2.579558, 3.009225, 2.88592, 2.854254, 3.450122, 3.704142, 3.597557, 3.373936, 3.393287, 3.128382, 3.444875,0.949198, 1.22913, 1.852013, 1.724896, 2.167403, 2.465422, 2.403059, 2.274809, 2.529598, 2.686957, 2.590532, 2.419913, 2.420734, 2.239061, 2.520583,0.916456, 1.063117, 1.463563, 1.483107, 1.798793, 1.985746, 1.938597, 1.918423, 2.061056, 2.139538, 2.121768, 2.166969, 2.168666, 1.989461, 2.182056,0.93934, 1.15564, 1.571682, 1.619122, 1.841701, 1.900589, 1.828425, 1.822143, 1.940542, 1.943874, 2.150585, 2.155069, 2.161278, 1.951428, 2.168296
20,0.990767, 1.591514, 2.926691, 2.568924, 3.848086, 3.913838, 3.930665, 3.823464, 3.999771, 4.705694, 5.64432, 4.962012, 4.929369, 4.619136, 5.30092,1.085726, 1.527401, 2.641267, 2.416281, 3.650189, 3.695721, 3.77717, 3.696301, 3.969966, 4.502727, 5.784635, 5.07837, 5.044959, 4.708776, 5.267403,1.112076, 1.407118, 2.218327, 1.837042, 2.497894, 2.602537, 2.701335, 2.711108, 2.910212, 3.36235, 3.83338, 3.388851, 3.366556, 3.134591, 3.622398,1.175758, 1.47727, 2.152715, 1.941455, 2.519914, 2.649972, 2.745129, 2.776808, 3.102751, 3.630801, 4.433275, 3.797319, 3.772699, 3.630742, 4.119205,1.129226, 1.385363, 2.02065, 1.889616, 2.392594, 2.537367, 2.60272, 2.670722, 3.231977, 3.438754, 3.959223, 3.375437, 3.391289, 3.292559, 3.564056,1.079176, 1.394752, 1.890323, 1.790114, 2.275873, 2.458892, 2.465571, 2.517834, 2.822779, 3.12798, 3.294857, 2.946441, 2.957046, 2.90706, 3.201107,1.061288, 1.416204, 2.164291, 2.090085, 2.765663, 3.024967, 2.961633, 3.049847, 3.634778, 4.028544, 4.064722, 3.67666, 3.675836, 3.495026, 3.787928,1.040314, 1.354432, 2.031766, 1.879205, 2.403788, 2.636417, 2.623427, 2.585754, 2.834985, 3.10868, 3.113628, 2.805251, 2.789579, 2.661044, 2.948387,1.004433, 1.171494, 1.605614, 1.615789, 1.994978, 2.123473, 2.116372, 2.180661, 2.309893, 2.47536, 2.55023, 2.512051, 2.499129, 2.38398, 2.573536,1.029512, 1.273457, 1.724238, 1.763984, 2.042582, 2.032423, 1.996107, 2.071229, 2.174832, 2.248995, 2.584876, 2.498264, 2.490624, 2.329638, 2.547722
22,0.996252, 1.567272, 2.882104, 2.455339, 3.557719, 3.53232, 3.528764, 3.638934, 3.896443, 4.571898, 5.157023, 4.459974, 4.448897, 4.180913, 4.803656,1.091739, 1.51601, 2.621572, 2.346402, 3.428764, 3.388852, 3.445238, 3.574215, 3.929319, 4.444732, 5.36983, 4.637625, 4.626111, 4.330271, 4.849688,1.093364, 1.365564, 2.152821, 1.744242, 2.29419, 2.333362, 2.409146, 2.527716, 2.823657, 3.253643, 3.488378, 3.033756, 3.026217, 2.825818, 3.269411,1.155972, 1.433651, 2.089156, 1.843391, 2.314422, 2.375908, 2.448221, 2.589731, 3.011361, 3.51446, 4.035488, 3.400441, 3.392325, 3.274087, 3.718935,1.110221, 1.344445, 1.960969, 1.794148, 2.209837, 2.278538, 2.324875, 2.494719, 3.141725, 3.379027, 3.658604, 3.068473, 3.095594, 3.014129, 3.2665,1.061019, 1.353565, 1.834504, 1.699687, 2.118039, 2.284901, 2.279005, 2.433755, 2.839444, 3.180615, 3.150645, 2.77171, 2.793148, 2.754371, 3.036541,1.043426, 1.374382, 2.100382, 1.984505, 2.556417, 2.791869, 2.71898, 2.868636, 3.557796, 3.986041, 3.782151, 3.365497, 3.378616, 3.221678, 3.549358,1.022802, 1.314429, 1.971761, 1.78427, 2.221906, 2.433241, 2.408459, 2.432095, 2.774926, 3.075867, 2.897165, 2.567825, 2.564009, 2.464343, 2.775551,0.987527, 1.1369, 1.558202, 1.53417, 1.844046, 1.959847, 1.942974, 2.051089, 2.260965, 2.449237, 2.372941, 2.299447, 2.297049, 2.207761, 2.422685,1.012184, 1.235848, 1.673316, 1.674867, 1.888031, 1.883365, 1.83994, 1.956005, 2.137347, 2.234228, 2.41487, 2.29604, 2.312917, 2.179762, 2.423203
24,0.995593, 1.504717, 2.622647, 2.010742, 2.644634, 2.639987, 2.649113, 2.690448, 2.91862, 3.376108, 3.894109, 3.42018, 3.435033, 3.020094, 3.531447,1.091018, 1.455497, 2.385556, 1.916872, 2.542594, 2.500836, 2.553801, 2.620731, 2.918884, 3.255031, 4.313133, 3.78299, 3.799418, 3.32726, 3.792416,1.089128, 1.306835, 1.952696, 1.474617, 1.87008, 1.892802, 1.963003, 2.037322, 2.305693, 2.612927, 3.072579, 2.713736, 2.725526, 2.381027, 2.803624,1.1515, 1.371994, 1.894952, 1.558441, 1.886574, 1.927323, 1.99485, 2.087321, 2.458978, 2.794243, 3.519042, 3.01142, 3.036675, 2.741961, 3.169711,1.096973, 1.276213, 1.76429, 1.504537, 1.776739, 1.823114, 1.868499, 1.956973, 2.496831, 2.614733, 3.105089, 2.644764, 2.696958, 2.456756, 2.709652,1.048357, 1.284868, 1.650506, 1.425324, 1.702936, 1.828208, 1.831635, 1.900805, 2.246735, 2.450437, 2.66228, 2.444296, 2.48434, 2.291979, 2.554686,1.030975, 1.304629, 1.889716, 1.664159, 1.964401, 2.134947, 2.088495, 2.141261, 2.690505, 2.935011, 3.054424, 2.836549, 2.872046, 2.565434, 2.857583,1.010598, 1.247718, 1.773996, 1.49625, 1.707359, 1.879889, 1.869057, 1.834132, 2.120114, 2.28818, 2.363842, 2.186559, 2.202043, 2.009235, 2.287965,0.975743, 1.079199, 1.401914, 1.245704, 1.37205, 1.447937, 1.441883, 1.479157, 1.651892, 1.746527, 1.855898, 1.876902, 1.891041, 1.725463, 1.914342,1.000106, 1.173125, 1.505482, 1.359951, 1.404784, 1.391438, 1.365429, 1.410596, 1.561579, 1.593209, 1.888695, 1.874126, 1.904104, 1.703579, 1.914752
26,0.941659, 1.376755, 2.453142, 1.783039, 2.413442, 2.486588, 2.488396, 2.542124, 2.802733, 3.243092, 3.645075, 3.123292, 3.147417, 2.632655, 3.122013,1.031914, 1.362178, 2.282407, 1.738677, 2.352549, 2.38824, 2.432196, 2.510662, 2.870214, 3.20179, 4.285205, 3.66674, 3.695064, 3.076623, 3.556422,1.030127, 1.223047, 1.868265, 1.337532, 1.730299, 1.807587, 1.869536, 1.93811, 2.251396, 2.552213, 3.031341, 2.621773, 2.642024, 2.194491, 2.620592,1.089118, 1.284028, 1.813015, 1.431385, 1.767569, 1.863752, 1.923813, 2.010704, 2.431338, 2.789353, 3.256967, 2.729322, 2.761481, 2.357572, 2.763974,1.037546, 1.207855, 1.70704, 1.397462, 1.711704, 1.782028, 1.821428, 1.918925, 2.513004, 2.656924, 3.003604, 2.505257, 2.534781, 2.183177, 2.442024,1.008476, 1.252526, 1.644853, 1.363596, 1.689813, 1.840609, 1.839049, 1.919753, 2.329117, 2.564661, 2.583394, 2.322658, 2.342312, 2.027984, 2.292452,0.991757, 1.271783, 1.883233, 1.592086, 1.949261, 2.149429, 2.128453, 2.195102, 2.831066, 3.089332, 2.980813, 2.710761, 2.723292, 2.282888, 2.578882,0.972156, 1.216314, 1.767921, 1.431456, 1.694214, 1.892651, 1.904823, 1.880253, 2.230882, 2.408497, 2.306878, 2.0896, 2.087993, 1.787947, 2.06482,0.938626, 1.052033, 1.397112, 1.191757, 1.361473, 1.457753, 1.447715, 1.493899, 1.712458, 1.81114, 1.784351, 1.767108, 1.766538, 1.512685, 1.702049,0.962061, 1.143592, 1.500326, 1.301056, 1.393955, 1.400871, 1.370949, 1.414687, 1.60751, 1.640597, 1.803187, 1.75215, 1.766298, 1.483053, 1.690502
28,0.977426, 1.426412, 2.548565, 1.903591, 2.57661, 2.579762, 2.519084, 2.495151, 2.771353, 3.28266, 3.726696, 3.111611, 3.140183, 2.623968, 3.095583,1.071112, 1.411319, 2.371215, 1.856252, 2.511635, 2.47777, 2.46252, 2.464595, 2.873283, 3.281052, 4.486963, 3.74124, 3.775598, 3.140528, 3.611465,1.069255, 1.267159, 1.973126, 1.45615, 1.883756, 1.912339, 1.93018, 1.940078, 2.298274, 2.695939, 3.271811, 2.757421, 2.782747, 2.306334, 2.739876,1.130487, 1.33034, 1.914767, 1.44941, 1.789821, 1.833942, 1.88108, 1.906199, 2.350562, 2.790432, 3.329217, 2.775025, 2.811781, 2.382889, 2.779172,1.07696, 1.251435, 1.80287, 1.415083, 1.733292, 1.75356, 1.781003, 1.819225, 2.429575, 2.658014, 3.070302, 2.547265, 2.581005, 2.206666, 2.455501,1.046781, 1.297702, 1.737171, 1.380769, 1.711089, 1.811174, 1.798206, 1.819987, 2.251761, 2.565694, 2.675357, 2.392548, 2.416282, 2.076668, 2.335317,1.029637, 1.317929, 1.989347, 1.612477, 1.974227, 2.115503, 2.08162, 2.099249, 2.758728, 3.115058, 3.111378, 2.814445, 2.831537, 2.358979, 2.651027,1.009287, 1.260448, 1.867538, 1.449793, 1.715912, 1.862781, 1.862919, 1.798159, 2.1739, 2.428576, 2.407949, 2.169547, 2.166069, 1.843358, 2.117779,0.971437, 1.086801, 1.471225, 1.203252, 1.3746, 1.430264, 1.411439, 1.424207, 1.666132, 1.823412, 1.859643, 1.831875, 1.829752, 1.557146, 1.742992,0.969006, 1.149723, 1.537568, 1.278395, 1.369676, 1.337621, 1.300782, 1.312549, 1.522114, 1.607452, 1.828915, 1.767698, 1.780486, 1.48574, 1.684785
30,0.972302, 1.4916, 2.604287, 1.853393, 2.485151, 2.506438, 2.485078, 2.508033, 2.6378, 3.096084, 3.553361, 2.89068, 2.840702, 2.279983, 2.506472,1.065496, 1.475813, 2.423043, 1.736071, 2.327, 2.298461, 2.3194, 2.365264, 2.611118, 2.954598, 4.08476, 3.3184, 3.261026, 2.605395, 2.830608,1.063648, 1.325079, 2.016275, 1.327186, 1.700827, 1.752467, 1.771278, 1.814044, 2.034899, 2.365306, 2.901978, 2.382909, 2.341704, 1.864162, 2.092265,1.124559, 1.391136, 1.956628, 1.312754, 1.647666, 1.713533, 1.760019, 1.812702, 2.104226, 2.449852, 2.95487, 2.39973, 2.367739, 1.927341, 2.123713,1.071312, 1.308623, 1.842277, 1.281656, 1.595608, 1.638418, 1.666374, 1.729987, 2.174939, 2.333576, 2.72505, 2.202756, 2.173384, 1.803124, 1.895636,1.049975, 1.368329, 1.789957, 1.287434, 1.621594, 1.742118, 1.732048, 1.781708, 2.072854, 2.316318, 2.441763, 2.127552, 2.092294, 1.744948, 1.853898,1.032777, 1.389653, 2.049791, 1.503472, 1.870956, 2.013685, 1.984184, 2.033726, 2.450412, 2.71358, 2.740042, 2.414884, 2.365828, 1.893162, 2.005184,1.012366, 1.329038, 1.924273, 1.399165, 1.711793, 1.866506, 1.869237, 1.833776, 2.03263, 2.226989, 2.232239, 1.95957, 1.905102, 1.557248, 1.686187,0.9744, 1.145947, 1.515927, 1.102252, 1.301655, 1.377651, 1.361411, 1.396203, 1.497569, 1.607348, 1.657235, 1.581058, 1.537795, 1.257006, 1.307986,0.971963, 1.212298, 1.584294, 1.171094, 1.296994, 1.288418, 1.254672, 1.286736, 1.383793, 1.433206, 1.648513, 1.55241, 1.522616, 1.220385, 1.276633
