,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,0.987445, 1.141684, 2.191165, 2.749591, 3.302125, 3.124204, 3.200566, 3.231662, 3.200165, 3.119487, 4.383939, 4.178406, 4.178406, 4.164599, 4.557226,1.008959, 1.166557, 2.192198, 2.688859, 3.360882, 3.179794, 3.257514, 3.289162, 3.257105, 3.174991, 4.474405, 4.281471, 4.281471, 4.267322, 4.669632,1.008959, 1.14801, 2.357814, 2.882666, 3.502656, 3.31393, 3.394929, 3.427915, 3.394505, 3.308927, 4.393369, 4.20393, 4.20393, 4.190038, 4.585062,1.008959, 1.095737, 1.960968, 2.114508, 2.350326, 2.223688, 2.278041, 2.300174, 2.277756, 2.220331, 3.139956, 3.004562, 3.004562, 2.994634, 3.276959,1.008959, 1.09422, 2.225118, 2.238687, 2.516943, 2.381328, 2.439534, 2.463236, 2.439228, 2.377733, 3.27652, 3.058022, 3.058022, 3.047916, 3.348999,1.008959, 1.032349, 1.786548, 1.943313, 2.135967, 2.020881, 2.070276, 2.090389, 2.070014, 2.017828, 2.876856, 2.685011, 2.685011, 2.676138, 3.059846,1.00624, 1.014108, 1.543948, 1.656906, 1.774234, 1.678638, 1.719667, 1.736375, 1.719451, 1.676102, 2.168899, 2.065569, 2.065569, 2.058743, 2.280423,1.00624, 1.002046, 1.461787, 1.465428, 1.667141, 1.566712, 1.605932, 1.621536, 1.605731, 1.565249, 1.889749, 1.829787, 1.829787, 1.82374, 2.064038,0.983841, 0.94293, 1.290665, 1.388755, 1.630688, 1.523935, 1.551181, 1.566251, 1.550986, 1.509753, 1.951, 1.899432, 1.899432, 1.893156, 2.087001,1.009515, 0.967534, 1.255308, 1.343462, 1.669139, 1.588593, 1.604721, 1.60963, 1.593942, 1.551568, 1.993008, 1.933064, 1.933064, 1.926676, 1.960858
14,0.996507, 1.274199, 2.642923, 3.242836, 3.952881, 3.819704, 3.9101, 4.033889, 4.05355, 3.906875, 5.75972, 5.439381, 5.439381, 5.321483, 6.095704,1.01822, 1.301964, 2.607572, 3.105027, 3.939251, 3.806534, 3.896617, 4.019981, 4.039574, 3.893405, 5.704209, 5.408227, 5.408227, 5.291004, 6.060789,1.01822, 1.281267, 2.804564, 3.328828, 4.105421, 3.967102, 4.060985, 4.189551, 4.209972, 4.057637, 5.600882, 5.310262, 5.310262, 5.195161, 5.951002,1.01822, 1.222925, 2.332523, 2.441777, 2.754789, 2.661978, 2.724975, 2.811248, 2.824951, 2.72273, 4.00298, 3.79527, 3.79527, 3.713007, 4.253211,1.01822, 1.221229, 2.649516, 2.686767, 3.066007, 2.962709, 3.032823, 3.128838, 3.144088, 3.030321, 4.341207, 4.01458, 4.01458, 3.927563, 4.517506,1.01822, 1.152179, 2.1273, 2.332279, 2.601926, 2.514264, 2.573766, 2.655247, 2.668187, 2.57164, 3.846231, 3.556846, 3.556846, 3.479751, 4.164885,1.015475, 1.131818, 1.890674, 2.045059, 2.222705, 2.147817, 2.198647, 2.268254, 2.279309, 2.196833, 2.982124, 2.814024, 2.814024, 2.75303, 3.192185,1.015475, 1.118355, 1.790054, 1.808717, 2.088536, 2.004605, 2.053228, 2.118232, 2.128555, 2.051534, 2.598303, 2.492803, 2.492803, 2.438772, 2.889285,0.992871, 1.052378, 1.580505, 1.714083, 2.042866, 1.949871, 1.983228, 2.046016, 2.055987, 1.978799, 2.682526, 2.58769, 2.58769, 2.531601, 2.921427,1.018781, 1.079841, 1.537208, 1.670082, 2.106041, 2.047181, 2.066397, 2.117764, 2.128085, 2.04819, 2.759935, 2.652392, 2.652392, 2.5949, 2.764533
16,1.010462, 1.274262, 2.557798, 2.883538, 3.594819, 3.590752, 3.671342, 3.982062, 4.037767, 3.903961, 5.361989, 4.911281, 4.911281, 4.773058, 5.515505,1.032478, 1.30202, 2.523562, 2.760973, 3.582387, 3.578338, 3.658648, 3.968295, 4.023808, 3.890463, 5.230569, 4.809825, 4.809825, 4.674457, 5.401568,1.032478, 1.281321, 2.714212, 2.959981, 3.733515, 3.729291, 3.81299, 4.135701, 4.193555, 4.054584, 5.135841, 4.722717, 4.722717, 4.589801, 5.303744,1.032478, 1.222976, 2.257373, 2.27348, 2.62323, 2.620263, 2.679073, 2.905814, 2.946462, 2.848819, 3.84349, 3.534322, 3.534322, 3.434851, 3.969143,1.032478, 1.221282, 2.564158, 2.501591, 2.919594, 2.916292, 2.981745, 3.234103, 3.279346, 3.170671, 4.231762, 3.795524, 3.795524, 3.688704, 4.280032,1.032478, 1.152231, 2.058772, 2.171541, 2.477681, 2.47488, 2.530426, 2.744587, 2.78298, 2.690753, 3.74927, 3.362769, 3.362769, 3.268128, 3.945948,1.029694, 1.131869, 1.829762, 1.904107, 2.116558, 2.114164, 2.161614, 2.34456, 2.377355, 2.298571, 2.906934, 2.654106, 2.654106, 2.579409, 3.017135,1.029694, 1.11841, 1.732398, 1.684066, 1.988818, 1.973215, 2.018666, 2.189512, 2.220142, 2.14657, 2.532822, 2.351169, 2.351169, 2.284998, 2.730876,1.006775, 1.052426, 1.529593, 1.595952, 1.945318, 1.919326, 1.949831, 2.114854, 2.144439, 2.070454, 2.614908, 2.440651, 2.440651, 2.371962, 2.761246,1.033047, 1.079889, 1.487688, 1.55498, 2.005476, 2.015117, 2.031604, 2.189019, 2.219642, 2.143061, 2.69037, 2.511084, 2.511084, 2.440413, 2.622782
18,0.992884, 1.31932, 3.029312, 2.962053, 3.825346, 3.786008, 3.898006, 4.145265, 4.19581, 4.167994, 5.761199, 5.204711, 5.204711, 5.214283, 6.155853,1.014514, 1.348059, 2.988778, 2.836161, 3.812141, 3.77294, 3.884551, 4.130959, 4.181329, 4.153608, 5.620025, 5.097222, 5.097222, 5.106595, 6.028719,1.014514, 1.326626, 3.214561, 3.040579, 3.972946, 3.93209, 4.04841, 4.305213, 4.35771, 4.32882, 5.51823, 5.004896, 5.004896, 5.014099, 5.919525,1.014514, 1.266219, 2.673512, 2.335385, 2.791453, 2.762747, 2.844473, 3.024904, 3.06179, 3.041492, 4.129642, 3.745481, 3.745481, 3.752369, 4.429955,1.014514, 1.264466, 3.036849, 2.569705, 3.064986, 3.033465, 3.123201, 3.321312, 3.361809, 3.339522, 4.54305, 4.120431, 4.120431, 4.128009, 4.893493,1.014514, 1.192974, 2.48764, 2.256338, 2.666913, 2.639486, 2.717564, 2.889948, 2.925186, 2.905791, 4.177049, 3.788477, 3.788477, 3.795445, 4.68188,1.011781, 1.171894, 2.210939, 1.978475, 2.312715, 2.288932, 2.356643, 2.50613, 2.536689, 2.519872, 3.287669, 2.960645, 2.960645, 2.96609, 3.544574,1.011781, 1.157959, 2.093281, 1.749833, 2.173113, 2.136312, 2.200777, 2.340378, 2.368915, 2.353212, 2.864529, 2.622692, 2.622692, 2.627514, 3.208238,0.994296, 1.095187, 1.857641, 1.666719, 2.13641, 2.088551, 2.136557, 2.272085, 2.29979, 2.281325, 2.972416, 2.736362, 2.736362, 2.741395, 3.260428,1.020244, 1.123769, 1.806753, 1.623937, 2.202493, 2.192802, 2.226173, 2.351776, 2.380452, 2.361341, 3.05822, 2.815353, 2.815353, 2.820531, 3.096956
20,0.988631, 1.392461, 3.273213, 3.21266, 4.13105, 4.029712, 4.057218, 4.341327, 4.414635, 4.344252, 5.739634, 5.07459, 5.07459, 5.05085, 6.374901,1.010171, 1.422801, 3.229428, 3.112895, 4.166008, 4.063812, 4.091552, 4.378066, 4.451993, 4.381016, 5.66593, 5.029207, 5.029207, 5.005677, 6.317884,1.010171, 1.400176, 3.473382, 3.348418, 4.356257, 4.24939, 4.278397, 4.577993, 4.655296, 4.581077, 5.581892, 4.954613, 4.954613, 4.931434, 6.22418,1.010171, 1.336422, 2.888784, 2.571846, 3.060794, 2.985707, 3.006086, 3.216586, 3.270901, 3.218753, 4.177307, 3.70787, 3.70787, 3.690522, 4.65797,1.010171, 1.334566, 3.28136, 2.829874, 3.3607, 3.27826, 3.300637, 3.531765, 3.591402, 3.534144, 4.59548, 4.079051, 4.079051, 4.059966, 5.145358,1.010171, 1.259113, 2.687936, 2.484784, 2.924227, 2.852497, 2.871968, 3.073078, 3.124968, 3.075147, 4.342963, 3.854912, 3.854912, 3.836879, 5.060003,1.007448, 1.236869, 2.388957, 2.178788, 2.535849, 2.473641, 2.490526, 2.664926, 2.709924, 2.666719, 3.418231, 3.012536, 3.012536, 2.998442, 3.830808,1.007448, 1.222153, 2.261815, 1.926989, 2.382779, 2.308702, 2.325804, 2.488668, 2.530691, 2.490348, 2.978288, 2.668662, 2.668662, 2.656176, 3.467318,0.990037, 1.155906, 2.007205, 1.835463, 2.342536, 2.257093, 2.257941, 2.416056, 2.456854, 2.414279, 3.09047, 2.784337, 2.784337, 2.771311, 3.523734,1.015871, 1.186063, 1.952209, 1.788339, 2.424928, 2.379506, 2.362329, 2.532096, 2.574854, 2.530232, 3.219472, 2.900559, 2.900559, 2.886989, 3.388943
22,1.001753, 1.475816, 3.920961, 3.689945, 4.553249, 4.573538, 4.495406, 5.017601, 4.963278, 4.915983, 7.284408, 6.312214, 6.312214, 6.282683, 7.307312,1.023583, 1.507976, 3.868533, 3.575377, 4.591797, 4.612256, 4.533464, 5.060077, 5.005296, 4.957601, 7.190893, 6.255787, 6.255787, 6.22652, 7.241984,1.023583, 1.484003, 4.160784, 3.948506, 4.883123, 4.904884, 4.82109, 5.381113, 5.322855, 5.272138, 7.36251, 6.405084, 6.405084, 6.375118, 7.414819,1.023583, 1.416429, 3.460467, 3.032734, 3.430956, 3.446242, 3.387369, 3.780851, 3.739917, 3.704282, 5.50983, 4.793331, 4.793331, 4.770906, 5.548975,1.023583, 1.414465, 3.930751, 3.337024, 3.803017, 3.819959, 3.754702, 4.190855, 4.145482, 4.105983, 6.119124, 5.323388, 5.323388, 5.298483, 6.187972,1.023583, 1.334487, 3.219863, 2.93007, 3.309071, 3.323816, 3.267034, 3.646538, 3.607058, 3.572689, 5.782836, 5.030831, 5.030831, 5.007294, 6.085263,1.020821, 1.3109, 2.861693, 2.569216, 2.869561, 2.882347, 2.833108, 3.16221, 3.127974, 3.098168, 4.551499, 3.931485, 3.931485, 3.913092, 4.607002,1.020821, 1.295312, 2.709417, 2.272313, 2.696365, 2.690175, 2.644218, 2.951374, 2.919422, 2.891605, 3.963432, 3.480721, 3.480721, 3.464437, 4.167472,1.003181, 1.225105, 2.404435, 2.164398, 2.65084, 2.630049, 2.567076, 2.865272, 2.834251, 2.803288, 3.804754, 3.359655, 3.359655, 3.343936, 3.918131,1.029028, 1.256664, 2.3378, 2.108149, 2.74319, 2.771792, 2.730637, 3.053066, 3.020009, 2.987016, 4.029802, 3.558375, 3.558375, 3.541728, 3.831222
24,1.014371, 1.479386, 4.35608, 4.359718, 5.586572, 5.751151, 5.655456, 6.309971, 6.09974, 6.175676, 9.629623, 9.341318, 9.341318, 9.226499, 10.708227,1.036476, 1.51162, 4.297815, 4.224332, 5.633841, 5.799809, 5.703301, 6.363352, 6.151342, 6.227921, 9.505933, 9.25774, 9.25774, 9.143948, 10.61242,1.036476, 1.487588, 4.622498, 4.665185, 5.99127, 6.16777, 6.065143, 6.767068, 6.541607, 6.623045, 9.732793, 9.478677, 9.478677, 9.362169, 10.865684,1.036476, 1.419852, 3.844475, 3.708955, 4.357306, 4.485666, 4.411028, 4.921522, 4.757548, 4.816778, 7.427422, 7.233499, 7.233499, 7.144586, 8.291972,1.036476, 1.417884, 4.366952, 4.081098, 4.829821, 4.972105, 4.889373, 5.455224, 5.273474, 5.339124, 8.24876, 8.03339, 8.03339, 7.934647, 9.246827,1.036476, 1.337715, 3.57718, 3.583406, 4.202512, 4.326317, 4.254329, 4.746688, 4.588542, 4.645666, 7.795434, 7.591902, 7.591902, 7.498586, 9.093351,1.033681, 1.314075, 3.17928, 3.122413, 3.621516, 3.728204, 3.666167, 4.090456, 3.954175, 4.003403, 6.097137, 5.89575, 5.89575, 5.823282, 6.841232,1.033681, 1.298444, 3.010078, 2.761558, 3.402903, 3.479605, 3.42171, 3.817709, 3.690512, 3.736459, 5.309321, 5.219729, 5.219729, 5.15557, 6.188498,1.015817, 1.228063, 2.671244, 2.630402, 3.34544, 3.401823, 3.321872, 3.706314, 3.58283, 3.622322, 5.096752, 5.01075, 5.01075, 4.94916, 5.786569,1.041989, 1.259704, 2.597227, 2.56205, 3.461999, 3.585176, 3.533538, 3.942483, 3.811129, 3.85314, 5.389, 5.298065, 5.298065, 5.232943, 5.648544
26,1.045448, 1.561938, 4.471471, 4.376242, 5.985103, 6.150186, 6.159579, 6.850839, 6.574006, 6.901895, 11.064104, 11.014416, 11.014416, 10.879031, 12.504455,1.06823, 1.595976, 4.41168, 4.437569, 6.31647, 6.490697, 6.500609, 7.230139, 6.937981, 7.284022, 11.430001, 11.4236, 11.4236, 11.283185, 12.968994,1.06823, 1.570601, 4.880185, 4.925254, 6.750904, 6.937118, 6.947715, 7.72742, 7.415168, 7.785013, 11.76149, 11.754904, 11.754904, 11.610417, 13.345114,1.06823, 1.499085, 4.058794, 3.91572, 4.90977, 5.045195, 5.052901, 5.619964, 5.392872, 5.661854, 8.975595, 8.970569, 8.970569, 8.860306, 10.184113,1.06823, 1.497009, 4.610401, 4.30861, 5.442199, 5.592313, 5.600857, 6.229416, 5.977694, 6.275843, 9.968132, 9.962549, 9.962549, 9.840093, 11.35686,1.06823, 1.412365, 3.776599, 3.783171, 4.735345, 4.86596, 4.873394, 5.42031, 5.201282, 5.46071, 9.4203, 9.415026, 9.415026, 9.2993, 11.168344,1.065348, 1.387403, 3.356513, 3.296472, 4.019831, 4.130708, 4.137019, 4.601297, 4.415363, 4.63559, 7.258126, 7.202516, 7.202516, 7.113985, 8.277007,1.065348, 1.370901, 3.177885, 2.915511, 3.777187, 3.855287, 3.861176, 4.294494, 4.120959, 4.326502, 6.320324, 6.376681, 6.376681, 6.298301, 7.487308,1.046939, 1.296594, 2.820165, 2.777048, 3.713408, 3.769116, 3.748527, 4.169207, 4.000736, 4.194363, 6.067302, 6.121406, 6.121406, 6.046164, 7.001056,1.073913, 1.330004, 2.742032, 2.704891, 3.827029, 3.95597, 3.971026, 4.416673, 4.238202, 4.443321, 6.388871, 6.445842, 6.445842, 6.366612, 6.806016
28,1.093771, 1.578467, 4.713824, 4.704502, 6.325042, 6.209409, 6.072747, 6.878473, 6.75967, 6.873741, 10.910321, 11.100004, 11.100004, 10.902118, 13.005743,1.093771, 1.578467, 4.55159, 4.668672, 6.532851, 6.413416, 6.272263, 7.104463, 6.981753, 7.09957, 11.03071, 11.266802, 11.266802, 11.065943, 13.201179,1.093771, 1.553374, 5.034969, 5.181774, 7.029834, 6.901312, 6.749419, 7.644924, 7.512878, 7.63966, 11.428071, 11.672667, 11.672667, 11.464571, 13.676725,1.093771, 1.482641, 4.187521, 4.119654, 5.07797, 4.985132, 4.875413, 5.522279, 5.426897, 5.518474, 8.662027, 8.84742, 8.84742, 8.689692, 10.366415,1.093771, 1.480586, 4.75662, 4.53301, 5.628637, 5.525734, 5.40412, 6.121131, 6.015406, 6.116916, 9.619899, 9.825791, 9.825791, 9.650621, 11.560163,1.093771, 1.396873, 3.819091, 3.901257, 4.800441, 4.712677, 4.608955, 5.220468, 5.1303, 5.216876, 8.910915, 9.101635, 9.101635, 8.939374, 11.142825,1.090825, 1.372193, 3.394297, 3.399387, 4.11723, 4.041958, 3.952999, 4.477478, 4.400145, 4.474395, 6.936658, 7.034779, 7.034779, 6.909367, 8.343503,1.090825, 1.355873, 3.213665, 3.006538, 3.868716, 3.772462, 3.689432, 4.178943, 4.106765, 4.176062, 6.040397, 6.228183, 6.228183, 6.117149, 7.547468,1.071973, 1.303906, 2.89978, 2.828031, 3.75595, 3.642134, 3.537114, 4.006413, 3.937211, 3.998011, 5.726246, 5.904269, 5.904269, 5.79901, 6.969266,1.099591, 1.337504, 2.819452, 2.754565, 3.870891, 3.822716, 3.747086, 4.244246, 4.170938, 4.235346, 6.029783, 6.217239, 6.217239, 6.106401, 6.775165
30,1.117022, 1.655548, 4.632672, 4.219227, 5.503162, 5.395147, 5.147014, 5.659444, 5.773588, 5.894112, 9.108995, 9.321662, 9.321662, 9.15548, 10.898801,1.117022, 1.655548, 4.536062, 4.260115, 5.783094, 5.669586, 5.408828, 5.947324, 6.067276, 6.193931, 9.370132, 9.626761, 9.626761, 9.455139, 11.255518,1.117022, 1.629226, 5.017763, 4.712516, 6.202253, 6.080514, 5.800857, 6.378381, 6.507029, 6.642863, 9.675245, 9.94023, 9.94023, 9.763019, 11.622022,1.117022, 1.555045, 4.17324, 3.746607, 4.514278, 4.42567, 4.222123, 4.642474, 4.736109, 4.834976, 7.389293, 7.591669, 7.591669, 7.456328, 8.876109,1.117022, 1.552887, 4.740382, 4.122519, 5.003813, 4.905599, 4.679979, 5.145912, 5.249699, 5.359287, 8.206395, 8.431151, 8.431151, 8.280844, 9.898212,1.117022, 1.465088, 3.806061, 3.547979, 4.267546, 4.183782, 3.991362, 4.388736, 4.47725, 4.570715, 7.601576, 7.809766, 7.809766, 7.670537, 9.540854,1.11401, 1.439196, 3.38269, 3.091532, 3.660154, 3.588311, 3.423279, 3.764098, 3.840018, 3.920179, 5.917382, 6.036247, 6.036247, 5.928635, 7.143949,1.11401, 1.422079, 3.202682, 2.927019, 3.687392, 3.59072, 3.425572, 3.766616, 3.842588, 3.922798, 5.524619, 5.72975, 5.72975, 5.627603, 6.92865,1.094759, 1.367582, 2.889892, 2.753975, 3.580878, 3.46761, 3.285038, 3.612093, 3.684946, 3.756569, 5.238718, 5.433233, 5.433233, 5.336371, 6.399593,1.122966, 1.402825, 2.809832, 2.682429, 3.690451, 3.639528, 3.480035, 3.826504, 3.903678, 3.979553, 5.516388, 5.721212, 5.721212, 5.619217, 6.22133
