,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,0.978136, 1.174475, 1.784613, 1.90537, 2.052609, 1.950754, 1.930753, 1.943567, 1.943567, 1.938697, 2.124407, 2.087598, 2.087598, 2.087598, 2.284907,0.999448, 1.180983, 2.019076, 2.148742, 2.348489, 2.231953, 2.209068, 2.22373, 2.22373, 2.218158, 2.353428, 2.321782, 2.321782, 2.321782, 2.541224,0.999448, 1.092635, 1.460378, 1.380714, 1.440815, 1.369319, 1.35528, 1.364274, 1.364274, 1.360855, 1.523366, 1.502882, 1.502882, 1.502882, 1.6517,0.999448, 1.091121, 1.591218, 1.44677, 1.390998, 1.321973, 1.308418, 1.317101, 1.317101, 1.313801, 1.39632, 1.377544, 1.377544, 1.377544, 1.555607,0.977068, 1.038224, 1.299256, 1.313774, 1.253673, 1.191463, 1.179246, 1.187073, 1.187073, 1.184099, 1.322125, 1.295077, 1.295077, 1.295077, 1.462477,0.97953, 1.015338, 1.154113, 1.119291, 1.129825, 1.066543, 1.056216, 1.063226, 1.063226, 1.060561, 1.0361, 1.034334, 1.034334, 1.034334, 1.145957,0.97953, 1.002434, 1.128388, 1.022278, 1.134768, 1.065254, 1.047577, 1.054529, 1.054529, 1.050405, 1.04869, 1.052632, 1.052632, 1.052632, 1.160665,0.999678, 0.969738, 1.013006, 0.989404, 0.988161, 0.935889, 0.913372, 0.913372, 0.913372, 0.9098, 0.928374, 0.928374, 0.928374, 0.928374, 0.997878,1, 1, 0.926121, 0.905238, 0.909952, 0.909952, 0.909952, 0.909952, 0.909952, 0.909952, 0.908535, 0.908535, 0.908535, 0.908535, 0.908535,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
14,0.991207, 1.100217, 1.72341, 1.889999, 2.18525, 2.112103, 2.090447, 2.09792, 2.080569, 2.027977, 2.530602, 2.301562, 2.301562, 2.301562, 2.505848,1.012804, 1.106317, 1.949827, 2.131406, 2.481708, 2.398635, 2.374041, 2.382528, 2.362823, 2.303096, 2.740866, 2.502637, 2.502637, 2.502637, 2.724772,1.012804, 1.023557, 1.410296, 1.434088, 1.594262, 1.540896, 1.525096, 1.530549, 1.517891, 1.479523, 1.83592, 1.676347, 1.676347, 1.676347, 1.832652,1.012804, 1.028125, 1.545645, 1.511493, 1.548147, 1.496325, 1.480982, 1.486278, 1.473986, 1.436726, 1.711368, 1.562621, 1.562621, 1.562621, 1.755325,0.990123, 0.972582, 1.277785, 1.377777, 1.379792, 1.333606, 1.319933, 1.324653, 1.313698, 1.28049, 1.600813, 1.451288, 1.451288, 1.451288, 1.630263,0.99262, 0.951146, 1.165902, 1.205735, 1.306312, 1.2541, 1.241958, 1.246398, 1.23609, 1.204844, 1.300373, 1.198608, 1.198608, 1.198608, 1.320976,0.99262, 0.939058, 1.141287, 1.102554, 1.274431, 1.216448, 1.196262, 1.200538, 1.190609, 1.158877, 1.316323, 1.219949, 1.219949, 1.219949, 1.338081,1.018195, 0.979421, 1.104651, 1.150487, 1.187633, 1.143341, 1.115832, 1.112439, 1.103238, 1.075124, 1.267182, 1.174405, 1.174405, 1.174405, 1.25569,1.018195, 0.999413, 0.999334, 1.020228, 1.04502, 1.104695, 1.104695, 1.101335, 1.101297, 1.101297, 1.268814, 1.175918, 1.175918, 1.175918, 1.175918,1, 0.99149, 1.056526, 1.103499, 1.165577, 1.180979, 1.180979, 1.180979, 1.180938, 1.180938, 1.323159, 1.218149, 1.218149, 1.218149, 1.218149
16,1.015481, 1.225841, 2.362984, 2.701536, 3.366823, 3.034383, 3.064983, 3.11375, 3.083402, 3.062805, 3.964429, 3.62675, 3.62675, 3.666732, 4.039272,1.037608, 1.232635, 2.673432, 3.046601, 3.823582, 3.446041, 3.480793, 3.536178, 3.501712, 3.478322, 4.348823, 3.994111, 3.994111, 4.038143, 4.448415,1.037608, 1.140421, 1.933665, 2.049855, 2.45628, 2.213746, 2.236071, 2.271649, 2.249509, 2.234482, 2.916788, 2.678881, 2.678881, 2.708414, 2.995872,1.037608, 1.145508, 2.119233, 2.072993, 2.288626, 2.06265, 2.083451, 2.116601, 2.095971, 2.08197, 2.608785, 2.395999, 2.395999, 2.422413, 2.75324,1.014371, 1.08362, 1.787424, 1.927845, 2.08102, 1.87554, 1.894454, 1.924597, 1.905839, 1.893108, 2.489635, 2.27032, 2.27032, 2.295348, 2.608823,1.016928, 1.059743, 1.614117, 1.669739, 1.949915, 1.763524, 1.782336, 1.810695, 1.793047, 1.781069, 2.022153, 1.874828, 1.874828, 1.895497, 2.122297,1.016928, 1.046272, 1.580042, 1.591292, 1.98261, 1.782771, 1.789214, 1.817681, 1.799966, 1.785423, 2.133345, 1.988742, 1.988742, 2.010667, 2.240507,1.043128, 1.091246, 1.535281, 1.666944, 1.854777, 1.682154, 1.675416, 1.704996, 1.688378, 1.676746, 2.078948, 1.938033, 1.938033, 1.959398, 2.128398,1.043128, 1.106037, 1.353514, 1.440543, 1.582861, 1.576312, 1.608703, 1.637107, 1.634614, 1.665803, 2.018893, 1.882049, 1.882049, 1.902797, 1.933117,1.024489, 1.097273, 1.423908, 1.550425, 1.735004, 1.659468, 1.693568, 1.728726, 1.751471, 1.784889, 2.072655, 1.919348, 1.919348, 1.940507, 1.971427
18,1.027463, 1.255702, 2.599004, 2.774571, 3.061061, 2.992494, 2.990926, 3.078491, 3.009656, 2.933804, 3.687884, 3.301316, 3.301316, 3.208295, 3.565211,1.04985, 1.262664, 2.940474, 3.128975, 3.476349, 3.39848, 3.396699, 3.496144, 3.41797, 3.331824, 4.009141, 3.60307, 3.60307, 3.501547, 3.891086,1.04985, 1.168206, 2.126817, 2.119532, 2.248337, 2.197977, 2.196825, 2.26114, 2.210582, 2.154868, 2.740031, 2.462503, 2.462503, 2.393117, 2.670294,1.04985, 1.173415, 2.330926, 2.143462, 2.094884, 2.047961, 2.046887, 2.106814, 2.059704, 2.007792, 2.450697, 2.202475, 2.202475, 2.140416, 2.454037,1.026339, 1.105325, 1.922279, 1.949074, 1.862518, 1.820795, 1.819841, 1.873121, 1.831238, 1.785086, 2.286795, 2.040571, 2.040571, 1.983074, 2.259887,1.028926, 1.099119, 1.765038, 1.704928, 1.762537, 1.712756, 1.712845, 1.762991, 1.723572, 1.680133, 1.858164, 1.685793, 1.685793, 1.638293, 1.839189,1.028926, 1.08976, 1.735109, 1.631727, 1.799704, 1.755378, 1.743218, 1.794252, 1.754131, 1.707513, 1.987431, 1.812936, 1.812936, 1.761854, 1.980446,1.055437, 1.136604, 1.685964, 1.709309, 1.683678, 1.656322, 1.660177, 1.711716, 1.67344, 1.63092, 1.969771, 1.796826, 1.796826, 1.746198, 1.913422,1.055437, 1.152013, 1.486361, 1.477155, 1.44644, 1.562468, 1.604713, 1.654532, 1.630968, 1.631094, 1.925642, 1.756571, 1.756571, 1.707077, 1.738884,1.036578, 1.141221, 1.561386, 1.587515, 1.604788, 1.664934, 1.709949, 1.775579, 1.750291, 1.750425, 1.980008, 1.806164, 1.806164, 1.755272, 1.787977
20,1.000364, 1.255666, 2.884149, 2.963459, 3.314683, 3.267146, 3.343053, 3.480137, 3.530039, 3.500115, 4.523778, 4.422754, 4.422754, 4.298135, 4.795059,1.022163, 1.262628, 3.263084, 3.341995, 3.764382, 3.710396, 3.796603, 3.952287, 4.008958, 3.974973, 4.917866, 4.827026, 4.827026, 4.691016, 5.233361,1.022163, 1.168173, 2.360152, 2.26382, 2.418518, 2.383835, 2.439221, 2.539244, 2.575655, 2.55382, 3.378507, 3.316102, 3.316102, 3.222665, 3.610052,1.022163, 1.173386, 2.586652, 2.289384, 2.283807, 2.251055, 2.303356, 2.397806, 2.432188, 2.41157, 3.147764, 3.08962, 3.08962, 3.002564, 3.456036,0.999271, 1.105296, 2.133177, 2.081765, 2.030484, 2.001364, 2.047864, 2.131838, 2.162408, 2.144077, 2.960923, 2.88558, 2.88558, 2.804273, 3.208271,1.001791, 1.09909, 1.958689, 1.821003, 1.908636, 1.870016, 1.913464, 1.991927, 2.020488, 2.00336, 2.357766, 2.336159, 2.336159, 2.270333, 2.558748,1.001791, 1.089729, 1.925478, 1.742818, 1.990724, 1.957698, 1.989201, 2.070769, 2.100463, 2.079722, 2.60947, 2.585557, 2.585557, 2.512704, 2.83555,1.053576, 1.165302, 1.918231, 1.871825, 1.909447, 1.893905, 1.942316, 2.021963, 2.050955, 2.033141, 2.582919, 2.559249, 2.559249, 2.487137, 2.736023,1.053576, 1.181099, 1.691129, 1.617599, 1.638297, 1.783241, 1.878446, 1.955473, 1.999984, 2.034456, 2.526415, 2.503263, 2.503263, 2.432729, 2.487791,1.03475, 1.17004, 1.776499, 1.73846, 1.817652, 1.900189, 2.001637, 2.098544, 2.146312, 2.183306, 2.597751, 2.573945, 2.573945, 2.501419, 2.558036
22,1.019858, 1.310911, 3.072464, 3.176604, 3.676029, 3.592223, 3.566005, 3.600597, 3.698087, 3.499212, 4.643576, 4.527391, 4.527391, 4.399823, 5.391708,1.019858, 1.290063, 3.401979, 3.599473, 4.194687, 4.099059, 4.069142, 4.108612, 4.219852, 3.992918, 5.0722, 4.964817, 4.964817, 4.824923, 5.912647,1.019858, 1.193559, 2.46064, 2.446423, 2.691414, 2.630057, 2.610864, 2.636189, 2.707567, 2.561962, 3.479931, 3.406258, 3.406258, 3.310281, 4.073243,1.019858, 1.198878, 2.696761, 2.474021, 2.541476, 2.48354, 2.465416, 2.489331, 2.556729, 2.419233, 3.194112, 3.126489, 3.126489, 3.038395, 3.841562,0.997019, 1.129312, 2.223986, 2.249666, 2.259581, 2.208067, 2.191952, 2.213212, 2.273136, 2.150892, 3.00452, 2.940911, 2.940911, 2.858046, 3.602727,0.999532, 1.122974, 2.042064, 1.967862, 2.123972, 2.063141, 2.048083, 2.067949, 2.12394, 2.00972, 2.392472, 2.380946, 2.380946, 2.313858, 2.873335,0.999532, 1.113412, 2.007446, 1.883376, 2.215324, 2.159882, 2.129155, 2.14981, 2.208015, 2.086326, 2.449601, 2.4378, 2.4378, 2.36911, 2.945733,1.051198, 1.190621, 1.999892, 2.022796, 2.124887, 2.089509, 2.078978, 2.099145, 2.155979, 2.039604, 2.424687, 2.413007, 2.413007, 2.345017, 2.842351,1.051198, 1.206761, 1.763116, 1.748059, 1.823133, 1.967406, 2.010604, 2.030107, 2.102389, 2.040918, 2.365544, 2.354147, 2.354147, 2.287815, 2.57782,1.032415, 1.195463, 1.852121, 1.878666, 2.022729, 2.096436, 2.142468, 2.178642, 2.256211, 2.190241, 2.432334, 2.420616, 2.420616, 2.352412, 2.650606
24,1.029587, 1.458861, 3.621205, 3.407835, 3.886726, 3.556853, 3.507683, 3.627072, 3.787177, 3.546762, 5.292454, 5.12405, 5.12405, 5.012816, 5.88676,1.029587, 1.435662, 4.009582, 3.861497, 4.435129, 4.05871, 4.002604, 4.138837, 4.321535, 4.047198, 5.780994, 5.619146, 5.619146, 5.497165, 6.455553,1.029587, 1.32826, 2.982753, 2.699287, 2.926763, 2.678365, 2.64134, 2.731241, 2.851804, 2.670769, 4.079212, 3.965008, 3.965008, 3.878936, 4.573952,1.029587, 1.334187, 3.269019, 2.825578, 2.822226, 2.582698, 2.546997, 2.63369, 2.749947, 2.575379, 3.823448, 3.716405, 3.716405, 3.63573, 4.405125,1.006529, 1.256771, 2.695913, 2.569335, 2.509188, 2.296228, 2.264485, 2.341559, 2.44492, 2.289714, 3.596494, 3.495805, 3.495805, 3.419917, 4.131242,1.009066, 1.249716, 2.475387, 2.233403, 2.359609, 2.14643, 2.116759, 2.188809, 2.285429, 2.140349, 2.865086, 2.8314, 2.8314, 2.769936, 3.296268,1.009066, 1.239074, 2.433421, 2.137516, 2.461096, 2.24708, 2.200549, 2.275449, 2.375891, 2.221932, 2.933497, 2.899007, 2.899007, 2.836075, 3.379313,1.061228, 1.324998, 2.424258, 2.295743, 2.360619, 2.175725, 2.150531, 2.223727, 2.321886, 2.174033, 2.906153, 2.871985, 2.871985, 2.80964, 3.263512,1.061228, 1.342964, 2.137244, 2.025496, 2.178308, 2.203251, 2.236827, 2.312962, 2.435117, 2.339675, 3.04932, 3.013468, 3.013468, 2.948051, 3.183244,1.042265, 1.330386, 2.245133, 2.176825, 2.41678, 2.347744, 2.383523, 2.482188, 2.613277, 2.510852, 3.135412, 3.098548, 3.098548, 3.031284, 3.273116
26,1.024455, 1.454372, 4.000992, 4.103228, 4.878691, 4.621749, 4.453605, 4.785626, 4.978295, 4.677579, 6.954274, 6.669758, 6.669758, 6.550852, 7.692939,1.024455, 1.431248, 4.430132, 4.543337, 5.38869, 5.104889, 4.919167, 5.285895, 5.498704, 5.166551, 7.352831, 7.079855, 7.079855, 6.953638, 8.165948,1.024455, 1.324177, 3.295596, 3.175906, 3.556014, 3.368731, 3.246171, 3.488176, 3.62861, 3.409421, 5.188313, 4.995696, 4.995696, 4.906635, 5.785793,1.024455, 1.330081, 3.611868, 3.324481, 3.428988, 3.248393, 3.130212, 3.363571, 3.498987, 3.287627, 4.969506, 4.785013, 4.785013, 4.699708, 5.694266,1.001513, 1.252902, 2.978656, 3.02299, 3.048638, 2.888077, 2.783004, 2.990479, 3.110877, 2.922961, 4.674523, 4.500981, 4.500981, 4.420739, 5.34023,1.004036, 1.245864, 2.734986, 2.627729, 2.896534, 2.727578, 2.628345, 2.824289, 2.937994, 2.760522, 3.762362, 3.622683, 3.622683, 3.5581, 4.234194,1.004036, 1.235255, 2.688625, 2.51492, 3.049875, 2.882658, 2.777781, 2.984866, 3.105035, 2.913363, 3.916212, 3.770822, 3.770822, 3.703598, 4.413004,1.055937, 1.320917, 2.678502, 2.623366, 2.82815, 2.696895, 2.622997, 2.818544, 2.932018, 2.754325, 3.748724, 3.609552, 3.609552, 3.545203, 4.117897,1.055937, 1.338822, 2.361388, 2.314552, 2.609727, 2.731008, 2.721658, 2.924561, 3.067568, 2.957015, 3.923892, 3.778218, 3.778218, 3.710862, 4.00691,1.037067, 1.328213, 2.484198, 2.491102, 2.913025, 2.927801, 2.917776, 3.157609, 3.312012, 3.192649, 3.886634, 3.742342, 3.742342, 3.675625, 3.96886
28,1.036476, 1.506547, 4.244006, 4.381907, 5.436896, 5.119444, 4.86348, 5.236567, 5.199154, 4.924465, 7.554075, 7.124951, 7.124951, 6.99793, 8.04438,1.036476, 1.482591, 4.699195, 4.851886, 6.005222, 5.654584, 5.371865, 5.78395, 5.742628, 5.439227, 7.986984, 7.563014, 7.563014, 7.428184, 8.538974,1.036476, 1.371677, 3.495749, 3.357551, 3.923095, 3.694033, 3.509337, 3.778544, 3.751549, 3.553343, 5.579236, 5.283075, 5.283075, 5.188891, 5.989385,1.036476, 1.377797, 3.874904, 3.554686, 3.826068, 3.602673, 3.422543, 3.685093, 3.658765, 3.465462, 5.404847, 5.117944, 5.117944, 5.026703, 5.961817,1.013263, 1.297846, 3.195581, 3.232323, 3.401691, 3.203074, 3.042924, 3.276352, 3.252946, 3.081082, 5.084046, 4.814172, 4.814172, 4.728347, 5.591177,1.015817, 1.290557, 2.934172, 2.82871, 3.253843, 3.045537, 2.893264, 3.115213, 3.092956, 2.929545, 4.119662, 3.966152, 3.966152, 3.895445, 4.537729,1.015817, 1.279576, 2.884444, 2.707282, 3.431425, 3.223698, 3.062518, 3.29745, 3.273891, 3.096553, 4.294789, 4.134754, 4.134754, 4.061042, 4.736712,1.068326, 1.368304, 2.873573, 2.824012, 3.181945, 3.015942, 2.865151, 3.084941, 3.062902, 2.900469, 4.073127, 3.921351, 3.921351, 3.851443, 4.379117,1.068326, 1.386855, 2.53337, 2.49159, 2.936215, 3.054111, 2.980138, 3.208748, 3.212277, 3.121467, 4.284811, 4.125147, 4.125147, 4.051606, 4.282433,1.049237, 1.375864, 2.665126, 2.681641, 3.277453, 3.27418, 3.194873, 3.464435, 3.468247, 3.370201, 4.24412, 4.085974, 4.085974, 4.013131, 4.241768
30,1.113403, 1.589641, 4.431892, 4.414694, 5.550518, 5.6917, 5.477899, 5.898119, 6.009334, 5.896689, 8.315193, 8.02152, 8.02152, 7.812076, 9.320504,1.113403, 1.564363, 4.907227, 4.888182, 6.172554, 6.329557, 6.091793, 6.559106, 6.682783, 6.557515, 8.961531, 8.67917, 8.67917, 8.452555, 10.084653,1.113403, 1.447336, 3.725226, 3.451909, 4.11495, 4.219618, 4.061112, 4.372646, 4.455098, 4.371585, 6.388136, 6.186856, 6.186856, 6.025316, 7.218337,1.113403, 1.453794, 4.129274, 3.654586, 4.013191, 4.115269, 3.960682, 4.264513, 4.344927, 4.263479, 6.188472, 5.993484, 5.993484, 5.836993, 7.185124,1.088469, 1.369421, 3.405324, 3.178844, 3.389957, 3.476184, 3.345606, 3.602254, 3.670179, 3.601377, 5.530594, 5.356334, 5.356334, 5.216479, 6.402079,1.091213, 1.361737, 3.126766, 2.781917, 3.194269, 3.255934, 3.133628, 3.374016, 3.437633, 3.373194, 4.414683, 4.347017, 4.347017, 4.233515, 5.118375,1.091213, 1.350146, 3.073779, 2.850199, 3.606089, 3.689375, 3.550785, 3.82317, 3.895255, 3.816851, 4.926808, 4.85129, 4.85129, 4.724622, 5.719476,1.165537, 1.466315, 3.11001, 3.019518, 3.474815, 3.58673, 3.451997, 3.716809, 3.786891, 3.715121, 4.855457, 4.781032, 4.781032, 4.656199, 5.494706,1.165537, 1.486197, 2.741815, 2.664769, 3.19413, 3.487433, 3.447505, 3.711969, 3.813366, 3.83892, 4.904325, 4.829153, 4.829153, 4.703063, 5.159337,1.14471, 1.474417, 2.884408, 2.927684, 3.590454, 3.765059, 3.721952, 4.035985, 4.146234, 4.174024, 4.89197, 4.816987, 4.816987, 4.691214, 5.146339
