,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,1, 0.944598, 1.033827, 1.128023, 1.141061, 1.141061, 1.141061, 1.141061, 1.141061, 1.141061, 1.227122, 1.227122, 1.227122, 1.227122, 1.23919,1, 0.990159, 1.066617, 1.179713, 1.134193, 1.134193, 1.134193, 1.134193, 1.134193, 1.134193, 1.237501, 1.237501, 1.237501, 1.237501, 1.247829,1, 1, 1.077218, 1.198953, 1.152691, 1.152691, 1.152691, 1.152691, 1.152691, 1.152691, 1.225098, 1.225098, 1.225098, 1.225098, 1.225098,1, 1, 1.047986, 1.036182, 1.036182, 1.036182, 1.036182, 1.036182, 1.036182, 1.036182, 1.10127, 1.10127, 1.10127, 1.10127, 1.10127,1, 1, 1.047986, 1.084723, 1.084723, 1.084723, 1.084723, 1.084723, 1.084723, 1.084723, 1.15286, 1.15286, 1.15286, 1.15286, 1.15286,1, 1, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219, 1.042219,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
14,1.028516, 0.958737, 1.046092, 1.132298, 1.165171, 1.094724, 1.117219, 1.117219, 1.117219, 1.117219, 1.1943, 1.1943, 1.1943, 1.1943, 1.256337,1.028516, 1.004978, 1.109938, 1.217834, 1.191068, 1.119056, 1.119056, 1.119056, 1.119056, 1.119056, 1.27356, 1.27356, 1.27356, 1.27356, 1.369641,1.028516, 1.014967, 1.12097, 1.237694, 1.210492, 1.210492, 1.210492, 1.210492, 1.210492, 1.210492, 1.341926, 1.341926, 1.341926, 1.341926, 1.363308,1, 0.986827, 1.060315, 1.040007, 1.057972, 1.057972, 1.057972, 1.057972, 1.057972, 1.057972, 1.152511, 1.152511, 1.152511, 1.152511, 1.198799,1, 0.986827, 1.060315, 1.088727, 1.088727, 1.088727, 1.088727, 1.088727, 1.088727, 1.088727, 1.157116, 1.157116, 1.157116, 1.157116, 1.157116,1, 0.986827, 1.02849, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284, 1.020284,1, 1, 1, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021,1, 1, 1, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021, 0.992021,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
16,1.028516, 0.975792, 1.096537, 1.159754, 1.25959, 1.198778, 1.234422, 1.238332, 1.2279, 1.231481, 1.263818, 1.263818, 1.263818, 1.263818, 1.331836,1.028516, 1.004978, 1.117888, 1.198501, 1.278333, 1.216616, 1.227566, 1.227566, 1.227566, 1.248629, 1.364214, 1.364214, 1.364214, 1.364214, 1.467135,1.028516, 1.014967, 1.132714, 1.222057, 1.26059, 1.276933, 1.276933, 1.276933, 1.276933, 1.276933, 1.415581, 1.406346, 1.406346, 1.406346, 1.428755,1, 0.986827, 1.08291, 1.078994, 1.157685, 1.157685, 1.157685, 1.157685, 1.157685, 1.157685, 1.261135, 1.261135, 1.261135, 1.261135, 1.311785,1, 0.986827, 1.08291, 1.130056, 1.199179, 1.199179, 1.199179, 1.199179, 1.199179, 1.199179, 1.274506, 1.274506, 1.274506, 1.274506, 1.274506,1, 0.986827, 1.04696, 1.055539, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104, 1.120104,1, 1, 1.017959, 1.026301, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077, 1.089077,1, 1, 1, 0.995891, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536, 1.016536,1, 1, 1, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901,1, 1, 1, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901, 1.003901
18,1.028516, 0.999338, 1.272796, 1.173696, 1.246015, 1.185858, 1.221118, 1.228131, 1.217785, 1.221337, 1.280617, 1.293173, 1.293173, 1.293173, 1.361074,1.028516, 1.052985, 1.327526, 1.240905, 1.272684, 1.21124, 1.222141, 1.222141, 1.222141, 1.243111, 1.387668, 1.401274, 1.401274, 1.401274, 1.50699,1.028516, 1.039572, 1.322859, 1.24434, 1.219985, 1.235802, 1.235802, 1.235802, 1.235802, 1.235802, 1.375017, 1.37944, 1.37944, 1.37944, 1.401421,1, 0.983484, 1.206419, 1.036745, 1.139409, 1.139409, 1.139409, 1.139409, 1.139409, 1.139409, 1.245785, 1.245785, 1.245785, 1.245785, 1.295819,1, 0.983484, 1.206419, 1.085807, 1.180246, 1.180246, 1.180246, 1.180246, 1.180246, 1.180246, 1.26527, 1.26527, 1.26527, 1.26527, 1.26527,1, 1.022124, 1.142566, 1.028338, 1.091238, 1.091238, 1.091238, 1.091238, 1.091238, 1.091238, 1.100709, 1.100709, 1.100709, 1.100709, 1.100709,1, 1.035769, 1.085842, 1.098725, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931, 1.165931,1, 1.035769, 1.035769, 1.03527, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731, 1.056731,1, 1.012402, 1.012402, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052, 1.020052,1, 1, 1, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537, 1.018537
20,1.028779, 1.055619, 1.312241, 1.261345, 1.363669, 1.296399, 1.327373, 1.334996, 1.345746, 1.341022, 1.505232, 1.505294, 1.505294, 1.505294, 1.65292,1.010727, 1.092768, 1.344647, 1.256908, 1.312782, 1.246819, 1.2758, 1.2758, 1.297, 1.310801, 1.524198, 1.524261, 1.524261, 1.524261, 1.710222,1.010727, 1.078848, 1.339919, 1.313796, 1.311748, 1.311346, 1.329858, 1.329858, 1.329858, 1.321156, 1.503598, 1.508435, 1.508435, 1.508435, 1.59109,0.982705, 1.011037, 1.210478, 1.084312, 1.213582, 1.197682, 1.214589, 1.214589, 1.214589, 1.206641, 1.360001, 1.360001, 1.360001, 1.360001, 1.468734,0.982705, 0.989656, 1.18488, 1.11161, 1.230496, 1.230496, 1.247867, 1.247867, 1.247867, 1.239701, 1.359116, 1.359116, 1.359116, 1.359116, 1.411105,0.982705, 1.028539, 1.099962, 1.031943, 1.095065, 1.095065, 1.110524, 1.110524, 1.110524, 1.110524, 1.145539, 1.145539, 1.145539, 1.145539, 1.189358,1.000256, 1.060883, 1.064022, 1.122268, 1.190915, 1.190915, 1.190915, 1.190915, 1.190915, 1.190915, 1.217894, 1.217894, 1.217894, 1.217894, 1.264482,1.000256, 1.036034, 0.980587, 1.021646, 1.042825, 1.042825, 1.042825, 1.042825, 1.042825, 1.042825, 1.057438, 1.057438, 1.057438, 1.057438, 1.097887,1, 1.012402, 0.95822, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.006371, 1.017864,1, 1, 0.988285, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926, 1.04926
22,1.042101, 1.079769, 1.436977, 1.359693, 1.435095, 1.399023, 1.43245, 1.478984, 1.503521, 1.489098, 1.855717, 1.802493, 1.802493, 1.802493, 1.88342,1.023816, 1.117767, 1.472469, 1.354916, 1.381548, 1.345524, 1.3768, 1.413409, 1.449064, 1.455543, 1.69009, 1.641617, 1.641617, 1.641617, 1.752701,1.023816, 1.10353, 1.467292, 1.416241, 1.380461, 1.41516, 1.435138, 1.473298, 1.485775, 1.467042, 1.66725, 1.624575, 1.624575, 1.624575, 1.630615,0.995431, 1.02413, 1.312679, 1.157514, 1.264752, 1.248182, 1.265802, 1.299459, 1.299459, 1.290956, 1.452958, 1.425065, 1.425065, 1.425065, 1.496075,0.995431, 1.002473, 1.284921, 1.186657, 1.28238, 1.28238, 1.300483, 1.335063, 1.335063, 1.326327, 1.452015, 1.42414, 1.42414, 1.42414, 1.478617,0.995431, 1.041859, 1.199902, 1.10814, 1.175923, 1.175923, 1.192523, 1.192523, 1.192523, 1.192523, 1.230592, 1.230592, 1.230592, 1.230592, 1.277665,1.013209, 1.074622, 1.160699, 1.205137, 1.278852, 1.278852, 1.278852, 1.278852, 1.278852, 1.278852, 1.308322, 1.308322, 1.308322, 1.308322, 1.358368,1.013209, 1.049451, 1.063377, 1.090617, 1.113225, 1.113225, 1.113225, 1.113225, 1.113225, 1.113225, 1.129256, 1.129256, 1.129256, 1.129256, 1.172452,1.01295, 1.025512, 1.012449, 1.046735, 1.046735, 1.046735, 1.046735, 1.046735, 1.046735, 1.046735, 1.047134, 1.047134, 1.047134, 1.047134, 1.059092,1, 1, 1.030868, 1.058396, 1.058396, 1.058396, 1.058396, 1.058396, 1.058396, 1.058396, 1.058799, 1.058799, 1.058799, 1.058799, 1.058799
24,1.042101, 1.108419, 1.600639, 1.644601, 1.859759, 1.834976, 1.85471, 1.890626, 1.885235, 1.87104, 2.419101, 2.448045, 2.448045, 2.448045, 2.557955,1.023816, 1.157592, 1.654704, 1.613022, 1.762181, 1.737021, 1.779045, 1.812809, 1.822997, 1.823982, 2.160863, 2.139969, 2.139969, 2.139969, 2.284778,1.023816, 1.142845, 1.684116, 1.711257, 1.78714, 1.854253, 1.882174, 1.932221, 1.911321, 1.879838, 2.179719, 2.165498, 2.165498, 2.165498, 2.173551,1.007111, 1.052195, 1.494697, 1.4166, 1.658376, 1.656474, 1.679561, 1.724221, 1.691247, 1.673605, 1.921836, 1.921836, 1.921836, 1.921836, 2.0176,1.007111, 1.041146, 1.479, 1.468059, 1.699777, 1.720367, 1.720367, 1.766111, 1.732335, 1.714264, 1.914783, 1.914783, 1.914783, 1.914783, 1.988028,1.007111, 1.061257, 1.314813, 1.305086, 1.483815, 1.501789, 1.501789, 1.501789, 1.501789, 1.495912, 1.574981, 1.574981, 1.574981, 1.574981, 1.635228,1.025097, 1.087231, 1.263258, 1.338113, 1.521365, 1.539794, 1.539794, 1.539794, 1.539794, 1.533768, 1.600943, 1.600943, 1.600943, 1.600943, 1.662183,1.025097, 1.061763, 1.157334, 1.210954, 1.282802, 1.298341, 1.298341, 1.298341, 1.298341, 1.29326, 1.338495, 1.338495, 1.338495, 1.338495, 1.389696,1.024835, 1.037545, 1.101908, 1.162232, 1.206185, 1.206185, 1.206185, 1.206185, 1.206185, 1.206185, 1.231122, 1.231122, 1.231122, 1.231122, 1.245182,1.011733, 1.011733, 1.121953, 1.175179, 1.175179, 1.175179, 1.175179, 1.175179, 1.175179, 1.175179, 1.199475, 1.199475, 1.199475, 1.199475, 1.199475
26,1.04887, 1.115617, 1.627042, 1.671728, 1.863431, 1.873909, 1.892715, 1.929365, 1.951627, 1.902158, 2.459337, 2.488763, 2.488763, 2.488763, 2.600503,1.030467, 1.165113, 1.665453, 1.623499, 1.748294, 1.756429, 1.797642, 1.83176, 1.868638, 1.816008, 2.151419, 2.130616, 2.130616, 2.130616, 2.274789,1.006823, 1.123878, 1.656167, 1.682857, 1.704485, 1.802459, 1.8296, 1.878248, 1.884743, 1.780239, 2.064231, 2.094425, 2.094425, 2.094425, 2.102212,0.985844, 1.035202, 1.470559, 1.393722, 1.631594, 1.661022, 1.684173, 1.728955, 1.720363, 1.634955, 1.877457, 1.904919, 1.904919, 1.904919, 1.99984,0.985844, 1.024329, 1.455113, 1.444348, 1.71786, 1.772061, 1.772061, 1.81918, 1.81014, 1.720274, 1.921497, 1.921497, 1.921497, 1.921497, 1.994999,0.985844, 1.044116, 1.293577, 1.284008, 1.499603, 1.546918, 1.546918, 1.546918, 1.569241, 1.5631, 1.64572, 1.64572, 1.64572, 1.64572, 1.708672,1.037407, 1.105868, 1.284911, 1.361051, 1.589581, 1.639735, 1.639735, 1.639735, 1.696664, 1.690025, 1.764044, 1.764044, 1.764044, 1.764044, 1.831523,1.037407, 1.079964, 1.177175, 1.231715, 1.340325, 1.382614, 1.382614, 1.382614, 1.430616, 1.425018, 1.474861, 1.474861, 1.474861, 1.474861, 1.531278,1.037142, 1.050004, 1.11514, 1.176191, 1.253912, 1.277993, 1.277993, 1.277993, 1.277993, 1.277993, 1.304416, 1.304416, 1.304416, 1.304416, 1.319313,1.023883, 1.023883, 1.135427, 1.189293, 1.189293, 1.212133, 1.212133, 1.212133, 1.212133, 1.212133, 1.237193, 1.237193, 1.237193, 1.237193, 1.237193
28,1.073951, 1.122018, 1.636382, 1.672127, 1.861175, 1.81408, 1.809699, 1.873959, 1.869957, 1.754719, 2.246338, 2.32317, 2.32317, 2.32317, 2.427475,1.055108, 1.171799, 1.675012, 1.623888, 1.777896, 1.731237, 1.785975, 1.848695, 1.885913, 1.764576, 2.06987, 2.094902, 2.094902, 2.094902, 2.236659,1.036753, 1.135129, 1.672748, 1.69041, 1.740708, 1.784153, 1.825446, 1.903665, 1.910248, 1.717479, 1.971822, 2.044629, 2.044629, 2.044629, 2.05223,0.985844, 1.01538, 1.442397, 1.359557, 1.618161, 1.596683, 1.616023, 1.685269, 1.676895, 1.516934, 1.724752, 1.788437, 1.788437, 1.788437, 1.877554,0.985844, 1.004715, 1.427249, 1.408943, 1.703719, 1.7299, 1.750127, 1.825118, 1.816048, 1.66521, 1.84165, 1.882121, 1.882121, 1.882121, 1.954116,0.985844, 1.024122, 1.268807, 1.259419, 1.495433, 1.500772, 1.51832, 1.542368, 1.564625, 1.503709, 1.567577, 1.567577, 1.567577, 1.567577, 1.62754,1.037407, 1.084692, 1.260305, 1.334986, 1.585161, 1.577052, 1.595492, 1.620762, 1.677032, 1.611739, 1.665739, 1.665739, 1.665739, 1.665739, 1.729457,1.037407, 1.059284, 1.154631, 1.208125, 1.336595, 1.341366, 1.35705, 1.378543, 1.426404, 1.370869, 1.404828, 1.404828, 1.404828, 1.404828, 1.458566,1.031285, 1.024082, 1.087612, 1.147154, 1.243366, 1.23287, 1.247286, 1.267041, 1.267041, 1.222495, 1.235465, 1.235465, 1.235465, 1.235465, 1.249574,1.023883, 1.00571, 1.115272, 1.168182, 1.187678, 1.16746, 1.181111, 1.181111, 1.181111, 1.139586, 1.08251, 1.08251, 1.08251, 1.08251, 1.08251
30,1.096779, 1.145869, 1.558802, 1.451674, 1.543878, 1.536423, 1.532712, 1.587139, 1.596525, 1.507087, 1.897476, 1.966316, 1.966316, 1.966316, 2.045168,1.077535, 1.196707, 1.595601, 1.44503, 1.511058, 1.471402, 1.517925, 1.571232, 1.602865, 1.508699, 1.740507, 1.757715, 1.757715, 1.757715, 1.868042,1.05879, 1.159255, 1.623202, 1.532317, 1.517407, 1.55528, 1.591276, 1.659461, 1.665199, 1.497158, 1.690496, 1.749094, 1.749094, 1.749094, 1.751853,1.006798, 1.036959, 1.399675, 1.319288, 1.510023, 1.48998, 1.508027, 1.572645, 1.564831, 1.41556, 1.582915, 1.641362, 1.641362, 1.641362, 1.719477,1.006798, 1.026071, 1.389336, 1.371515, 1.622416, 1.647348, 1.66661, 1.738023, 1.729385, 1.585746, 1.724812, 1.762715, 1.762715, 1.762715, 1.826243,1.006798, 1.045889, 1.2351, 1.225965, 1.414381, 1.419429, 1.436026, 1.45877, 1.479821, 1.422207, 1.458137, 1.458137, 1.458137, 1.458137, 1.510687,1.059458, 1.107747, 1.226826, 1.299523, 1.499244, 1.491575, 1.509016, 1.532916, 1.586136, 1.524382, 1.549445, 1.549445, 1.549445, 1.549445, 1.605286,1.059458, 1.0818, 1.123961, 1.176034, 1.264655, 1.26917, 1.28401, 1.304347, 1.349632, 1.297087, 1.307272, 1.307272, 1.307272, 1.307272, 1.354385,1.053205, 1.045849, 1.05872, 1.116681, 1.176441, 1.16651, 1.18015, 1.198842, 1.198842, 1.156694, 1.149667, 1.149667, 1.149667, 1.149667, 1.157459,1.045646, 1.027087, 1.085651, 1.137154, 1.132304, 1.113029, 1.126043, 1.126043, 1.126043, 1.086454, 1.014999, 1.014999, 1.014999, 1.014999, 1.01034
