,2_y2006,2_y2007,2_y2008,2_y2009,2_y2010,2_y2011,2_y2012,2_y2013,2_y2014,2_y2015,2_y2016,2_y2017,2_y2018,2_y2019,2_y2020,3_y2006,3_y2007,3_y2008,3_y2009,3_y2010,3_y2011,3_y2012,3_y2013,3_y2014,3_y2015,3_y2016,3_y2017,3_y2018,3_y2019,3_y2020,4_y2006,4_y2007,4_y2008,4_y2009,4_y2010,4_y2011,4_y2012,4_y2013,4_y2014,4_y2015,4_y2016,4_y2017,4_y2018,4_y2019,4_y2020,5_y2006,5_y2007,5_y2008,5_y2009,5_y2010,5_y2011,5_y2012,5_y2013,5_y2014,5_y2015,5_y2016,5_y2017,5_y2018,5_y2019,5_y2020,6_y2006,6_y2007,6_y2008,6_y2009,6_y2010,6_y2011,6_y2012,6_y2013,6_y2014,6_y2015,6_y2016,6_y2017,6_y2018,6_y2019,6_y2020,7_y2006,7_y2007,7_y2008,7_y2009,7_y2010,7_y2011,7_y2012,7_y2013,7_y2014,7_y2015,7_y2016,7_y2017,7_y2018,7_y2019,7_y2020,8_y2006,8_y2007,8_y2008,8_y2009,8_y2010,8_y2011,8_y2012,8_y2013,8_y2014,8_y2015,8_y2016,8_y2017,8_y2018,8_y2019,8_y2020,9_y2006,9_y2007,9_y2008,9_y2009,9_y2010,9_y2011,9_y2012,9_y2013,9_y2014,9_y2015,9_y2016,9_y2017,9_y2018,9_y2019,9_y2020,10_y2006,10_y2007,10_y2008,10_y2009,10_y2010,10_y2011,10_y2012,10_y2013,10_y2014,10_y2015,10_y2016,10_y2017,10_y2018,10_y2019,10_y2020,11_y2006,11_y2007,11_y2008,11_y2009,11_y2010,11_y2011,11_y2012,11_y2013,11_y2014,11_y2015,11_y2016,11_y2017,11_y2018,11_y2019,11_y2020
12,0.999448, 1.141258, 1.817229, 1.825704, 1.886041, 1.792452, 1.774074, 1.785849, 1.785849, 1.781374, 1.850681, 1.825794, 1.825794, 1.825794, 1.998358,0.999448, 1.092635, 1.585886, 1.488365, 1.582291, 1.493668, 1.478354, 1.488166, 1.488166, 1.482345, 1.659086, 1.636776, 1.636776, 1.636776, 1.745028,0.977068, 1.115426, 1.547869, 1.49479, 1.498504, 1.414573, 1.40007, 1.409362, 1.409362, 1.403849, 1.399091, 1.373756, 1.373756, 1.373756, 1.52406,0.97953, 1.084723, 1.265826, 1.248245, 1.280224, 1.204796, 1.193131, 1.20105, 1.20105, 1.196352, 1.215191, 1.193184, 1.193184, 1.193184, 1.321951,0.959586, 1.000843, 1.119049, 1.09507, 1.204294, 1.139136, 1.120233, 1.127668, 1.127668, 1.140113, 1.130713, 1.134963, 1.134963, 1.134963, 1.284788,0.960364, 0.957861, 0.989018, 0.904089, 0.902495, 0.869286, 0.862828, 0.861349, 0.861349, 0.870855, 0.869967, 0.873237, 0.873237, 0.873237, 0.946447,1, 1, 0.955537, 0.931047, 0.898392, 0.898392, 0.898392, 0.898392, 0.898392, 0.898392, 0.935634, 0.935634, 0.935634, 0.935634, 0.935634,1, 1, 0.957398, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577, 0.933577,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
14,1.012804, 1.069107, 1.749413, 1.805309, 1.92119, 1.856882, 1.837843, 1.844414, 1.82916, 1.782924, 2.073342, 1.893133, 1.893133, 1.893133, 2.061167,1.012804, 1.02955, 1.540467, 1.554949, 1.761058, 1.687223, 1.669924, 1.675895, 1.662035, 1.617739, 2.016529, 1.841257, 1.841257, 1.841257, 1.952709,0.990123, 1.051022, 1.529372, 1.574903, 1.641196, 1.572386, 1.556263, 1.561828, 1.548911, 1.50763, 1.664836, 1.509332, 1.509332, 1.509332, 1.665665,0.99262, 1.022091, 1.250697, 1.315142, 1.395579, 1.33374, 1.320827, 1.325549, 1.314586, 1.27955, 1.4401, 1.305587, 1.305587, 1.305587, 1.438877,0.977361, 0.947858, 1.092422, 1.139926, 1.279449, 1.231276, 1.210845, 1.215174, 1.215132, 1.200495, 1.318679, 1.222132, 1.222132, 1.222132, 1.38095,0.977838, 0.880784, 0.980726, 0.955983, 0.972421, 0.931708, 0.924786, 0.920393, 0.920393, 0.910398, 1.007307, 0.933557, 0.933557, 0.933557, 1.009986,1.018195, 1.008065, 1.06531, 1.084157, 1.049362, 1.082703, 1.082703, 1.077259, 1.077259, 1.077259, 1.261546, 1.169182, 1.169182, 1.169182, 1.167058,1, 0.990159, 0.991821, 1.010143, 1.075475, 1.095175, 1.095175, 1.099614, 1.099614, 1.099614, 1.219256, 1.129988, 1.129988, 1.129988, 1.129988,1, 0.990159, 0.960643, 0.987622, 1.012172, 1.012172, 1.012172, 1.012172, 1.012172, 1.012172, 1.073732, 1.073732, 1.073732, 1.073732, 1.073732,1, 1, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606, 0.974606
16,1.037608, 1.19117, 2.398619, 2.47596, 2.840089, 2.559659, 2.585474, 2.626613, 2.601013, 2.583638, 3.156435, 2.898982, 2.898982, 2.930941, 3.228725,1.037608, 1.128378, 2.077664, 2.097797, 2.560883, 2.29251, 2.315629, 2.352474, 2.329545, 2.310723, 3.02602, 2.779202, 2.779202, 2.80984, 3.015067,1.014371, 1.151905, 2.062697, 2.105705, 2.365234, 2.117363, 2.138717, 2.172746, 2.151569, 2.134184, 2.479159, 2.260767, 2.260767, 2.28569, 2.552185,1.016928, 1.13879, 1.731514, 1.822506, 2.08459, 1.861487, 1.881344, 1.911278, 1.920478, 1.90496, 2.255364, 2.056686, 2.056686, 2.079359, 2.318672,1.001294, 1.056075, 1.4796, 1.545445, 1.86969, 1.695052, 1.701178, 1.728247, 1.750986, 1.762901, 2.037052, 1.898976, 1.898976, 1.919911, 2.203973,1.001783, 0.974754, 1.324541, 1.291492, 1.409089, 1.271877, 1.288369, 1.308867, 1.326134, 1.336761, 1.538729, 1.43443, 1.43443, 1.450243, 1.593972,1.043128, 1.115614, 1.4116, 1.436984, 1.472292, 1.468814, 1.498996, 1.522423, 1.522423, 1.551471, 1.890187, 1.762065, 1.762065, 1.777051, 1.802087,1.024489, 1.082793, 1.298624, 1.378828, 1.555278, 1.496985, 1.527746, 1.542022, 1.542022, 1.571444, 1.785939, 1.664884, 1.664884, 1.679043, 1.705797,1.027542, 1.085289, 1.254468, 1.290066, 1.392138, 1.335092, 1.362526, 1.384004, 1.384004, 1.384004, 1.504846, 1.513667, 1.513667, 1.513667, 1.537786,1, 1.010138, 1.159035, 1.208296, 1.238233, 1.244048, 1.244048, 1.240931, 1.240931, 1.240931, 1.271923, 1.279379, 1.279379, 1.279379, 1.299765
18,1.04985, 1.220192, 2.63821, 2.560117, 2.537161, 2.480331, 2.479031, 2.551608, 2.494555, 2.431683, 2.859167, 2.569572, 2.569572, 2.497169, 2.774975,1.04985, 1.155869, 2.285206, 2.169105, 2.306986, 2.240154, 2.238979, 2.30453, 2.253, 2.193123, 2.797651, 2.514287, 2.514287, 2.443443, 2.644871,1.026339, 1.179973, 2.227735, 2.096599, 2.084777, 2.024384, 2.023323, 2.08256, 2.035993, 1.981885, 2.242629, 2.001159, 2.001159, 1.944773, 2.190537,1.028926, 1.161594, 1.862132, 1.806935, 1.829623, 1.755465, 1.755558, 1.806954, 1.76655, 1.719601, 1.983197, 1.769661, 1.769661, 1.719798, 1.922822,1.013109, 1.09532, 1.617949, 1.588701, 1.701474, 1.657408, 1.645926, 1.694114, 1.669988, 1.65, 1.857232, 1.694169, 1.694169, 1.646434, 1.895056,1.013603, 0.992855, 1.422427, 1.303838, 1.259324, 1.221335, 1.224178, 1.260017, 1.242115, 1.228721, 1.377744, 1.256778, 1.256778, 1.221366, 1.345977,1.055437, 1.136329, 1.515917, 1.450717, 1.324595, 1.419865, 1.458254, 1.500527, 1.459948, 1.460059, 1.732759, 1.580623, 1.580623, 1.532257, 1.557971,1.036578, 1.101301, 1.392573, 1.389989, 1.39723, 1.400298, 1.438158, 1.470695, 1.430923, 1.431032, 1.584252, 1.445155, 1.445155, 1.400935, 1.427038,1.039666, 1.10384, 1.274264, 1.231912, 1.181875, 1.171826, 1.20351, 1.243585, 1.209955, 1.182501, 1.263671, 1.252091, 1.252091, 1.208317, 1.230831,1, 0.996324, 1.117649, 1.095342, 0.995256, 1.03379, 1.040362, 1.062529, 1.044204, 1.029583, 1.037174, 1.02767, 1.02767, 1.020875, 1.039896
20,1.022163, 1.220158, 2.927663, 2.73441, 2.710458, 2.671587, 2.733658, 2.845755, 2.88656, 2.862088, 3.460099, 3.396187, 3.396187, 3.300493, 3.682073,1.022163, 1.155837, 2.535928, 2.316783, 2.481621, 2.429591, 2.48604, 2.587985, 2.625095, 2.599174, 3.405244, 3.342345, 3.342345, 3.248168, 3.529745,0.999271, 1.179943, 2.462499, 2.230591, 2.306778, 2.258416, 2.310889, 2.40565, 2.440145, 2.41605, 2.886013, 2.812576, 2.812576, 2.733326, 3.090836,1.027112, 1.171809, 2.07653, 1.939381, 2.02865, 1.9613, 2.006869, 2.089163, 2.11912, 2.098195, 2.57505, 2.509525, 2.509525, 2.438815, 2.737431,1.011322, 1.122972, 1.810251, 1.710835, 1.93348, 1.897803, 1.928342, 2.007415, 2.053109, 2.063341, 2.471461, 2.448813, 2.448813, 2.379814, 2.749939,1.011816, 1.017924, 1.591495, 1.404074, 1.440569, 1.40779, 1.443775, 1.502978, 1.537243, 1.546758, 1.800859, 1.784356, 1.784356, 1.734078, 1.918505,1.053576, 1.16502, 1.702752, 1.568378, 1.521184, 1.643056, 1.730776, 1.798157, 1.815204, 1.846491, 2.275402, 2.254551, 2.254551, 2.185564, 2.230972,1.03475, 1.134973, 1.572329, 1.51053, 1.57048, 1.585958, 1.670631, 1.724935, 1.741289, 1.771302, 2.03615, 2.017491, 2.017491, 1.955759, 2.000025,1.037833, 1.121084, 1.412335, 1.314165, 1.304036, 1.302832, 1.372389, 1.431788, 1.445363, 1.436806, 1.594311, 1.5797, 1.5797, 1.524472, 1.567349,0.998236, 1.011892, 1.24361, 1.173063, 1.10244, 1.153878, 1.191007, 1.228138, 1.252264, 1.255916, 1.313692, 1.301653, 1.301653, 1.293046, 1.32523
22,1.019858, 1.246667, 3.052292, 2.945088, 2.976819, 2.908953, 2.887723, 2.915735, 2.994678, 2.833631, 3.513231, 3.438854, 3.438854, 3.341957, 4.09536,1.019858, 1.180951, 2.643871, 2.495273, 2.68005, 2.601351, 2.582366, 2.607415, 2.678011, 2.530424, 3.349431, 3.27852, 3.27852, 3.186141, 3.803185,0.997019, 1.205579, 2.567323, 2.402451, 2.558475, 2.483345, 2.46522, 2.489134, 2.556529, 2.415636, 2.91873, 2.856938, 2.856938, 2.776438, 3.412913,1.024796, 1.197276, 2.11528, 2.066174, 2.225625, 2.133273, 2.117705, 2.138247, 2.196142, 2.075111, 2.576027, 2.52149, 2.52149, 2.450443, 2.989935,1.00904, 1.147369, 1.822213, 1.801124, 2.09612, 2.039791, 2.010771, 2.030275, 2.102561, 2.016498, 2.436867, 2.425127, 2.425127, 2.356795, 2.960428,1.009535, 1.040041, 1.621194, 1.495878, 1.580456, 1.531244, 1.523527, 1.538309, 1.593135, 1.529757, 1.662373, 1.654364, 1.654364, 1.60775, 1.933595,1.035353, 1.172389, 1.708372, 1.645726, 1.643722, 1.784559, 1.823742, 1.837763, 1.878479, 1.823555, 2.097385, 2.08728, 2.08728, 2.023412, 2.245266,1.016852, 1.142155, 1.614552, 1.607753, 1.721326, 1.747247, 1.785611, 1.785799, 1.825364, 1.768285, 1.908428, 1.899234, 1.899234, 1.84112, 2.046703,1.019882, 1.128176, 1.448655, 1.397202, 1.427709, 1.43374, 1.465222, 1.480672, 1.513478, 1.432776, 1.492654, 1.485464, 1.485464, 1.433531, 1.602162,0.980972, 1.018293, 1.246333, 1.218575, 1.180791, 1.207837, 1.209506, 1.179305, 1.202471, 1.188523, 1.167202, 1.161579, 1.161579, 1.153898, 1.253776
24,1.029587, 1.38737, 3.597429, 3.270342, 3.257903, 2.981399, 2.940186, 3.04026, 3.174462, 2.972946, 4.144694, 4.028658, 4.028658, 3.941203, 4.628319,1.029587, 1.314237, 3.204896, 2.874782, 3.043129, 2.766134, 2.727897, 2.820745, 2.945261, 2.754405, 4.099655, 3.984878, 3.984878, 3.898374, 4.459326,1.006529, 1.341648, 3.082416, 2.741439, 2.838623, 2.580245, 2.544576, 2.631186, 2.747331, 2.569302, 3.490762, 3.393033, 3.393033, 3.319378, 3.910183,1.034572, 1.332402, 2.598365, 2.412201, 2.54342, 2.283023, 2.25146, 2.328095, 2.43086, 2.273338, 3.173331, 3.084488, 3.084488, 3.01753, 3.528353,1.018667, 1.276875, 2.238391, 2.071472, 2.359785, 2.150495, 2.105965, 2.177643, 2.29265, 2.176257, 2.957238, 2.922467, 2.922467, 2.859026, 3.441549,1.019163, 1.157423, 1.965209, 1.697728, 1.755791, 1.594428, 1.575965, 1.629604, 1.715726, 1.630577, 1.992462, 1.969035, 1.969035, 1.926292, 2.220099,1.03675, 1.294128, 2.054092, 1.930995, 1.96196, 1.996469, 2.026893, 2.091708, 2.173578, 2.088387, 2.700922, 2.669168, 2.669168, 2.604718, 2.769793,1.018224, 1.260752, 1.941281, 1.886436, 2.054585, 1.983119, 2.013339, 2.062083, 2.142795, 2.054502, 2.493284, 2.463971, 2.463971, 2.404475, 2.556955,1.03309, 1.259753, 1.761991, 1.624421, 1.688563, 1.616245, 1.640877, 1.698144, 1.764608, 1.653383, 1.936849, 1.914077, 1.914077, 1.859455, 1.987993,0.993675, 1.13705, 1.515906, 1.416745, 1.396531, 1.361587, 1.382336, 1.373034, 1.42327, 1.398526, 1.544373, 1.526215, 1.526215, 1.526215, 1.586345
26,1.024455, 1.383103, 3.974739, 3.937697, 4.050834, 3.837489, 3.697878, 3.973557, 4.133529, 3.883838, 5.39477, 5.194487, 5.194487, 5.101882, 5.991354,1.024455, 1.310195, 3.541024, 3.382373, 3.697383, 3.479113, 3.352538, 3.602475, 3.74751, 3.516177, 5.214302, 5.02072, 5.02072, 4.931213, 5.640781,1.001513, 1.337511, 3.405659, 3.225449, 3.448871, 3.245274, 3.127208, 3.360344, 3.495629, 3.279844, 4.439802, 4.274972, 4.274972, 4.198759, 4.94608,1.029416, 1.328293, 2.870861, 2.838096, 3.122168, 2.901145, 2.795596, 3.00401, 3.124949, 2.932045, 4.077823, 3.926432, 3.926432, 3.856433, 4.509269,1.013589, 1.272939, 2.473133, 2.437201, 2.896727, 2.73272, 2.633299, 2.829614, 2.967977, 2.826552, 3.826831, 3.684758, 3.684758, 3.619068, 4.35645,1.014082, 1.153857, 2.171304, 1.997475, 2.145415, 2.015703, 1.960469, 2.106625, 2.209712, 2.106945, 2.560468, 2.465412, 2.465412, 2.42146, 2.790794,1.031581, 1.290138, 2.269505, 2.20656, 2.328358, 2.451351, 2.442958, 2.619851, 2.71227, 2.614521, 3.362872, 3.238022, 3.238022, 3.17237, 3.37342,1.013146, 1.258694, 2.14799, 2.158785, 2.441836, 2.49452, 2.485979, 2.645924, 2.735394, 2.626708, 3.107608, 2.992238, 2.992238, 2.93157, 3.117477,1.027939, 1.255606, 1.946371, 1.855853, 2.003491, 2.044106, 2.03688, 2.19056, 2.264632, 2.125148, 2.426951, 2.33685, 2.33685, 2.270163, 2.427092,0.988721, 1.126682, 1.664745, 1.609125, 1.660892, 1.726087, 1.719986, 1.775346, 1.830869, 1.8018, 1.93971, 1.867697, 1.867697, 1.867697, 1.941284
28,1.036476, 1.432723, 4.216153, 4.176862, 4.483971, 4.222157, 4.011055, 4.318749, 4.287894, 4.061351, 5.820679, 5.511704, 5.511704, 5.413443, 6.222955,1.036476, 1.357194, 3.798899, 3.628696, 4.139361, 3.871473, 3.677905, 3.960043, 3.931751, 3.718776, 5.69006, 5.388016, 5.388016, 5.291961, 5.925583,1.013263, 1.385494, 3.653694, 3.460359, 3.861164, 3.611282, 3.430723, 3.6939, 3.667507, 3.468844, 4.844922, 4.587741, 4.587741, 4.505952, 5.195835,1.041494, 1.375953, 3.079961, 3.034651, 3.483753, 3.217582, 3.056707, 3.291193, 3.267682, 3.090679, 4.435094, 4.199668, 4.199668, 4.124798, 4.72119,1.025482, 1.318607, 2.653259, 2.60599, 3.23722, 3.035489, 2.88372, 3.104937, 3.138435, 3.012976, 4.219754, 4.062516, 4.062516, 3.990091, 4.701615,1.025982, 1.19525, 2.329444, 2.135802, 2.397584, 2.239015, 2.127068, 2.29024, 2.315028, 2.225153, 2.797272, 2.693038, 2.693038, 2.645027, 2.984067,1.043684, 1.336421, 2.434797, 2.359368, 2.602039, 2.722942, 2.656987, 2.855109, 2.848431, 2.767906, 3.652887, 3.516773, 3.516773, 3.44547, 3.586436,1.025035, 1.303848, 2.30443, 2.308283, 2.728843, 2.770883, 2.703766, 2.883514, 2.845171, 2.754143, 3.323606, 3.199761, 3.199761, 3.134885, 3.263271,1.04, 1.300654, 2.088124, 1.984374, 2.238978, 2.270567, 2.215322, 2.387258, 2.355516, 2.228246, 2.595635, 2.498915, 2.498915, 2.427603, 2.540594,1.000323, 1.145469, 1.752885, 1.68867, 1.824002, 1.884149, 1.838307, 1.911364, 1.888711, 1.834887, 2.014875, 1.939796, 1.939796, 1.939796, 1.973637
30,1.113403, 1.511745, 4.402807, 4.208116, 4.577682, 4.694121, 4.517793, 4.864362, 4.956084, 4.863183, 6.486657, 6.282272, 6.282272, 6.11824, 7.299602,1.113403, 1.432049, 4.048266, 3.698295, 4.304107, 4.383921, 4.219245, 4.54291, 4.62857, 4.535407, 6.458477, 6.254982, 6.254982, 6.091663, 7.079455,1.088469, 1.461908, 3.893522, 3.373597, 3.840509, 3.911729, 3.764789, 4.053591, 4.130023, 4.046892, 5.260423, 5.094677, 5.094677, 4.961654, 5.938066,1.118793, 1.451837, 3.282113, 2.958545, 3.465103, 3.485259, 3.354338, 3.611655, 3.679758, 3.605694, 4.815426, 4.663699, 4.663699, 4.541928, 5.395593,1.118793, 1.413057, 2.871562, 2.602896, 3.2496, 3.318357, 3.193707, 3.438703, 3.566821, 3.54747, 4.623888, 4.553015, 4.553015, 4.434135, 5.422793,1.119338, 1.280864, 2.5211, 2.283655, 2.558956, 2.602458, 2.504699, 2.696838, 2.797413, 2.78558, 3.259025, 3.209071, 3.209071, 3.125281, 3.659465,1.138651, 1.432147, 2.635126, 2.522696, 2.841515, 3.121266, 3.085529, 3.315608, 3.394477, 3.417225, 4.197161, 4.132828, 4.132828, 4.014889, 4.337487,1.118307, 1.397242, 2.494028, 2.468718, 2.968546, 3.16402, 3.127792, 3.335728, 3.377565, 3.387173, 3.804153, 3.745843, 3.745843, 3.638947, 3.931487,1.134633, 1.393818, 2.259933, 2.166439, 2.452804, 2.610983, 2.581087, 2.78141, 2.816294, 2.760011, 2.992185, 2.946322, 2.946322, 2.862242, 3.10895,1.091343, 1.227514, 1.897103, 1.843601, 1.998197, 2.16663, 2.141823, 2.226941, 2.246348, 2.26087, 2.310528, 2.275112, 2.275112, 2.275112, 2.402502
